COMPANY NAME,INDUS TOWERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,327.85,,,,,,,,,
Market Capitalization,88340.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11668.3,5558.3,6084.7,6621.2,6826.2,6743,13954.3,27717.2,28381.8,28600.6
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,4195,1990.1,2114.3,2281.7,2560.7,2367.2,5153.6,10265.8,10590.8,11149.9
Other Mfr. Exp,907.1,392,408.4,406.2,328.6,250.3,724.6,1346.7,1350.6,
Employee Cost,399.7,257.8,274.6,291.6,291.5,293.5,512.6,772.2,774.1,782.3
Selling and admin,1063.9,373.3,412,449.6,462.4,127.86,304.51,437.43,514.51,
Other Expenses,98.5,56.8,50.3,35,70.9,146.34,79.69,-5.63,5483.19,2111.8
Other Income,522.3,1678.8,1959.7,1598.7,1559.3,1846.2,1262.4,458.5,85,361.1
Depreciation,2184.7,1155,1165.7,1180.1,1065.8,1281.5,2848.4,5325.2,5323.9,6059.9
Interest,290.2,33,39.4,46.5,52.9,335,836.4,1603.3,1670.4,735.4
Profit before tax,3051.5,2979.1,3579.7,3529.2,3552.7,3787.5,4756.9,8430.7,2759.3,8122.4
Tax,1059.1,731.7,832.7,1035.5,1058.9,488.8,977.9,2057.6,719.3,2086.2
Net profit,1992.4,2247.4,2747,2493.7,2493.8,3298.7,3779,6373.1,2040,6036.2
Dividend Amount,2083.18,569.01,2959.36,2589.44,2774.4,1942.08,5422.14,2964.39,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,6927.4,7116.3,6897.3,7966.6,6765,6752.9,7075.9,7132.5,7199,7193.2
Expenses,3228.7,3054.3,4635.4,5155.4,5602.4,3320,3596.4,3711,3615,3121.6
Other Income,93.9,109,92.5,62.9,-403,116.1,56.5,97.2,98.9,108.5
Depreciation,1324.4,1364.9,1339.3,1306.7,1357.7,1320.2,1374.1,1525.6,1595.7,1564.5
Interest,379.3,374.7,372,392.4,354,335.5,351.6,246.4,10.7,126.7
Profit before tax,2088.9,2431.4,643.1,1175,-952.1,1893.3,1810.3,1746.7,2076.5,2488.9
Tax,518.1,602.9,165.8,303.2,-243.9,494.2,462.4,452,536,635.8
Net profit,1570.8,1828.5,477.3,871.8,-708.2,1399.1,1347.9,1294.7,1540.5,1853.1
Operating Profit,3698.7,4062,2261.9,2811.2,1162.6,3432.9,3479.5,3421.5,3584,4071.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1893.8,1896.7,1849.6,1849.6,1849.6,1849.6,2694.9,2694.9,2694.9,2694.9
Reserves,15126.2,16345.4,13649.7,15114.8,12682,11692.7,13182.1,19455.6,18414.6,24343.9
Borrowings,2582.2,,278.5,,5.7,4627.2,21576,19726,19184.9,20531
Other Liabilities,7552.5,2461.1,5163.3,2661,2577.3,1584.4,7490.7,6091.1,6278,8297.8
Total,27154.7,20703.2,20941.1,19625.4,17114.6,19753.9,44943.7,47967.6,46572.4,55867.6
Net Block,14812.1,6063.1,5794.2,5594.8,5332.2,6714.1,31800.2,31826.1,32383.6,39300.2
Capital Work in Progress,226,70.1,58.5,110.3,118,54.5,273.6,178.7,354.6,421.9
Investments,5882.2,10059.4,11172,12326.9,9905.8,11170.1,2271.4,1652.1,275.6,2.8
Other Assets,6234.4,4510.6,3916.4,1593.4,1758.6,1815.2,10598.5,14310.7,13558.6,16142.7
Total,27154.7,20703.2,20941.1,19625.4,17114.6,19753.9,44943.7,47967.6,46572.4,55867.6
Receivables,353.2,195.5,300,274.6,550.9,367.2,3828.5,7058.6,4868.7,6450.7
Inventory,,,,,,,,,,
Cash & Bank,912,3159.5,2249.8,31.2,1.7,147,14.5,980.2,22.4,63.1
No. of Equity Shares,1893769290,1896667069,1849608246,1849608246,1849608246,1849608246,2694936950,2694936950,2694936950,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,3989.5,1911.5,2866.2,3469.4,3158.6,2315.1,7481.1,9121.2,7904.8,11582.1
Cash from Investing Activity,-937.4,1548.3,-237.2,-1855.1,1599.9,-1012.2,1797.9,-2173.7,-1730,-7545.8
Cash from Financing Activity,-3187.6,-1452.9,-2671,-3554.8,-4794.7,-1185.4,-9376.8,-5981.6,-7132.6,-3995.6
Net Cash Flow,-135.5,2006.9,-42,-1940.5,-36.2,117.5,-97.8,965.9,-957.8,40.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,385,381.95,325.9,336.15,313.4,160,245,222.05,143,291.15
