COMPANY NAME,TECHNO ELECTRIC & ENGINEERING COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1000.95,,,,,,,,,
Market Capitalization,10786.07,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,120.3,1282.82,986.02,871.49,883.63,999.17,829.5
Raw Material Cost,,,,,893.82,,,,767.1,660.2
Change in Inventory,,,,,7.61,11.09,-12.42,-0.26,20.83,34.41
Power and Fuel,,,,,2.6,2.69,2.24,2,1.22,1.43
Other Mfr. Exp,,,,7.71,9.9,658.81,560.47,584.26,2.35,2.48
Employee Cost,,,,0.81,39.42,41.41,39.7,33.37,34.05,42.41
Selling and admin,,,,1.67,33.48,29.43,26.52,30.06,39.7,46.78
Other Expenses,,,,0.31,15.89,14.58,12.73,17.89,16.81,23.31
Other Income,,,,19.11,42.33,72.72,47.96,66.85,175.21,164.89
Depreciation,,,,37.47,42.36,41.82,41.56,41.15,7.44,7.6
Interest,,,,21.41,24.77,13.39,7.38,9.4,7.11,11.29
Profit before tax,,,,70.03,270.52,267.7,216.43,232.09,319.43,233.3
Tax,,,,14.28,64.87,74.32,37.33,50.32,59.17,46.45
Net profit,,,,55.74,205.66,193.37,179.1,181.78,263.89,186.86
Dividend Amount,,,,,,,,110,22,64.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,273.51,297.56,305.22,145.48,185.79,185.26,312.97,273.93,462.29,326.54
Expenses,188.1,257.11,268.15,122.98,153.43,161.91,305.84,252.82,384.74,270.21
Other Income,10.29,112.68,-0.47,28.43,41.74,19.81,78.35,28.65,28.81,44.83
Depreciation,10.19,1.8,1.93,1.85,1.85,1.92,1.97,1.99,1.87,1.99
Interest,1.25,1.63,1.74,1.43,1.3,1.63,6.29,4.22,3.98,3.95
Profit before tax,84.26,149.7,32.93,47.65,70.95,39.61,77.22,43.55,100.51,95.22
Tax,20.86,35.47,-4.3,12.1,12.14,8.2,16.42,18.28,26.73,3.35
Net profit,64.84,114.87,37.22,35.55,58.81,31.41,60.79,25.26,73.78,91.88
Operating Profit,85.41,40.45,37.07,22.5,32.36,23.35,7.13,21.11,77.55,56.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,178.21,22.54,22.54,22,22,22,21.52
Reserves,,,,483.63,1209.32,1403.69,1474.47,1594.24,1814.73,1908.65
Borrowings,,,,272.75,66.75,44.48,,40,,
Other Liabilities,,,,32.4,621.08,546.65,583,546.37,679.26,838.71
Total,,,,966.99,1919.69,2017.36,2079.47,2202.61,2515.99,2768.88
Net Block,,,,616.12,584.77,546.06,507.71,466.61,459.06,81.23
Capital Work in Progress,,,,,,,,,,94.6
Investments,,,,209.46,450.19,580.75,690.76,713.78,1049,1304.77
Other Assets,,,,141.41,884.73,890.55,881,1022.22,1007.93,1288.28
Total,,,,966.99,1919.69,2017.36,2079.47,2202.61,2515.99,2768.88
Receivables,,,,75.73,757.83,544.43,574.16,530.23,584.02,641.31
Inventory,,,,,7.83,18.92,6.5,6.24,27.07,101.05
Cash & Bank,,,,9.48,41.84,48.57,42.83,80.8,46.68,146.16
No. of Equity Shares,,,,891056331,112682400,112682400,110000000,110000000,110000000,107619019
New Bonus Shares,,,,,,,,,,
Face value,,,,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,159.56,212.12,197.59,111.53,125.36,259.27,93.36
Cash from Investing Activity,,,,-157.89,141.77,-170.93,37.85,-54.26,-223.98,12.57
Cash from Financing Activity,,,,-55.22,-325.84,-16.44,-160.67,-33.84,-63.55,-103.01
Net Cash Flow,,,,-53.55,28.06,10.23,-11.28,37.26,-28.26,2.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,274.5,238,306.85,247.75,337.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,89.11,89.11,11.27,11,11,11,10.76
