COMPANY NAME,ALKEM LABORATORIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,5067.6,,,,,,,,,
Market Capitalization,60536.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3113.43,3674.36,4904.61,5687.53,6401.17,7357.19,8344.36,8865.01,10634.19,11599.26
Raw Material Cost,1435.9,1724.28,2068.32,2511.13,2477.74,2941.33,3574.89,3832.3,4715.77,4444.47
Change in Inventory,50.21,33.68,104.44,289.6,94.99,-3.64,229.95,333.84,535.48,-462.37
Power and Fuel,60.33,53.31,66.33,86.34,112.64,121.48,130.14,129.95,162.96,163.94
Other Mfr. Exp,88.04,75.16,130.66,187.78,353.16,347.6,297.76,302.49,357.26,349.24
Employee Cost,531.56,645.87,874.08,1018.25,1206.1,1376.73,1511.13,1622.11,1963.79,2132.65
Selling and admin,559.82,702.47,866.56,1000.46,1161.15,1274.17,1406.76,1223.5,1721.12,2162.41
Other Expenses,74.92,80.19,136.86,172.2,176.45,171.92,177.74,143.15,194.42,262.37
Other Income,162.25,176.11,226.72,109.99,115.42,82.15,101.72,230.25,146.26,100.74
Depreciation,52.26,70.94,93.31,101.17,143.03,193.18,252.76,274.58,303.96,310.42
Interest,93.08,81.11,71.24,45.16,55.33,54.63,65.06,58.92,52.37,107.36
Profit before tax,429.98,450.82,928.41,964.63,925.98,954.66,1259.79,1842.1,1844.28,1304.77
Tax,-5.36,59.23,176.18,59.96,287.56,181.02,110.48,224.33,163.96,297.96
Net profit,435.34,391.59,741.59,892.03,630.94,760.51,1127.07,1585.02,1645.62,984.17
Dividend Amount,23.92,47.82,151.83,179.32,155.42,191.28,298.88,358.65,406.47,597.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2799.99,2618.98,2483.86,2576.38,3079.37,3040.91,2902.6,2967.72,3440.17,3323.87
Expenses,2175.61,2120.53,2146.63,2373.14,2625.46,2441.86,2549.35,2578.53,2693.44,2616.28
Other Income,41.96,53.52,5.56,51.41,50.67,45.33,-34.31,65.84,5.53,42.33
Depreciation,72.83,77.46,83.14,76.26,77.4,78.44,78.32,72.41,73.9,69.56
Interest,11.97,10.57,16.97,26.5,24.85,27.05,28.96,29.77,30.32,25.46
Profit before tax,581.54,463.94,242.68,151.89,402.33,538.89,211.66,352.85,648.04,654.9
Tax,23.01,-69.41,134.47,20.44,54.61,78.93,143.98,65.04,33.15,50.62
Net profit,544.26,525.66,107.58,127.64,330.84,454.71,70.98,286.73,620.52,594.96
Operating Profit,624.38,498.45,337.23,203.24,453.91,599.05,353.25,389.19,746.73,707.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.96,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91
Reserves,2567.39,2975.14,3668.05,4443.73,4839.86,5415.43,6136.76,7352.82,8613.99,9021.38
Borrowings,1128.43,1305.92,657.5,659.46,997.56,944.07,1615.52,1791.98,2668.19,1396.68
Other Liabilities,603.7,986.31,1184.19,1440.48,1802.63,1824.48,2169.35,2350.55,2763.1,3314.68
Total,4311.48,5291.28,5533.65,6567.58,7663.96,8207.89,9945.54,11519.26,14069.19,13756.65
Net Block,1170.01,1374.34,1449.54,1797.04,2283.59,2530.44,2908.01,2792.98,2901.73,2682.83
Capital Work in Progress,,110.69,172.42,299.26,380.97,492.96,362.97,393.28,339.48,323.24
Investments,588.01,480.78,508.57,553,444.27,323.62,261.39,332.78,370.98,621.82
Other Assets,2553.46,3325.47,3403.12,3918.28,4555.13,4860.87,6413.17,8000.22,10457,10128.76
Total,4311.48,5291.28,5533.65,6567.58,7663.96,8207.89,9945.54,11519.26,14069.19,13756.65
Receivables,366.93,527.08,567.51,713.64,1080.5,1248.41,1649.36,1607.21,1884.6,2132.18
Inventory,620.33,784.23,909.37,1206,1442.19,1499.87,1818.82,2312.44,3005.53,2607.53
Cash & Bank,206.29,790.76,780.9,399.26,576.78,661.6,1092.21,1990.45,2578.58,2616.89
No. of Equity Shares,11956500,119565000,119565000,119565000,119565000,119565000,119565000,119565000,119565000,119565000
New Bonus Shares,,,,,,,,,,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,290.01,325.45,725.84,471.13,266.04,779.65,585.08,1264.9,1111.02,1682.5
Cash from Investing Activity,353.45,-234.91,204.74,-293.67,-350.52,-318.37,-737.34,-994.87,-1432.63,119.94
Cash from Financing Activity,-599.95,-51.78,-927.27,-137.88,84.56,-378.94,79.15,-271.75,379.57,-1760.82
Net Cash Flow,43.51,38.76,3.31,39.58,0.08,82.34,-73.11,-1.72,57.96,41.62
,,,,,,,,,,
