COMPANY NAME,IDFC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,111.25,,,,,,,,,
Market Capitalization,17784.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9720.02,8968.14,10400.22,628.46,355.53,342.06,34.36,88.28,154.24,65.54
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,5.42,11.76,13.69,1.5,1.59,1.54,0.06,,,
Other Mfr. Exp,12.99,24.8,37.43,82.92,10.19,19.13,3.61,,,
Employee Cost,390.78,642.6,797.79,151.45,141.13,120.02,15.98,13.16,15.24,7.07
Selling and admin,237.51,361.31,482.93,118.43,90.76,66.71,18.94,11,47.1,
Other Expenses,1130.72,449.29,474.63,162.49,956.02,1067.02,464.36,0.42,1.25,13.98
Other Income,-0.01,-2639.77,-3.33,983.76,-106.87,30.79,171.09,61.22,4544.77,1016.35
Depreciation,-61.3,62.38,148.62,12.68,13.93,31.57,3.45,0.11,0.08,0.04
Interest,5657.75,5735.55,6650.33,0.61,5.54,2.6,10.45,,,7.27
Profit before tax,2346.14,-959.32,1791.47,1082.14,-970.5,-935.74,-311.4,124.81,4635.34,1053.53
Tax,596.27,-367.46,482.87,197.55,-148.46,60.39,25.34,60.5,391.41,7.95
Net profit,1706.95,-934.8,699.09,869.15,-839.18,-994.9,-336.02,64.03,4243.89,1045.58
Dividend Amount,414.12,,39.9,119.73,,502.85,,159.64,1919.99,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,53.74,2.28,22.13,49.38,29.73,52.6,26.75,36.67,-7.65,9.77
Expenses,35.89,5.99,7.73,2.85,4.44,48.74,7.37,6.03,5.03,2.62
Other Income,35.77,214.54,245.2,296.58,249.47,3754.09,255.79,199.53,217.51,343.52
Depreciation,0.03,0.03,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Interest,,,,,,,7.27,,,
Profit before tax,53.59,210.8,259.56,343.1,274.74,3757.94,267.89,230.16,204.82,350.66
Tax,35.78,16.77,7.19,11.01,2.68,370.53,3.74,6.62,-5.22,2.81
Net profit,18.23,194.16,252.62,331.83,272.05,3387.39,264.15,223.54,210.04,347.85
Operating Profit,17.85,-3.71,14.4,46.53,25.29,3.86,19.38,30.64,-12.68,7.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1592.78,1594.02,1595.94,1596.35,1596.36,1596.36,1596.36,1596.44,1599.99,1599.99
Reserves,15683.95,8514.63,9223.92,9679.61,8788.45,6724.33,6618.52,7330.2,9997.21,11780.69
Borrowings,66251.53,65748.69,92152.97,3543.6,,47.34,37.52,,,
Other Liabilities,3533.96,10993.93,14650.15,767.46,173.06,200.37,110.09,237.46,89.01,48.02
Total,87062.22,86851.27,117622.98,15587.02,10557.87,8568.4,8362.49,9164.1,11686.21,13428.7
Net Block,1369.88,1725.36,2202.3,1270.35,884.87,918.32,834.05,0.17,0.07,0.05
Capital Work in Progress,13.75,29.19,5.9,0.43,,,,,,
Investments,29975.39,30702.92,51686.76,9379.07,8673.27,6680.84,7385.79,7702.47,11220.62,12964.45
Other Assets,55703.2,54393.8,63728.02,4937.17,999.73,969.24,142.65,1461.46,465.52,464.2
Total,87062.22,86851.27,117622.98,15587.02,10557.87,8568.4,8362.49,9164.1,11686.21,13428.7
Receivables,44.86,35.87,54.39,22.24,13.64,17.95,12.71,,,
Inventory,,,,,,,,,,
Cash & Bank,300.08,3034.14,5282.43,396.09,264.02,724,65.49,288.02,377.46,241.37
No. of Equity Shares,1592780866,1594020668,1595941570,1596354566,1596358316,1596358316,1596358316,1596435942,1599984436,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,7523.82,2993.67,-3806.09,-761.16,3418.41,-1206.06,-102.23,43.34,4128.21,859.71
Cash from Investing Activity,-17627.69,8639.57,-20360.6,-713.1,153.64,2386.34,-508.97,203.71,-2356.5,-906.29
Cash from Financing Activity,10009.55,-8890.61,26382.12,1183.04,-3729.01,-652.47,-24.59,-2.69,-1900.24,
Net Cash Flow,-94.32,2742.63,2215.43,-291.22,-156.96,527.81,-635.79,244.36,-128.53,-46.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,79.66,40.45,54.5,48.75,46.55,14.85,47.35,61.75,78.55,110.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,159.28,159.4,159.59,159.64,159.64,159.64,159.64,159.64,160,160
