COMPANY NAME,CIPLA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1358.8,,,,,,,,,
Market Capitalization,109704.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,10173.39,11345.44,13790.1,14394.29,15155.71,16362.41,17131.99,19159.59,21763.34,22753.12
Raw Material Cost,3939.08,4533.92,5026.31,5206.16,5671.36,5737.45,6236.18,7544.6,9220.29,8348.28
Change in Inventory,64.25,344.22,-63.55,-110.96,232.94,-47.04,244.76,192.71,724.69,96
Power and Fuel,218.63,228.28,245.92,251.73,298.82,335.11,327.43,308.26,331.03,353.61
Other Mfr. Exp,538.58,706.06,1000.01,912.5,952.02,928.08,1017.51,1073.6,1187.54,1204.51
Employee Cost,1543.09,1973.86,2436.43,2640.82,2699.32,2866.09,3036.41,3261.85,3542.24,3842.73
Selling and admin,1434.09,1600.96,1901.58,2150.79,2344.76,2725.09,2886.29,2407.34,3129.42,3490.27
Other Expenses,417.23,483.71,636.63,625.02,595.99,626.24,666.94,504.22,524.73,582.75
Other Income,251.48,164.38,208.21,208.17,280.13,476.57,344.2,265.99,98.79,293.03
Depreciation,372.64,504.71,754.22,1322.93,1322.82,1326.31,1174.65,1067.66,1051.95,1172.11
Interest,145.74,168.29,206.63,159.38,114.23,168.43,197.36,160.7,106.35,109.54
Profit before tax,1880.04,1654.25,1727.03,1222.17,1669.46,2079.14,2178.18,3290.06,3493.27,4038.35
Tax,463.38,400.03,331.59,179.76,250.11,569.53,631.2,888.76,933.8,1202.86
Net profit,1388.41,1180.77,1359.99,1006.39,1410.53,1527.7,1546.52,2404.87,2516.75,2801.91
Dividend Amount,160.58,160.59,160.68,160.9,241.53,241.71,322.5,403.22,403.4,686.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5519.8,5478.86,5260.33,5375.19,5828.54,5810.09,5739.3,6328.89,6678.15,6603.81
Expenses,4293.6,4247.89,4510.61,4231.84,4526.21,4402.54,4565.56,4834.98,4944.4,4856.28
Other Income,60.67,91.29,6.52,103.43,122.95,114.44,-47.79,136.29,176.32,-10.19
Depreciation,253.06,247.47,290.31,254.41,299.37,272.11,346.22,239.21,290.04,233.43
Interest,38,20.68,18.1,17.81,25.55,31.82,34.36,16.39,25.8,30.1
Profit before tax,995.81,1054.11,447.83,974.56,1100.36,1218.06,745.37,1374.6,1594.23,1473.81
Tax,283.81,295.16,71.11,268,302.6,410.01,222.25,378.02,438.41,405.3
Net profit,711.36,728.6,362.07,686.4,788.9,800.96,525.65,995.7,1130.91,1055.9
Operating Profit,1226.2,1230.97,749.72,1143.35,1302.33,1407.55,1173.74,1493.91,1733.75,1747.53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,160.58,160.59,160.68,160.9,161.02,161.14,161.25,161.29,161.36,161.43
Reserves,9889.77,10640.9,11355.54,12382.76,14068.17,14851.14,15601.75,18165.24,20680.33,23246.35
Borrowings,1247.91,1703.33,5201.92,4112.66,4098.05,4316.23,2816.43,2014.41,1055.78,803.12
Other Liabilities,2102.1,3165.6,4331.35,4212.62,4345.66,4433.4,4843.36,4514.34,4959.69,5089.1
Total,13400.36,15670.42,21049.49,20868.94,22672.9,23761.91,23422.79,24855.28,26857.16,29300
Net Block,6496.47,6829.64,9368.32,9491.98,9950.17,9608.36,9682.89,9515.52,9683.33,9160.48
Capital Work in Progress,441.84,580.9,2060.87,1682.98,981.33,676.18,824.53,968.89,766.18,1093.3
Investments,708.57,639.78,758.69,973.01,1258.84,2554.14,1471.02,2710.05,2550.6,3662.38
Other Assets,5753.48,7620.1,8861.61,8720.97,10482.56,10923.23,11444.35,11660.82,13857.05,15383.84
Total,13400.36,15670.42,21049.49,20868.94,22672.9,23761.91,23422.79,24855.28,26857.16,29300
Receivables,1638.89,1997.72,2356.27,2563.05,3102.45,4150.72,3891.31,3445.68,3424.44,4057
Inventory,2895.26,3780.62,3808.05,3485.28,4044.7,3964.83,4377.6,4669.18,5350.24,5156.43
Cash & Bank,175.76,564.26,871.4,624.21,965.61,618.81,1003.91,1401.23,1928.48,1564.62
No. of Equity Shares,802921400,802960440,803384282,804510074,805119164,805701266,806235329,806463279,806814036,807150593
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1563.31,1173.43,1740.81,2381.76,1462.76,1691.15,3068.45,3755.2,3325.9,3237.65
Cash from Investing Activity,-1264.93,-949.71,-4532.56,-1303.88,-834.17,-1687.53,114.39,-2374.39,-1858.43,-2376.14
