COMPANY NAME,WEST COAST PAPER MILLS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,620.85,,,,,,,,,
Market Capitalization,4092.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,1710.2,1979.15,2492.85,2244.53,3377.67,4920.76
Raw Material Cost,,,,,903.84,1004.78,1295.54,1095.03,1649.39,2070.67
Change in Inventory,,,,,-6.51,22.63,96.23,-78.3,-47.1,28.49
Power and Fuel,,,,,168.53,178.01,218.61,252.76,356.71,468.59
Other Mfr. Exp,,,,,89.84,94.26,132.73,148.19,196.28,238.7
Employee Cost,,,,,132.85,153.89,237.49,313.83,368.89,413.27
Selling and admin,,,,,26.35,26.93,33.66,49.88,72.43,55.04
Other Expenses,,,,,19.93,32.79,53.15,45.3,49.29,56.23
Other Income,,,,,18.01,19.81,51.93,12.05,54.05,57.62
Depreciation,,,,,116.22,176.02,197.86,229.35,212.53,189.47
Interest,,,,,41.65,29.25,74.96,70.11,58.7,37.07
Profit before tax,,,,,222.49,325.66,397.01,-26.17,420.4,1477.83
Tax,,,,,-0.67,29.64,-9.48,-21.79,74.53,390.82
Net profit,,,,,223.15,296,370.38,-3.1,307.04,941.98
Dividend Amount,,,,,26.42,33.02,33.02,6.6,39.63,66.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,900.49,872.2,1067.37,1114.15,1209.97,1239.16,1357.48,1138.62,1193.84,1045.13
Expenses,758.41,711.95,836.35,793.02,842.65,777.93,864.96,744.1,883.63,827.54
Other Income,11.49,10.86,21.78,11.26,17.02,23.6,10.3,35.1,35.34,41.38
Depreciation,53.96,53.72,52.58,46.1,47.14,48.28,47.96,43.73,46.02,46.36
Interest,11.39,11.58,17.39,6.14,6.68,13.85,10.41,6.63,5.86,5.84
Profit before tax,88.22,105.81,182.83,280.15,330.52,422.7,444.45,379.26,293.67,206.77
Tax,10.49,17.39,42.32,71.2,84.4,111.72,123.49,100.91,75.12,48.01
Net profit,72.48,78.06,124.55,185.34,214.67,263.74,278.23,245.52,190.77,135.93
Operating Profit,142.08,160.25,231.02,321.13,367.32,461.23,492.52,394.52,310.21,217.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,13.21,13.21,13.21,13.21,13.21,13.21
Reserves,,,,,825.73,1090.19,1375.04,1372.88,1670.22,2564.76
Borrowings,,,,,315.26,361.24,752.71,675.74,478.34,231.03
Other Liabilities,,,,,436.3,455.22,1043.17,1007.21,1096.83,1363.66
Total,,,,,1590.5,1919.86,3184.13,3069.04,3258.6,4172.66
Net Block,,,,,1035.28,991.26,2010.11,1873.35,1756.93,1658.98
Capital Work in Progress,,,,,3.39,37.05,56.92,33.68,21.75,54.73
Investments,,,,,1,222.64,44.8,219.79,471.94,1309.92
Other Assets,,,,,550.83,668.91,1072.3,942.22,1007.98,1149.03
Total,,,,,1590.5,1919.86,3184.13,3069.04,3258.6,4172.66
Receivables,,,,,118.93,163.27,142.01,203.94,242.29,332.3
Inventory,,,,,342.89,428.27,548.29,411.84,395.78,492.31
Cash & Bank,,,,,10.08,10.16,175.04,91.47,60.14,75.04
No. of Equity Shares,,,,,66048908,66048908,66048908,66048908,66048908,66048908
New Bonus Shares,,,,,,,,,,
Face value,,,,,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,326.23,394.16,649.1,337.82,590.56,1237.71
Cash from Investing Activity,,,,,-138.66,-382.48,-858.45,-165.95,-290.66,-894
Cash from Financing Activity,,,,,-193.92,-12.28,218.2,-166.64,-294.73,-333.79
Net Cash Flow,,,,,-6.35,-0.6,8.84,5.23,5.17,9.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,238.75,267.15,130.95,241.45,334.25,530.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,6.6,6.6,6.6,6.6,6.6,6.6
