COMPANY NAME,EDELWEISS FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,72.65,,,,,,,,,
Market Capitalization,6843.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2535.27,3887.06,5255.75,6604.31,8878.4,11077.52,9543.79,10775.02,7150.92,8500.19
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,2.79,20.37,28.94,40.1,55.64,790.39,895.9,1700.19,1764.95,1857.6
Employee Cost,459.4,710.19,884.02,1104.19,1376.22,1649.99,1408.64,1617.18,1065.62,1067.84
Selling and admin,304.21,429.59,587.71,722.17,996.43,,1063.55,1069.63,1038.85,1355.05
Other Expenses,171.95,320.82,485.92,893.03,1163.7,2066.48,3665.93,2222.31,77.21,1386.45
Other Income,5.25,7,12.33,14.53,42.44,87.91,58.84,73.83,158.32,264.2
Depreciation,52.41,71.64,90.23,106.44,103.6,131.63,232.23,259.88,151.12,138.16
Interest,1210.67,1831.55,2620.09,2809.7,3876.34,4783.23,4793.04,3834.03,2984.11,2574.56
Profit before tax,339.09,509.9,571.17,943.21,1348.91,1743.71,-2456.66,145.63,227.38,384.73
Tax,134.61,201.7,235.38,394.73,511.85,699.35,-412.88,-108.3,15.3,-20.83
Net profit,220.25,328.71,414.38,609.31,863.18,995.17,-2045.25,265.34,188.78,344.16
Dividend Amount,53.84,79.18,101.75,108.24,117.53,124.29,,129.18,130.24,134.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1821.14,1603.1,1911.28,1173.05,2090.56,2148.84,3012.39,1978.64,2155.76,2397.86
Expenses,1065.02,1025.18,1108.44,583.83,1418.38,1399.49,2209.04,1261.82,1365.93,1566.05
Other Income,68.15,306.99,38.33,124.57,46.18,61.11,51.48,16.83,9.17,16.69
Depreciation,35.53,53.49,26.24,31.81,29.82,26.3,50.23,29.92,30.74,32.28
Interest,748.4,704.05,729.34,626.39,645.92,646.14,656.11,679.75,661.9,727.06
Profit before tax,40.34,127.37,85.59,55.59,42.62,138.02,148.49,23.98,106.36,89.16
Tax,-24.88,51.18,40.21,20.19,-33.89,16.49,-23.62,-53.77,11.43,-63.12
Net profit,57.29,70.96,42.45,26.38,67.21,101.26,149.31,50.54,75.95,125.09
Operating Profit,756.12,577.92,802.84,589.22,672.18,749.35,803.35,716.82,789.83,831.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,76.91,79.18,81.4,83.26,87.06,88.78,88.95,89.09,89.82,89.84
Reserves,2813.25,3081.39,3593.46,4246.19,6796.27,7588.21,6039.76,6488.07,6447.6,6654.27
Borrowings,12948.09,23540.41,27773.13,33379.02,48964.09,46147.74,36657.34,28436.05,22767.59,21791.46
Other Liabilities,2352.11,3779.96,5536.58,7114.93,7473.4,10075.54,11229.9,11121.04,13758.13,15345.94
Total,18190.36,30480.94,36984.57,44823.4,63320.82,63900.27,54015.95,46134.25,43063.14,43881.51
Net Block,481.27,559.41,664.16,636.79,1055.31,1264.77,2344.91,1780.7,1597.36,1367.18
Capital Work in Progress,53.12,106.44,30.28,100.96,42.17,43.68,43.24,13.21,19.63,24.77
Investments,2126.31,2792.28,2696.43,6877.68,7887.14,12712.71,10012.41,12881.98,14139.3,17162.22
Other Assets,15529.66,27022.81,33593.7,37207.97,54336.2,49879.11,41615.39,31458.36,27306.85,25327.34
Total,18190.36,30480.94,36984.57,44823.4,63320.82,63900.27,54015.95,46134.25,43063.14,43881.51
Receivables,420.3,434.72,518.6,1098.24,3009.34,2754.01,1305.24,506.05,469.17,413.31
Inventory,3790.99,8708.74,11511.91,10652.4,4941.03,169.13,43.61,,,
Cash & Bank,1963.71,2365.26,1934.01,2618.19,4561.78,6455.43,8609.61,4760.21,3038.9,3699.07
No. of Equity Shares,769045330,791752619,814036630,832569089,870602147,887772784,889510000,890901297,898201185,898380000
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-150.81,-9183.2,-3762.08,-497.15,-12968.73,5685.3,12098.41,3458.03,5592.25,1719.89
Cash from Investing Activity,-1025.59,-867.4,-62.29,-4322.79,-530.2,-1312.45,199.25,4084.91,-1057.99,745.76
Cash from Financing Activity,1262.96,10019.14,3802.11,5112.36,14868.02,-3665.13,-10470.96,-8586.94,-6444.21,-1708.35
Net Cash Flow,86.56,-31.45,-22.26,292.42,1369.08,707.73,1826.7,-1044,-1909.95,757.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
