COMPANY NAME,ACTION CONSTRUCTION EQUIPMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1391.85,,,,,,,,,
Market Capitalization,16571.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,616.32,599.24,637.33,751.06,1086.55,1342.53,1156.23,1227.15,1629.58,2159.68
Raw Material Cost,465.33,424.46,442.89,532.83,770.44,1026.71,825.99,883.22,1192.38,1579.95
Change in Inventory,20.36,-9.42,-1.26,4.22,2.65,47.01,31.5,27.21,21.27,44.4
Power and Fuel,4.46,4.66,4.49,4.48,5.53,6.61,5.17,4.63,6.11,7.63
Other Mfr. Exp,42.88,43.43,45.65,35.47,45.45,58.44,56.82,54.35,71.64,93.2
Employee Cost,46.54,47.24,55.55,59.11,67.68,75.11,85.69,72.17,84.81,99.76
Selling and admin,30.98,31.31,37.11,61.62,83.02,98.73,95.51,90.21,122.47,150.39
Other Expenses,21.64,19.97,19.71,22.33,25.57,26.17,27,30.8,21.99,52.23
Other Income,5.31,11.92,9.59,7.81,7.95,9.71,4.15,15.31,10.78,41.12
Depreciation,15.28,9.58,11.35,12.07,11.93,11.75,13.01,13.94,15.41,18
Interest,10.41,13.01,14.01,15.96,13.53,11.52,14.66,12.23,9.52,10.29
Profit before tax,4.47,8.08,14.9,19.22,74,84.21,68.03,108.12,137.3,233.75
Tax,1.09,2.82,6.26,5.21,21.98,28.18,15.56,28.32,32.3,60.76
Net profit,4.58,6.65,9.95,15.33,52.08,56.04,52.49,79.83,105.02,171.6
Dividend Amount,0.99,1.98,2.35,3.52,5.86,5.86,5.68,5.68,7.15,11.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,360.9,436.58,510.59,497.68,491.83,556.33,613.84,651.61,673.24,753.11
Expenses,326.27,397.18,463.37,456.96,446.79,494.47,540.55,569.96,584.06,650.37
Other Income,1.6,3.36,5.4,24.36,5.96,7.68,3.12,16.24,16.97,22.97
Depreciation,3.78,3.96,4.02,4.66,3.97,4.38,4.99,5.21,5.43,5.89
Interest,2.62,1.91,4.27,1.65,2.13,3.13,3.38,3.14,3.81,5.52
Profit before tax,29.83,36.89,44.33,58.77,44.9,62.03,68.04,89.54,96.91,114.3
Tax,6.92,9.53,8.92,13.5,11.04,15.33,20.89,21.97,22.97,26.06
Net profit,22.92,27.36,35.42,43.49,33.97,46.49,47.65,67.55,73.92,88.25
Operating Profit,34.63,39.4,47.22,40.72,45.04,61.86,73.29,81.65,89.18,102.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,19.79,19.79,23.46,23.46,23.46,23.46,22.7,22.7,23.82,23.82
Reserves,267.39,271.74,259.05,310.52,358.68,414.08,419.94,500.58,730.27,894.74
Borrowings,149.61,137.72,124.26,113.65,61.21,53.24,82.41,54.58,31.02,7.45
Other Liabilities,167.72,180.14,213.12,229.05,373.44,396.12,428.56,477.43,497.25,673.73
Total,604.51,609.39,619.89,676.68,816.79,886.9,953.61,1055.29,1282.36,1599.74
Net Block,274.19,283.19,315.08,346.25,337.26,340.55,412.06,429.33,451.68,487.45
Capital Work in Progress,4.26,6.94,1.81,7.09,5.18,8.28,19.35,12.55,24.29,24.41
Investments,11.65,13.97,16.76,18.19,35.26,45.09,27.94,31.44,179.24,348.66
Other Assets,314.41,305.29,286.24,305.15,439.09,492.98,494.26,581.97,627.15,739.22
Total,604.51,609.39,619.89,676.68,816.79,886.9,953.61,1055.29,1282.36,1599.74
Receivables,68.51,80.91,81.49,103.94,169.91,144.11,147.33,224.68,188.72,169.34
Inventory,162.5,141.82,123.82,113.6,144.3,212.89,270.69,266.05,333.37,418.54
Cash & Bank,13.77,11.41,10.55,12.57,10.83,11.42,9.27,36.51,14.31,48.96
No. of Equity Shares,98940000,98940000,117323000,117323000,117323000,117323000,113483196,113483196,119083196,119083196
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,38.14,39.6,57.45,76.23,89.39,72.04,47.98,86.06,103.52,274.28
Cash from Investing Activity,-21.33,-14.46,-24.8,-17.3,-35.47,-26.66,-19.6,-16.23,-201.48,-217.51
Cash from Financing Activity,-19.33,-26.06,-33,-56.8,-53.11,-43.65,-33.43,-40.34,70.8,-41.01
Net Cash Flow,-2.52,-0.92,-0.36,2.13,0.81,1.73,-5.06,29.5,-27.16,15.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,14.35,40.55,38.7,59.75,167.65,114.6,34.25,154.35,240.5,406.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
