COMPANY NAME,360 ONE WAM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,730.85,,,,,,,,,
Market Capitalization,26216.91,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,1705.14,1578.47,1520.77,1654.32,2071.81,2058.89,2507.03
Raw Material Cost,,,,,20.56,22.23,53.82,,,150.04
Change in Inventory,,,,,19.75,-19.75,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,78.05,97.73,167.28,145.31,222.83,123.87,
Employee Cost,,,,390.84,332.69,374.41,410.73,592.87,509.05,686.69
Selling and admin,,,,148.53,158.07,110.01,77.98,105.27,122.86,
Other Expenses,,,,34.94,-0.49,3.83,27.35,-6.16,11.15,379.33
Other Income,,,,9.67,0.86,5.77,2.31,5.89,4.89,417.7
Depreciation,,,,13.61,21.51,41.02,42.97,41.74,46.31,56.64
Interest,,,,558.76,431.08,501.59,413.55,369.85,400.25,643.49
Profit before tax,,,,490.08,537.93,286.42,484.92,751.3,850.29,1008.54
Tax,,,,109.9,163.38,85.26,115.73,173.56,192.4,204.33
Net profit,,,,380.17,374.55,201.16,369.19,577.74,657.93,804.21
Dividend Amount,,,,71.78,84.5,174.3,615.3,487.85,2457.09,592.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,536.23,447.3,471.12,504.8,517.09,482.19,573,560.63,629.79,791.74
Expenses,267.21,258.27,179.79,188.38,188.84,209.77,219.8,236.76,254.87,504.92
Other Income,34.39,131.67,8.17,18.91,13.04,48.33,7.89,62.41,40.88,259.46
Depreciation,10.46,10.44,10.5,11.62,11.72,12.47,12.57,13.65,13.87,16.55
Interest,95.08,96.1,87.56,98.19,106.32,108.2,124.65,145.88,166.9,206.84
Profit before tax,197.87,214.16,201.44,225.52,223.25,200.08,223.87,226.75,235.03,322.89
Tax,44.93,48.7,44.86,51.15,51.72,44.67,40.29,40.84,42.92,80.28
Net profit,152.94,165.46,156.58,174.37,171.54,155.45,183.76,186.02,192.11,242.61
Operating Profit,269.02,189.03,291.33,316.42,328.25,272.42,353.2,323.87,374.92,286.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,15.95,16.9,17.43,17.58,17.74,35.61,35.89
Reserves,,,,1846.94,2893.52,2974.08,2810.19,3005.79,3086.34,3413.84
Borrowings,,,,6966.33,6103.08,8838.1,5076.69,5807.58,6747.29,9471.93
Other Liabilities,,,,737.36,749.42,1191.4,834.39,1903.14,1321.47,2197.19
Total,,,,9566.58,9762.92,13021.01,8738.85,10734.25,11190.71,15118.85
Net Block,,,,30.59,336.6,608.16,837.19,815.99,879.75,1003.59
Capital Work in Progress,,,,21.73,173.43,1.1,2.43,0.27,39.16,
Investments,,,,1111.2,3052.57,6512.44,2512.86,4072.39,3609.17,5947.67
Other Assets,,,,8403.06,6200.32,5899.31,5386.37,5845.6,6662.63,8167.59
Total,,,,9566.58,9762.92,13021.01,8738.85,10734.25,11190.71,15118.85
Receivables,,,,195.2,296.07,242.55,226.4,268.16,319.6,328.17
Inventory,,,,,19.75,,,,,
Cash & Bank,,,,745.2,277.42,1178.71,838.19,1022.2,725.56,638.17
No. of Equity Shares,,,,79753463,84485484,87145002,87882770,88707803,356089556,
New Bonus Shares,,,,,,,,,178036112,
Face value,,,,2,2,2,2,2,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-2771.96,1852.27,1628.09,462.66,928.8,-1345.29,-470.11
Cash from Investing Activity,,,,1072.53,-2133.47,-3360.69,4128.39,-1128.11,786.07,-1574.58
Cash from Financing Activity,,,,1262.78,-80.43,2289.67,-4835.61,251.23,580.14,1977.74
Net Cash Flow,,,,-436.66,-361.63,557.06,-244.57,51.92,20.92,-66.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,251.45,309.85,417.23,430.7,675.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,34.88,35.16,35.48,35.61,35.89
