COMPANY NAME,GUJARAT PIPAVAV PORT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,198.8,,,,,,,,,
Market Capitalization,9613.14,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,517.94,867.03,659.95,683.1,648.9,701.98,735.37,733.46,741.37,916.95
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,27.83,39.04,26.11,28.41,27.33,27.15,26.52,24.18,27.02,35.16
Other Mfr. Exp,161.37,223.58,172.95,150.58,155.5,185.4,166.91,185.17,190.86,245.16
Employee Cost,42.05,61.74,46.41,49.92,53.27,60.07,57.07,67.56,74.75,75.35
Selling and admin,22.64,31.22,23.48,21.47,22.34,21.44,21.06,16.62,22.27,40.56
Other Expenses,7.04,9.89,8.8,12.11,16.23,19.03,17.16,17.81,15.66,18.12
Other Income,32.97,-4.84,24.23,33.34,36.89,45.22,50.84,44.2,25.73,13.38
Depreciation,60.78,83.29,97.34,106.52,103.56,112.84,131.45,133.45,129.27,116.15
Interest,37.43,26.15,0.16,0.4,0.35,0.37,7.38,6.31,4.77,7.96
Profit before tax,191.77,387.28,308.93,347.03,307.21,320.9,358.66,326.56,302.5,391.87
Tax,,,117.75,97.12,108.74,115.29,66.26,108.16,109.27,100.08
Net profit,191.77,387.28,191.18,249.91,198.46,205.63,292.4,218.4,193.24,291.78
Dividend Amount,,,91.85,183.71,164.37,169.2,270.73,217.55,193.38,294.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,194.7,168.56,219.67,206.55,227.26,249.26,234.73,214.92,252.61,269.63
Expenses,85.71,81.87,91.7,94.9,106.25,108.87,104.78,109.08,101.96,110.33
Other Income,-1.65,16.89,13.32,-2.09,5.33,-1.28,11.02,13.98,25.18,18.88
Depreciation,33.33,31.81,30.73,30.03,28.94,29.61,27.57,28.7,28.8,29.18
Interest,1.13,1.04,1.26,2.14,2,1.91,1.91,2.53,2.17,2.02
Profit before tax,72.88,70.73,109.3,77.39,95.4,107.59,111.49,88.59,144.86,146.98
Tax,27.3,26.97,37.57,19.86,24.54,28.24,27.45,22.68,37.19,36.7
Net profit,45.58,43.76,71.73,57.53,70.87,79.35,84.04,65.91,107.68,110.28
Operating Profit,108.99,86.69,127.97,111.65,121.01,140.39,129.95,105.84,150.65,159.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,483.44,483.44,483.44,483.44,483.44,483.44,483.44,483.44,483.44,483.44
Reserves,920.07,1307.35,1513.14,1536.06,1530.62,1537.57,1601.41,1548.76,1548.98,1594.88
Borrowings,303.88,,,,,,58.49,46.53,47.08,79.44
Other Liabilities,159.24,199.73,282.12,331.07,296.42,348.25,282.36,363.29,442.24,479.08
Total,1866.63,1990.52,2278.7,2350.57,2310.48,2369.26,2425.7,2442.02,2521.74,2636.84
Net Block,1357.8,1339.32,1342.38,1676.19,1686.28,1590.06,1582.54,1467.26,1408.21,1363.15
Capital Work in Progress,106.12,65.26,391.53,92.22,32.32,45.38,5.7,52.78,49.03,94.55
Investments,83,83,83,83,83,83,83,83,83,83
Other Assets,319.71,502.94,461.79,499.16,508.88,650.82,754.46,838.98,981.5,1096.14
Total,1866.63,1990.52,2278.7,2350.57,2310.48,2369.26,2425.7,2442.02,2521.74,2636.84
Receivables,34.36,35.6,28.85,28.57,25.76,50.97,45.91,48.3,52,85.62
Inventory,12,13.49,15.49,15.56,13.62,8.43,7.61,10.49,10.18,7.6
Cash & Bank,202.31,243.91,294.9,352.25,431.55,533.71,649.51,725.37,855.78,894.79
No. of Equity Shares,483439910,483439910,483439910,483439910,483439910,483439910,483439910,483439910,483439910,483439910
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,289.99,443.53,389.41,402.01,314.55,295.69,339.55,384.08,380.32,370.14
Cash from Investing Activity,-175.82,-207.32,-285.29,-240.92,-128.8,-122.25,-81.07,-101.02,-166.35,-81.67
Cash from Financing Activity,-54.41,-331.55,-0.16,-227.18,-203.71,-198.08,-250.32,-295.69,-219.94,-273.06
Net Cash Flow,59.76,-95.34,103.95,-66.1,-17.95,-24.64,8.16,-12.63,-5.98,15.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,63.2,242.05,176.5,165.1,145.35,99.5,60.25,97.05,76.4,116.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34,48.34
