COMPANY NAME,SUN TV NETWORK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,656.8,,,,,,,,,
Market Capitalization,25871.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2223.62,2395.38,2473.64,2645.72,2963.02,3782.54,3519.85,3176.89,3584.82,3772.05
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,27.75,26.6,18.75,17.15,18.62,19.62,19.77,16.58,16.87,26.9
Other Mfr. Exp,319.33,309.08,304.83,323.98,403.07,541.24,576.42,474.03,624.23,707.96
Employee Cost,218.99,235.08,250.8,273.51,314.54,329.86,323.22,307.12,293.99,305.26
Selling and admin,115.44,131.55,133.59,208.38,175.83,262.67,222.53,207.78,227.9,280.15
Other Expenses,34.07,15.44,544.61,50.97,47.2,22.37,106,105.94,142.93,58.68
Other Income,86.61,98.52,676.93,180.67,165.25,242.42,260.49,306.36,255.84,380.49
Depreciation,478.28,615.31,496.7,400.45,449.99,662.81,700.2,403.92,306.12,486
Interest,2.94,2.29,2.19,1.03,1.08,1.65,12.75,26.86,33.25,9.42
Profit before tax,1113.43,1158.55,1399.1,1550.92,1717.94,2184.74,1819.45,1941.02,2195.37,2278.17
Tax,368.21,375.96,476.79,520.26,582.42,751.06,433.96,415.78,553.46,571.25
Net profit,748.01,782.04,921.83,1030.26,1135.12,1433.27,1385.16,1525.03,1641.8,1706.41
Dividend Amount,374.38,443.34,610.82,394.08,394.08,295.56,985.2,197.04,541.86,591.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,848.67,1060.43,856.85,1219.14,825.65,886.88,840.36,1349.22,1048.45,923.15
Expenses,322.9,325.54,292.96,449.57,288.59,302.56,342.53,551.77,320.67,333.83
Other Income,68.92,48.34,60.59,103.88,89.41,100.5,91.04,122.08,111.76,139.7
Depreciation,40.38,158.11,69.63,212.56,80.09,113.61,79.74,89.55,218.75,115.32
Interest,24.68,1.97,4.5,2.41,2.58,1.95,2.48,3.15,1.68,1.85
Profit before tax,529.63,623.15,550.35,658.48,543.8,569.26,506.65,826.83,619.11,611.85
Tax,134.08,151.96,140.18,164.49,136.36,144.16,126.25,234.75,154.42,157.76
Net profit,395.46,471,410.16,493.88,407.31,425,380.23,591.93,464.54,453.86
Operating Profit,525.77,734.89,563.89,769.57,537.06,584.32,497.83,797.45,727.78,589.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,197.04,197.04,197.04,197.04,197.04,197.04,197.04,197.04,197.04,197.04
Reserves,2898.39,3151.1,3277,3831.42,4491.35,5329.45,5527.07,6856.67,7958.16,9074.55
Borrowings,,,,,,,,80.35,94.88,62.87
Other Liabilities,468.15,396.88,285.44,349.7,584.85,670.14,782.46,812.37,648.02,813.62
Total,3563.58,3745.02,3759.48,4378.16,5273.24,6196.63,6506.57,7946.43,8898.1,10148.08
Net Block,1373.3,1179.21,845.14,1224.54,1153.49,1112.03,1145.39,945.53,1791.43,1729.21
Capital Work in Progress,1.76,1.83,0.74,1.64,49.06,13.36,66.3,146.32,244.05,131.26
Investments,471.59,505.76,635.79,1148.04,2147.42,2800.52,2692.03,3504.04,3588.96,5512.22
Other Assets,1716.93,2058.22,2277.81,2003.94,1923.27,2270.72,2602.85,3350.54,3273.66,2775.39
Total,3563.58,3745.02,3759.48,4378.16,5273.24,6196.63,6506.57,7946.43,8898.1,10148.08
Receivables,630.35,757.49,776.11,772.6,1062.29,1133.99,1367.22,1433.94,1466.02,1474.3
Inventory,0.57,0.48,1.13,0.89,0.25,0.24,,,,
Cash & Bank,609.41,759.29,904.85,788.39,372.6,593,703.17,1071.84,1137.54,598.57
No. of Equity Shares,394084600,394084600,394084620,394084620,394084620,394084620,394084620,394084620,394084620,394084620
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1194.7,1162.27,1298.98,1295.53,1371.24,1824.1,1655.62,1464.22,1633.67,2095.51
Cash from Investing Activity,-786.23,-518.5,-401.46,-716.43,-1294.08,-1113.27,-406.35,-1151.69,-1026.01,-1552.7
Cash from Financing Activity,-430.75,-634.83,-737.37,-475.33,-475.4,-595.52,-1222.37,-249.46,-602.73,-630.63
Net Cash Flow,-22.28,8.94,160.15,103.77,-398.24,115.31,26.9,63.07,4.93,-87.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,401.75,441.85,377.45,790.65,848.6,628.1,285.95,470.3,489.85,415.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
