COMPANY NAME,SHREE RENUKA SUGARS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,41.7,,,,,,,,,
Market Capitalization,8886.24,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,11546.43,10087.6,9848.62,11844.47,6250.31,4503.73,4876.49,5644.6,6431.29,9017.19
Raw Material Cost,8717.61,9133.19,8726.11,9796.33,6766.25,4188.59,4113.46,4771.68,4893.5,7164.1
Change in Inventory,-941.6,382.38,-154.25,-490.83,144.17,517.96,67.44,480.48,-223.44,117.27
Power and Fuel,28.68,18.91,11.67,35.98,36.33,65.21,62.81,82.26,158.23,256.75
Other Mfr. Exp,226.29,251.22,154.71,142.4,143.68,107,135.94,270.62,242.34,381.88
Employee Cost,245.31,253.3,205.36,194.84,120.51,126.77,120.65,126.02,141.9,168.77
Selling and admin,431.5,349.11,374.19,434.59,265.99,250.71,216.09,259.14,286.5,458.95
Other Expenses,30.86,666.6,506.18,379.13,1676.19,1659.17,234.67,44.71,84.36,113.82
Other Income,-568.38,27.24,79.64,376.81,527.91,110.7,2823.1,73.8,60.94,59.3
Depreciation,1076.08,991.27,775.58,954.96,240.09,220.71,210.77,208.51,207.91,237.65
Interest,959.08,922.22,976.42,958.11,519.26,560.44,511.25,384.18,392.62,591.4
Profit before tax,-1678.96,-2088.6,-1956.21,-1165.89,-2845.91,-2046.21,2161.39,51.76,-138.57,-179.56
Tax,-199.99,-275.01,-147.12,-13.88,-642.16,-8.81,211.63,168.28,-1.85,17.1
Net profit,-1477.98,-1812.87,-1809.42,-1151.89,-1703.95,-1448.37,2099.17,-114.77,-138.54,-196.97
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1414.3,2014,2172.9,1953,2187.6,2551.6,2328.5,2284,2554.7,3014
Expenses,1379.6,1842.7,1898.5,1900.6,2142,2344.5,2069.9,2213.4,2491,2822.2
Other Income,34.5,11.3,17.8,17,15.7,11.6,41.5,70.6,10,48.1
Depreciation,54.2,48.4,51.6,58.5,59.5,59.6,60.1,64.1,64.1,69.1
Interest,96.7,90.7,100,123.9,133.6,144.3,189.6,214,216.8,244.4
Profit before tax,-81.7,43.5,140.6,-113,-131.8,14.8,50.4,-136.9,-207.2,-73.6
Tax,16.1,0.2,-18.2,0.9,9.8,0.6,5.8,2,-1.6,98.1
Net profit,-97.2,42.8,156.3,-113.3,-140.8,14.3,42.8,-138.2,-204.9,-172.3
Operating Profit,34.7,171.3,274.4,52.4,45.6,207.1,258.6,70.6,63.7,191.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,67.13,92.88,92.88,94.53,191.68,191.68,191.68,212.85,212.85,212.85
Reserves,-563.61,-2435.4,-1855.98,-3437.05,-1898.71,-3199.22,-1074.29,-875.44,-820.58,-1094.07
Borrowings,9559.66,8896.72,9103.93,9874.65,7851.12,2379.59,2808.44,4446.92,5233.65,5568.65
Other Liabilities,3887.41,4412.46,6173.91,6059.51,3853.79,10252.44,4744.6,3122.25,2477.46,2916.76
Total,12950.59,10966.66,13514.74,12591.64,9997.88,9624.49,6670.43,6906.58,7103.38,7604.19
Net Block,7970.07,6007.8,7701.52,7586.57,6192.08,4023.37,3886.26,3776.47,4003.87,4296.05
Capital Work in Progress,31.89,33.09,37.37,35.11,29.18,100.06,142.29,7.34,217.07,114.34
Investments,166.94,84.69,86.18,121.07,107.55,18.59,18.52,60.11,43.25,42.38
Other Assets,4781.69,4841.08,5689.67,4848.89,3669.07,5482.47,2623.36,3062.66,2839.19,3151.42
Total,12950.59,10966.66,13514.74,12591.64,9997.88,9624.49,6670.43,6906.58,7103.38,7604.19
Receivables,644.28,616.87,722.34,1011.95,761.83,285.08,133.18,154.09,289.69,206.77
Inventory,2277.51,2232.6,2093.72,1428.22,1030.78,1731.82,1678.71,2442.13,2072.75,2278.6
Cash & Bank,161.49,130.23,54.14,58.25,56.72,34.1,74.97,86.55,75.95,185.14
No. of Equity Shares,671319650,928811240,928811242,945246580,1916819292,1916819292,1916819292,2128489773,2128489773,2128489773
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,223.88,734.23,487.52,1117.75,-21.72,254.74,561.28,-1564.13,-133.7,926.42
Cash from Investing Activity,-0.29,90.87,-224.5,-864.26,-8.06,200.83,137.62,-108.31,-337.18,-450.04
Cash from Financing Activity,-408.12,-898.07,-272.2,-246.02,25.75,-473.48,-664.7,1640.55,454.48,-331.58
Net Cash Flow,-184.53,-72.97,-9.18,7.48,-4.03,-17.91,34.2,-31.88,-16.39,144.8
