COMPANY NAME,SUMITOMO CHEMICAL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,386.25,,,,,,,,,
Market Capitalization,19281.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,634.69,670.8,724.29,798.51,1910.75,2223.02,2423.36,2642.65,3060.19,3510.97
Raw Material Cost,503.04,524.2,514.71,575.02,1139.75,1387.08,1476.12,1603.32,1896.8,1922.59
Change in Inventory,21.03,15.34,7.8,43.83,44.97,102.04,-129.54,118.54,171.47,-146.38
Power and Fuel,5.18,4.04,3.2,3.21,24.69,26.26,27.5,26.51,34.64,38.64
Other Mfr. Exp,2.09,2.51,1.82,1.62,199.04,234.78,61.9,228.53,245.91,263.53
Employee Cost,30.48,35.14,41.78,60.53,147.24,158.01,178.23,193.23,201.28,217.2
Selling and admin,73.23,87.16,73.53,73.96,166.83,184.46,163.87,163.79,196.86,198.82
Other Expenses,-6,-23.6,7.69,27.2,58.9,43.77,50.9,58.27,53.61,55.4
Other Income,3.16,8.29,25.78,10.46,30.54,-0.17,-20.05,18.97,35.94,45.06
Depreciation,6.31,6.29,7.44,6.95,23.73,27.79,40.92,46.56,44.79,51.86
Interest,1.59,0.66,0.65,1.17,5.38,4.75,7.05,6.83,7.89,6.2
Profit before tax,42.96,58.03,107.05,103.14,220.7,257.99,267.28,453.12,585.82,655.41
Tax,9.81,23.21,42.43,41.54,75.61,90.99,61.66,107.83,152.09,151.97
Net profit,33.15,34.82,64.63,61.61,145.09,167,205.63,345.3,433.73,503.44
Dividend Amount,,,,,,62.88,37.44,39.93,49.92,59.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,909.9,707.15,664.04,985.81,1121.67,752.99,651.57,724.24,903.48,540.45
Expenses,694.87,580.32,555.23,797.99,843.29,632.43,570.72,643.48,715.44,474.51
Other Income,8.38,14.68,7.45,4.66,10.68,13.17,16.54,17.5,24.69,26.85
Depreciation,10.92,11.38,11.45,11.24,15.21,11.39,14.03,13.52,15.77,16.06
Interest,2.01,1.61,0.72,1.31,1.38,1.31,1.39,1.34,1.24,1.16
Profit before tax,210.48,128.52,104.09,179.93,272.47,121.03,81.97,83.4,195.72,75.57
Tax,55.38,30.73,29.38,41.53,70.52,30.42,9.49,21.62,52.05,20.62
Net profit,155.1,97.78,74.71,138.41,201.95,90.61,72.47,61.78,143.68,54.95
Operating Profit,215.03,126.83,108.81,187.82,278.38,120.56,80.85,80.76,188.04,65.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,232.99,232.99,232.99,274.59,274.59,274.59,499.15,499.15,499.15,499.15
Reserves,-36.38,-1.56,63.07,359.74,664.86,760.73,709.55,1028.68,1425.21,1880.76
Borrowings,,,,,10.15,19.75,35.58,32.64,37.58,33.97
Other Liabilities,243.45,234.25,280.3,288.12,694.53,791.19,848.27,1097.06,1047.31,954.92
Total,440.06,465.68,576.36,922.45,1644.13,1846.26,2092.55,2657.53,3009.25,3368.8
Net Block,47.04,50.67,52.18,52.54,266.72,279.18,319.4,309.27,390.32,429.79
Capital Work in Progress,,,0.6,7.4,8.71,8.06,10.27,14.21,35.22,71.2
Investments,0.03,0.03,0.11,277.41,1.74,0.9,86.87,291.11,356.65,239.39
Other Assets,392.99,414.98,523.47,585.1,1366.96,1558.12,1676.01,2042.94,2227.06,2628.42
Total,440.06,465.68,576.36,922.45,1644.13,1846.26,2092.55,2657.53,3009.25,3368.8
Receivables,155.89,152.69,183.28,221.19,550.89,668.94,847.83,845.5,843.14,946.06
Inventory,164.93,188.37,235.2,277.59,605.16,680.04,587.01,753.81,937.76,888.7
Cash & Bank,29.18,25.31,72.01,37.97,65.74,40.18,82.72,230.7,78.65,302.52
No. of Equity Shares,232984521,232984521,232984521,274588095,274588095,274588095,499145736,499145736,499145736,499145736
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,19.54,3.87,52.45,-20.72,48.82,74.84,221.63,424.5,223.19,389.38
Cash from Investing Activity,-7.93,-7.83,-5.34,-289.41,-39.57,-35.06,-117.71,-282.31,-280.81,-327.05
Cash from Financing Activity,-0.74,0.1,-0.41,276.1,7.18,-65.45,-61.38,-47.06,-62.55,-72.55
Net Cash Flow,10.87,-3.87,46.7,-34.04,16.44,-25.68,42.53,95.13,-120.17,-10.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,184.7,290.7,448.5,426.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,49.91,49.91,49.91,49.91
