COMPANY NAME,LLOYDS ENGINEERING WORKS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,58.2,,,,,,,,,
Market Capitalization,6662.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,510.46,116.69,76.15,121.98,97.72,114.46,70.05,50.1,312.61,624.24
Raw Material Cost,417.25,51.95,8.85,89.62,48.5,53.79,39.82,38.44,229.65,369.79
Change in Inventory,-38.28,-11.61,-24.35,-20.3,10.4,-1.46,-2.5,27.48,41.51,-32.86
Power and Fuel,0.78,0.63,0.51,0.39,0.62,1.01,0.57,0.84,1.95,
Other Mfr. Exp,16.33,31.27,23.08,19.39,41.5,35.88,14.59,10.83,39.67,
Employee Cost,12.02,12.58,12.91,12.36,13.9,16.88,12.61,13.85,19.1,30.05
Selling and admin,5.45,5.85,5.25,7.09,4.81,5.38,2.47,7.23,6.97,
Other Expenses,2.56,4.59,4.19,2.78,4.29,2.96,7.52,1.68,3.96,90.54
Other Income,8.85,8.26,5.53,34.23,10.04,8.28,13.09,9.75,2.72,7.44
Depreciation,1.48,1.47,1.13,1.01,1.05,1.57,1.59,1.34,2.38,4.05
Interest,22.51,4.36,0.31,0.29,0.33,0.54,0.77,1.02,3.94,4.17
Profit before tax,2.65,0.64,1.1,2.98,3.16,3.27,0.7,12.1,49.22,100.22
Tax,,,0.2,0.91,0.28,0.78,0.19,6.16,12.4,20.38
Net profit,2.65,0.64,0.89,2.07,2.88,2.49,0.5,5.95,36.82,79.84
Dividend Amount,,,,,,,,4.49,9.89,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,19.29,18.25,50.77,29.58,58.41,173.85,113.12,121.78,201.44,187.9
Expenses,16.55,11.01,38.43,22.43,38.53,160.96,98.57,97.83,165.73,161.13
Other Income,1.51,1.12,-1.11,2.06,1.09,1.25,1.95,1.37,1.17,2.96
Depreciation,0.35,0.35,0.4,0.58,0.63,0.77,0.67,0.78,1.06,1.53
Interest,0.15,0.6,0.75,1.08,0.87,1.25,0.95,1.22,0.72,1.28
Profit before tax,3.75,7.41,10.08,7.55,19.47,12.12,14.88,23.32,35.1,26.92
Tax,,6.16,,,6.7,5.7,2.04,4.53,8.03,5.79
Net profit,3.75,1.25,10.08,7.55,12.78,6.42,12.84,18.79,27.08,21.13
Operating Profit,2.74,7.24,12.34,7.15,19.88,12.89,14.55,23.95,35.71,26.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,0.05,89.87,89.87,89.87,89.87,89.87,89.87,89.87,98.87,114.46
Reserves,91.36,3.14,14.98,16.98,19.67,22.52,23.58,29.52,89.33,296.74
Borrowings,0.61,0.34,,0.44,1.18,1.07,4.81,25.35,52.2,75.31
Other Liabilities,833.53,475.32,449.74,402.83,277.14,44.38,33.19,49.39,130.45,84.77
Total,925.55,568.67,554.59,510.12,387.86,157.84,151.45,194.13,370.85,571.28
Net Block,12.11,12.57,11.52,11.4,11.54,14.25,14.04,13.95,33.34,77.49
Capital Work in Progress,,,,,,,,3.74,25.55,10.65
Investments,,,,,,,,,,4.9
Other Assets,913.44,556.1,543.07,498.72,376.32,143.59,137.41,176.44,311.96,478.24
Total,925.55,568.67,554.59,510.12,387.86,157.84,151.45,194.13,370.85,571.28
Receivables,287.24,328.62,295.49,167.99,93.3,24.68,8.83,9.83,29.09,151.81
Inventory,68.99,57.49,31.74,10.47,33.86,21.53,18.77,48.85,114.58,101.98
Cash & Bank,19.6,18.85,18.77,20.41,22.37,21.6,18.29,24.59,8.07,125.22
No. of Equity Shares,500000,898698382,898698382,898698382,898698382,898698382,898698382,898698382,988698382,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,15.34,0.56,-3.77,-4.41,-2.28,-9.01,17.54,-17.09,-3.1,-44.98
Cash from Investing Activity,10.62,0.3,3.23,4.83,1.38,12.05,-16.76,-11.94,-53.65,-96.75
Cash from Financing Activity,-22.51,-4.36,-0.31,-0.29,-0.33,-0.24,-0.31,36.1,45.65,142.32
Net Cash Flow,3.45,-3.5,-0.85,0.13,-1.23,2.79,0.47,7.08,-11.11,0.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,1.73,1.2,0.87,0.34,1.11,13.51,17.27,49.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,95.16,95.16,95.16,95.16,95.16,95.16,95.16,104.69,114.46
