COMPANY NAME,R R KABEL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,1601.85,,,,,,,,,
Market Capitalization,18063.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,1979.93,2388.07,2472.43,2715.94,4385.94,5599.2
Raw Material Cost,,,,,1539.11,2000.44,1935.23,2301.26,3732.13,4738.64
Change in Inventory,,,,,2.74,117.93,13.09,153.84,124.15,162.94
Power and Fuel,,,,,20.48,26.44,29.91,30.66,37.02,48.79
Other Mfr. Exp,,,,,10.5,13.74,61.09,63.89,19.17,27.49
Employee Cost,,,,,73.14,107.16,135.77,148.58,189.08,264.89
Selling and admin,,,,,96.92,151.6,80.32,61.94,197.98,300.33
Other Expenses,,,,,19.66,30.08,36.27,31.26,30.5,58.95
Other Income,,,,,13.58,24.76,27.02,22,46.28,34.44
Depreciation,,,,,24.55,30.58,38.8,44.75,46.09,59.63
Interest,,,,,27.83,38.31,37.39,29.11,24.25,42.81
Profit before tax,,,,,184.06,132.41,157.76,180.33,280.15,255.05
Tax,,,,,62.46,46.77,35.28,46.03,70.43,66.12
Net profit,,,,,121.61,85.65,122.48,134.3,209.74,188.93
Dividend Amount,,,,,23.26,,30.42,,,43.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,1367.24,1479.53,1597.31,1609.67,1633.52
Expenses,,,,,,1302.84,1361.97,1484.36,1488.76,1520.97
Other Income,,,,,,9.48,3.72,16.28,14.76,12.24
Depreciation,,,,,,14.96,16.52,16.09,16.6,16.48
Interest,,,,,,9.63,11.43,14.42,14.18,12.43
Profit before tax,,,,,,49.29,93.33,98.72,104.89,95.88
Tax,,,,,,12.72,23.91,25.04,30.95,24.96
Net profit,,,,,,36.57,69.41,73.68,73.94,70.93
Operating Profit,,,,,,64.4,117.56,112.95,120.91,112.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,24.15,23.4,23.4,23.92,23.92,47.85
Reserves,,,,,434.69,408.13,480.5,606.75,805.92,953.4
Borrowings,,,,,371.32,396.68,392.1,497.83,532.59,580.44
Other Liabilities,,,,,162.78,640.97,649.21,585.84,682.94,1048.67
Total,,,,,992.94,1469.18,1545.21,1714.34,2045.37,2630.36
Net Block,,,,,248.87,301.57,390.53,399.41,398.49,517.16
Capital Work in Progress,,,,,5.24,42.62,15.37,7.17,42.91,43.58
Investments,,,,,34.65,193.41,220.6,235.85,262.4,359.4
Other Assets,,,,,704.18,931.58,918.71,1071.91,1341.57,1710.22
Total,,,,,992.94,1469.18,1545.21,1714.34,2045.37,2630.36
Receivables,,,,,418.54,446.51,418.96,420.36,517.14,591.87
Inventory,,,,,189.46,352.71,375.21,534.05,709.62,860.18
Cash & Bank,,,,,13.46,5.84,11.28,8.47,12.3,81.08
No. of Equity Shares,,,,,24146000,23395276,23395276,23924074,23924074,95696296
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,94.62,40.16,211.29,-71.06,98.17,453.75
Cash from Investing Activity,,,,,-43.71,-275.76,-122.28,-5.88,-62.66,-333.5
Cash from Financing Activity,,,,,-45.13,227.66,-83.58,74.12,-31.61,-101.51
Net Cash Flow,,,,,5.78,-7.94,5.44,-2.81,3.9,18.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.41,2.34,2.34,2.39,2.39,9.57
