COMPANY NAME,ESAF SMALL FINANCE BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,56.15,,,,,,,,,
Market Capitalization,2889.04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,1031.64,1413.25,1641.17,1939.93,2853.66,3818.43
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,1.2,1.31,1.58,1.76,4.7,
Employee Cost,,,,,78.25,145.55,189.18,233.62,279.63,362.97
Selling and admin,,,,,48.2,57.14,70.94,97.52,134.15,
Other Expenses,,,,,410.77,441.96,617.18,915.2,1257.94,1878.14
Other Income,,,,,109.15,133.19,127.25,207.58,287.91,441.82
Depreciation,,,,,16.91,23.17,28.57,32.77,41.79,
Interest,,,,,458.28,621.06,719.58,792.79,1017.32,1448.73
Profit before tax,,,,,127.18,256.25,141.39,73.85,406.04,570.41
Tax,,,,,36.9,65.87,35.99,19.12,103.71,144.84
Net profit,,,,,90.28,190.39,105.4,54.73,302.33,425.57
Dividend Amount,,,,,,,,,,36.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,2021-03-31 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,385.09,597.64,688.19,701.28,773.8,898.75,943.34,974.37,1002
Expenses,,197.6,285.36,425.18,481.23,456.69,504.75,487.2,567.09,682.06
Other Income,,47.76,48.79,65.04,80.91,94.02,93.03,78.94,119.98,149.84
Depreciation,,,,,,,,,,
Interest,,177.94,219.79,250.92,249.93,274.91,313.29,346.79,377.41,411.25
Profit before tax,,57.31,141.28,77.13,51.03,136.22,173.74,188.29,149.85,58.53
Tax,,14.02,35.68,19.55,13.62,34.84,43.78,48.17,37.71,15.18
Net profit,,43.29,105.6,57.58,37.41,101.38,129.96,140.12,112.14,43.35
Operating Profit,,187.49,312.28,263.01,220.05,317.11,394,456.14,407.28,319.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,427.8,427.8,449.47,449.47,449.47,
Reserves,,,,,465.9,656.29,902.59,962.13,1265.53,
Borrowings,,,,,6019.37,8231.7,10693.43,15767.9,18019.83,
Other Liabilities,,,,,145.34,154.18,293.16,528.07,488.82,
Total,,,,,7058.41,9469.97,12338.65,17707.57,20223.65,
Net Block,,,,,85.67,115.91,132.61,159.4,187.69,
Capital Work in Progress,,,,,4.27,4.2,5.91,0.07,0.24,
Investments,,,,,1530.75,1733.63,1932.07,4070.3,4888.53,
Other Assets,,,,,5437.72,7616.23,10268.06,13477.8,15147.19,
Total,,,,,7058.41,9469.97,12338.65,17707.57,20223.65,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,,,,781.46,902.79,1819.13,1511.9,767.05,
No. of Equity Shares,,,,,427795490,427790000,449473798,449473798,449473798,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,-239.13,1088.88,1127.45,-584.5,-573,
Cash from Investing Activity,,,,,-170.9,-634.78,-637.96,-981.85,-573.22,
Cash from Financing Activity,,,,,487.77,-499.04,653.27,1258.83,401.36,
Net Cash Flow,,,,,77.74,-44.95,1142.76,-307.52,-744.86,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,54.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,42.78,42.78,44.95,44.95,44.95,51.48
