COMPANY NAME,VODAFONE IDEA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,12.65,,,,,,,,,
Market Capitalization,84035.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,26518.91,31570.89,35949.41,35575.74,28278.9,37092.5,44957.5,41952.2,38515.5,42177.2
Raw Material Cost,194.14,138.33,28.9,27.92,7.3,26,3.9,3,7,7.8
Change in Inventory,1.44,-6.83,,,,,,,,
Power and Fuel,2317.44,2458.96,2577.72,3118.74,3114,5805.8,6189,5603.9,5720.6,5825.8
Other Mfr. Exp,13345.11,15479.97,18498.84,18568.29,15977.8,22425.2,18997.7,15546.1,13522,16182.9
Employee Cost,1312.26,1555.15,1627.23,1798.13,1543.4,2295,2165.4,2030.9,1736.3,1867.3
Selling and admin,824.72,866.41,888.03,1392.58,1223.3,1633,1550.2,933.2,1124.7,1132.4
Other Expenses,244.75,265.55,660.51,442.62,358.6,791.2,1135.5,888.8,436.7,408.2
Other Income,247.33,496.67,641.2,746.38,702.8,1789.1,-36963.7,-19563,362.8,353.6
Depreciation,4519.4,5303.62,6256.07,7827.2,8409.1,14535.6,24356.4,23638.5,23584.3,23049.7
Interest,965.59,1060.21,1803.18,4009.87,4847.4,9545.2,15392.7,17998.2,20980.8,23354.3
Profit before tax,3044.27,4932.53,4250.13,-863.23,-6499.2,-18175.4,-61797,-44253.4,-28234.1,-29297.6
Tax,1076.44,1739.63,1522,-463.54,-2331,-3571.5,12081.1,-20.3,11.3,3.5
Net profit,1967.82,3192.91,2728.13,-399.7,-4168.2,-14603.9,-73878.1,-44233.1,-28245.4,-29301.1
Dividend Amount,132.79,215.87,216.03,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,9406.4,9717.3,10239.5,10410.1,10614.6,10620.6,10531.9,10655.5,10716.3,10673.1
Expenses,5543.5,5900.8,5590.5,6081.7,6517.2,6439.8,6321.6,6499.1,6434.7,6323.8
Other Income,42.9,21.2,18.9,83.9,96,38.2,71.4,21.3,34.5,780.4
Depreciation,5922.7,5738.8,5913,5804.3,5655.7,5886,5703.7,5616.5,5667.3,5598.4
Interest,5111.4,5324.8,5316.2,5900.9,6129.1,6322.7,5001.6,6398.2,6569,6518
Profit before tax,-7128.3,-7225.9,-6561.3,-7292.9,-7591.4,-7989.7,-6423.6,-7837,-7920.2,-6986.7
Tax,4,5,1.8,3.8,4.1,0.3,-4.7,3,817.7,-0.8
Net profit,-7132.3,-7230.9,-6563.1,-7296.7,-7595.5,-7990,-6418.9,-7840,-8737.9,-6985.9
Operating Profit,3862.9,3816.5,4649,4328.4,4097.4,4180.8,4210.3,4156.4,4281.6,4349.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,3319.63,3597.84,3600.51,3605.33,4359.3,8735.6,28735.4,28735.4,32118.8,48679.7
Reserves,13205.42,19429.47,19949.98,21126.92,22903.2,50899.2,-22755.5,-66963.4,-94083.6,-123038.8
Borrowings,20634.92,26859.09,40541.31,55054.55,57985.1,125939.9,114995.5,201720.2,213761.1,237766
Other Liabilities,9397.49,10580.42,16033.71,16881,13263.7,44077.7,105942.2,39986.2,42232.8,43835.8
Total,46557.46,60466.82,80125.51,96667.8,98511.3,229652.4,226917.6,203478.4,194029.1,207242.7
Net Block,29601.97,35539.73,65190.16,76763.24,79691.9,177800.1,185836.5,167490.4,156818.6,156255.2
Capital Work in Progress,11419.41,5140.53,6039.73,7535.1,3585.3,5103,1138.1,605.9,364.3,17876.4
Investments,215.53,11526.73,3470.91,6378.23,7290.5,8238.6,1979.2,4.1,5.3,5.8
Other Assets,5320.55,8259.83,5424.71,5991.23,7943.6,38510.7,37963.8,35378,36840.9,33105.3
Total,46557.46,60466.82,80125.51,96667.8,98511.3,229652.4,226917.6,203478.4,194029.1,207242.7
Receivables,800.62,978.91,1142.35,1313.92,887.4,3300,3094.3,2507,2443.9,2164
Inventory,68.31,71.03,106.54,58.8,36.7,4.2,2.5,0.6,2.3,16.3
Cash & Bank,188.1,1553.72,769.13,82.74,29.1,990.8,2663,2216.5,3496.6,855.4
No. of Equity Shares,3319631760,3597844427,3600509378,3605328231,4359320930,8735558329,28735389240,28735389240,32118847885,48679689205
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,8219.21,10417.86,10948.61,10475.67,5332.4,5347.8,7327.5,15639.7,17387,18868.7
Cash from Investing Activity,-6564.62,-5725.63,-2388.99,-15555.69,-9303.2,-1640.2,-2697.7,1075.1,-5730.3,-5413.6
