COMPANY NAME,BHARAT DYNAMICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1868.2,,,,,,,,,
Market Capitalization,34240.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1076.36,2840.82,4078.76,4886.62,4587.6,3069.35,3104.87,1913.76,2817.4,2489.39
Raw Material Cost,779.57,1853.89,2623.15,3125.23,2907.59,1818.97,1014.09,970.08,1263.37,1210.33
Change in Inventory,95.61,-26.63,137.86,124.38,53.7,165.87,-503.66,128.91,84.36,19.04
Power and Fuel,16.93,26.91,30.18,24.34,27.33,26.04,27.21,23.28,25.36,24.49
Other Mfr. Exp,25.18,125.25,331.6,378.51,39.47,51.27,59.38,49.57,54.84,55.39
Employee Cost,259.04,312.52,326.25,448.45,529.46,534.33,534.13,501.12,570.72,532.62
Selling and admin,67.46,167.13,53.04,81.49,254.64,122.77,132.18,104.31,115.13,131.81
Other Expenses,35.42,51.68,337.28,383.6,213.87,58.81,77.92,48.79,144.95,144.58
Other Income,463.78,439.03,384.76,299.94,172.56,135.99,88.05,94.61,77.63,155.4
Depreciation,41.69,66.68,53.22,62.02,63.48,82.5,96.44,94.54,90.35,77.26
Interest,1.3,5.23,5.39,4.49,4.2,5.15,5.46,4.71,4.75,5.55
Profit before tax,409.16,643.93,841.27,802.81,773.82,671.37,742.45,340.88,709.92,481.8
Tax,130.36,200.38,279.2,278.75,245.68,248.78,207.55,83.11,209.99,129.63
Net profit,278.79,443.55,562.07,524.06,528.15,422.59,534.9,257.77,499.92,352.17
Dividend Amount,57.68,83.71,168.97,157.14,133.61,126.83,161.29,134.71,152.12,171.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,503.83,803.9,1381.07,694.8,534.79,461.55,798.26,297.72,615.81,601.62
Expenses,437.69,514.38,976.97,652.78,440.94,372.65,614.83,330.36,481.78,482.88
Other Income,20.25,34.66,-4.89,36.76,45,36.47,37.17,107.45,78.3,87.6
Depreciation,23.75,24.79,20.58,23.39,21.32,18.61,13.94,16.89,17.43,16.47
Interest,0.87,0.85,0.85,2.05,0.81,0.83,0.85,0.78,0.78,0.77
Profit before tax,61.77,298.54,377.78,53.34,116.72,105.93,205.81,57.14,194.12,189.1
Tax,18.52,85.28,113.42,13.48,40.91,22.18,53.05,15.32,47.02,54.07
Net profit,43.25,213.26,264.36,39.86,75.82,83.74,152.76,41.82,147.09,135.03
Operating Profit,66.14,289.52,404.1,42.02,93.85,88.9,183.43,-32.64,134.03,118.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,115,115,97.75,122.19,183.28,183.28,183.28,183.28,183.28,183.28
Reserves,936.18,1537.67,1753.49,2072.79,1773.1,2085.26,2423.55,2501.47,2847.28,3028.22
Borrowings,,,3.71,3.58,3.69,5.39,14.51,11.29,10.11,9.27
Other Liabilities,6199.43,6759.3,7785.68,6208.42,4696.99,3249.51,3128.46,3333.68,3594.91,5534.78
Total,7250.61,8411.97,9640.63,8406.98,6657.06,5523.44,5749.8,6029.72,6635.58,8755.55
Net Block,276.56,517.7,696.77,757.13,868.38,956.97,932.37,914.99,873.85,808.54
Capital Work in Progress,69.53,142.27,126.21,135.88,129.84,47.03,42.06,21.5,40.73,74.35
Investments,0.54,2.93,2.95,2.95,238.99,3.72,3.9,4.52,,
Other Assets,6903.98,7749.07,8814.7,7511.02,5419.85,4515.72,4771.47,5088.71,5721,7872.66
Total,7250.61,8411.97,9640.63,8406.98,6657.06,5523.44,5749.8,6029.72,6635.58,8755.55
Receivables,275.45,334.79,144.86,154.55,770.41,525.93,338.37,322.69,304.16,184.57
Inventory,1001.33,1475.67,2057.66,2267.3,1984.56,1719.55,921.05,1464.97,1726.15,1905.56
Cash & Bank,3962.26,3668.92,3242.49,1738.01,356.79,371.32,663.49,1560.95,1899.53,3858.86
No. of Equity Shares,1150000,1150000,977500,1221875,183281250,183281250,183281250,183281250,183281250,183281250
New Bonus Shares,,,,,,,,,,
Face value,1000,1000,1000,1000,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,-764.7,284.28,-419.89,-341.5,83.52,504.22,1068.01,529.66,2130.25
Cash from Investing Activity,,239.29,148.59,2.68,1047.02,169.78,-33.18,-733.78,-573.01,-1171.03
Cash from Financing Activity,,-72.21,-324.27,-166.17,-768.64,-268.13,-190.87,-172.64,-148.52,-171.38
Net Cash Flow,,-597.62,108.6,-583.38,-63.12,-14.83,280.17,161.59,-191.87,787.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,396.65,283.3,185.15,332.55,549.3,988.7
,,,,,,,,,,
