COMPANY NAME,TATA INVESTMENT CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,6834.2,,,,,,,,,
Market Capitalization,34785.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,217.97,229.06,247.26,269.67,157.71,177.04,143.88,163.16,253.86,277.42
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.06,0.07,0.07,0.07,0.05,0.05,0.05,0.02,0.05,0.07
Other Mfr. Exp,0.03,0.04,0.05,0.12,0.03,0.03,17.2,0.02,0.02,0.04
Employee Cost,7.83,10.67,11.2,12.19,10.71,11.95,12.04,12.15,14.9,16.24
Selling and admin,0.96,0.96,2.38,2.67,2.09,1.98,0.63,0.5,0.5,2.92
Other Expenses,6.98,4.78,4.94,17.43,6.25,16.1,12.25,6.95,9.47,12.62
Other Income,2.36,0.17,0.43,0.08,8.48,0.1,0.06,24.81,18,35.94
Depreciation,0.11,0.01,0.11,0.11,0.11,0.09,0.75,0.83,0.91,0.95
Interest,,,0.03,,0.01,,0.26,0.09,0.09,8.25
Profit before tax,204.36,212.7,228.91,237.16,146.94,146.94,100.76,167.41,245.92,272.27
Tax,29.2,29.96,31.66,38.35,15.81,13.12,10.67,12.78,31.46,20.53
Net profit,186.29,185.86,194.36,200.4,131.07,133.78,90.53,153.97,214.24,251.87
Dividend Amount,93.67,93.67,93.67,99.18,110.2,101.2,91.08,121.44,278.3,242.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,89.04,50.97,51.89,101.88,106.95,37.66,30.67,151.6,123.86,50.55
Expenses,7.38,5.74,22.89,10.93,6.59,6.06,8.32,8.66,10.06,6.39
Other Income,27.8,5.72,0.12,6.57,11.35,10.96,7.34,14.22,13.34,16.73
Depreciation,0.21,0.24,0.25,0.21,0.24,0.26,0.24,0.23,0.23,0.24
Interest,0.01,0.03,0.03,0.03,0.03,3.13,5.06,5.17,4.66,0.93
Profit before tax,109.24,50.68,28.84,97.28,111.44,39.17,24.39,151.76,122.25,59.72
Tax,8.63,10.95,8.61,7.54,4.08,4.43,4.48,4.02,-1.26,6.48
Net profit,100.46,39.8,20.14,89.94,107.13,34.53,20.28,146.81,124.44,53.24
Operating Profit,81.66,45.23,29,90.95,100.36,31.6,22.35,142.94,113.8,44.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,55.1,55.1,55.1,55.1,55.1,50.6,50.6,50.6,50.6,50.6
Reserves,2095.51,2178.46,2256.81,2463.42,8246.85,7873.59,8006.53,14188.37,19625.15,19521.19
Borrowings,,,,,,,,,,240.44
Other Liabilities,122.93,124.66,13.66,18.61,1564.13,1553.99,122.35,647.28,1314.32,1276.82
Total,2273.54,2358.22,2325.57,2537.13,9866.08,9478.18,8179.48,14886.25,20990.07,21089.05
Net Block,13.59,13.68,13.72,13.64,13.63,13.59,14.74,14.08,15.68,14.95
Capital Work in Progress,,,,,,,,,,
Investments,2212.09,2301.81,2258.7,2479.97,9815.73,9432.02,8127.62,14835.91,20892.56,21009.38
Other Assets,47.86,42.73,53.15,43.52,36.72,32.57,37.12,36.26,81.83,64.72
Total,2273.54,2358.22,2325.57,2537.13,9866.08,9478.18,8179.48,14886.25,20990.07,21089.05
Receivables,1.77,0.48,0.05,0.07,14.07,4.09,1.01,,53.93,10.39
Inventory,,,,,,,,,,
Cash & Bank,13.23,13.95,14.69,13.76,13.29,18.84,25.42,21.93,13.35,39.31
No. of Equity Shares,55095296,55095296,55095296,55095296,55095296,50595296,50595296,50595296,50595296,50595296
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,83.98,92.38,89.88,67.52,66.96,91.78,117.27,85.88,122.48,229.64
Cash from Investing Activity,-45.09,17.86,145.9,-78,40.65,496.3,12.46,2.82,3.65,-188.64
Cash from Financing Activity,-103.21,-109.52,-224.71,-0.79,-119.42,-584.24,-122.53,-95.09,-122.39,-46.79
Net Cash Flow,-64.32,0.72,11.08,-11.26,-11.82,3.84,7.19,-6.39,3.74,-5.79
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,458.5,572.8,472.3,636.05,735.65,833.2,663.2,1035.5,1356.5,1744.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.51,5.51,5.51,5.51,5.51,5.06,5.06,5.06,5.06,5.06
