COMPANY NAME,MAZAGON DOCK SHIPBUILDERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2212.2,,,,,,,,,
Market Capitalization,44560.72,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2331.39,3618.91,4127.06,3529.74,4474.84,4613.95,4904.84,4047.82,5733.28,7827.18
Raw Material Cost,957.47,2089.22,2644.97,2140.07,2692.88,2557.12,2452.52,1881.91,2693.07,4445.85
Change in Inventory,-29.39,,,,,,,,,
Power and Fuel,18.65,27.17,30.61,28.68,22.62,19.26,16.52,11.37,14.73,19.12
Other Mfr. Exp,474.18,187.31,372.96,287.84,420.11,831.72,1141.05,995.31,1383.32,1470.06
Employee Cost,605.58,700.34,754.73,717.47,885.7,689.56,780.65,652.88,798.8,792.91
Selling and admin,35.41,361.26,78.79,111.08,217.25,146.84,184.51,232.65,276.16,151.7
Other Expenses,101.69,39.56,27.6,118.15,86.86,108.24,66.83,47.41,124.72,146.93
Other Income,546.77,562.84,759.63,764.56,611.81,664.17,599.93,474.06,419.66,713.48
Depreciation,14.64,30.86,43.81,39.39,50.21,64.33,68.75,59.65,74.51,75.58
Interest,2.26,0.03,3.9,3.9,14.49,36.04,35.83,10.78,14.94,9.18
Profit before tax,638.89,746,929.32,847.72,696.53,825.01,758.11,629.92,772.69,1429.33
Tax,226.17,254.41,360.84,314.23,256.6,307.73,349.63,150.35,186.22,356.61
Net profit,412.72,491.59,568.48,533.49,439.93,517.28,408.48,479.57,586.47,1072.72
Dividend Amount,99.6,99.6,100,199.2,245.41,99.99,217.22,146.02,176.08,321.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1570.11,1552.5,1396.43,2230.32,1702.36,1815.91,2078.59,2172.76,1827.7,2362.47
Expenses,1484.96,1350.54,1319.09,2056.64,1584.59,1520.18,1867.97,2001.06,1651.08,1823.29
Other Income,95.6,120.93,129.02,136.14,169.05,175.84,232.45,232.65,260.55,268.61
Depreciation,17.3,17.08,22.93,18.39,18.46,18.36,20.37,19.74,20.19,20.27
Interest,1.91,1.91,1.42,1.46,1.47,1.48,1.96,1.29,1.27,1.29
Profit before tax,161.54,303.9,182.01,289.97,266.89,451.73,420.74,383.32,415.71,786.23
Tax,30.54,86.1,37.09,72.95,66.45,114.47,102.74,96.7,102.77,194.69
Net profit,131,217.8,144.92,217.02,200.44,337.26,318,286.62,312.94,591.54
Operating Profit,85.15,201.96,77.34,173.68,117.77,295.73,210.62,171.7,176.62,539.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,199.2,199.2,199.2,249,224.1,224.1,201.69,201.69,201.69,201.69
Reserves,1615.09,2260.65,2124.21,2359.78,2198.43,2568.12,2379.51,2717.37,3119.67,3975.87
Borrowings,81.49,79.43,,,,,,29.66,11.64,6.04
Other Liabilities,23647.97,28401.19,16383.6,16362.61,16502.23,17633.2,17883.39,21679.06,25903.52,24709.48
Total,25543.75,30940.47,18707.01,18971.39,18924.76,20425.42,20464.59,24627.78,29236.52,28893.08
Net Block,126.03,265.81,367.76,546.27,646.37,810.29,836.35,806.85,964.62,1024.33
Capital Work in Progress,78.21,40.14,169.58,98.43,85.38,88.77,79.96,80.15,86.94,61.62
Investments,6,6,6,6,6,6,6,6,6,6
Other Assets,25333.51,30628.52,18163.67,18320.69,18187.01,19520.36,19542.28,23734.78,28178.96,27801.13
Total,25543.75,30940.47,18707.01,18971.39,18924.76,20425.42,20464.59,24627.78,29236.52,28893.08
Receivables,394.46,748.54,919.73,746.2,1108.83,1472.89,1432.82,965.94,1005.41,1002.33
Inventory,14370.79,18541.92,4244.67,4028.65,3789.44,3792.48,4624.6,5890.53,7702.78,7369.37
Cash & Bank,6004.79,7618.28,8802.77,8362.88,7189.56,7469.68,5798.28,8027.91,11480.47,13286.42
No. of Equity Shares,12372000,19920000,19920000,24900000,224100000,224100000,201690000,201690000,201690000,201690000
New Bonus Shares,,,,,,,,,,
Face value,100,100,100,100,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,287.71,-1009.24,441.62,65.24,-95.54,68.21,-162.63,857.6
Cash from Investing Activity,,,515.61,494.1,391.81,416.62,453.72,348.25,326.4,508.34
Cash from Financing Activity,,,-120.43,-239.75,-602.75,-125.74,-604.58,-159.83,-183.21,-217.99
Net Cash Flow,,,682.89,-754.89,230.68,356.12,-246.4,256.63,-19.44,1147.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,212.3,239.7,663.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
