COMPANY NAME,DHANI SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,45.45,,,,,,,,,
Market Capitalization,2745.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,283.56,397.95,397.41,413.39,980.23,1993.43,2914.79,1346.81,1434.44,611.79
Raw Material Cost,,,,,,,,1.14,266.81,-4.07
Change in Inventory,,,,,,,,0.9,104.6,-65.63
Power and Fuel,1.63,1.96,3.08,3.13,2.01,3.75,5.54,2.7,4.91,4.96
Other Mfr. Exp,5.88,8.36,11.54,7.05,22.94,25.71,84.71,75.66,215.4,159.28
Employee Cost,66.64,72.5,88.58,89.53,176.54,369.31,508.75,387.55,663.93,348.4
Selling and admin,34.89,49.33,49.01,52.11,78.94,220.25,381.51,209.19,547.5,229.81
Other Expenses,9.6,8.22,9.32,48.77,197.96,130.95,971.32,287.33,391.6,163.89
Other Income,17.72,10.33,12.22,95.58,14.56,3.85,4.07,9.2,29.26,109.47
Depreciation,4.99,13.15,22.9,23.83,12.05,26.98,116.07,83.95,94.99,90.84
Interest,23.51,60.67,148.45,138.62,223.52,591.05,823.92,518.1,284.01,170.11
Profit before tax,154.14,194.09,76.75,145.93,280.83,629.28,27.04,-208.71,-900.85,-507.59
Tax,52.53,43.45,2.91,43.68,71.3,168.99,-14.77,21.05,-40.48,-26.27
Net profit,101.64,150.64,73.84,102.25,209.53,459.1,4.33,-225.05,-866.35,-479.58
Dividend Amount,18.49,78.36,87.86,32.02,46.32,70.93,166.11,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,334.69,489.87,305.46,246.38,130.16,147.69,84.29,119.6,98.58,87.11
Expenses,469.09,605.84,464.97,266.25,210.8,214.67,298.71,163.79,162.24,157.88
Other Income,-1.16,11.72,17.13,28.29,52.77,20.22,29.93,5.09,14.21,20.43
Depreciation,21.96,25.19,27.45,28.65,27.63,17.46,17.11,18.24,15.75,14.3
Interest,70.74,59.42,61.76,58.83,42.26,34.98,29.98,25.72,24.24,22.48
Profit before tax,-228.26,-188.86,-231.59,-79.06,-97.76,-99.2,-231.58,-83.06,-89.44,-87.12
Tax,-22.32,28.76,12.81,24.86,-10.46,-6.73,-33.95,11.46,15.5,2.35
Net profit,-208.25,-218.08,-248.21,-101.41,-87.82,-94.3,-196.05,-94.79,-105.49,-89.41
Operating Profit,-134.4,-115.97,-159.51,-19.87,-80.64,-66.98,-214.42,-44.19,-63.66,-70.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,46.22,52.24,58.57,64.04,92.63,113.49,102.22,114.54,121.19,121.64
Reserves,171.47,267.57,273,384.92,1805.57,6312.48,4925.13,5067.76,4941.99,3691.94
Borrowings,367.87,1689.58,2192.64,1519.08,4929.35,8647.84,5409.58,3738.57,2481.85,1021.49
Other Liabilities,232.46,415.33,195.5,247.33,930.03,941.67,1129.31,1200.35,1079.07,478.99
Total,818.02,2424.72,2719.71,2215.37,7757.58,16015.48,11566.24,10121.22,8624.1,5314.06
Net Block,34.15,663.99,660.3,85.73,65.59,118.32,755.26,409.23,536.74,319.12
Capital Work in Progress,,11.46,36.34,7.91,5.44,9.01,6.08,6.02,6.96,3.52
Investments,32.39,69.36,,162.51,498.87,638.4,634.12,1420.32,588.11,510.1
Other Assets,751.48,1679.91,2023.07,1959.22,7187.68,15249.75,10170.78,8285.65,7492.29,4481.32
Total,818.02,2424.72,2719.71,2215.37,7757.58,16015.48,11566.24,10121.22,8624.1,5314.06
Receivables,138.04,248.15,317.8,336.99,263.71,273.36,152.15,140.28,128.1,119.22
Inventory,,,,,,,,0.9,106.71,262.69
Cash & Bank,296.85,689.4,833.79,905.66,2252.25,2343.91,2859.92,2032.09,1356.39,686.99
No. of Equity Shares,231112511,261223081,292869542,320206920,525339315,604940008,548438558,610024010,609947910,621036434
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,376.17,-268.01,10.24,203.35,-2912.01,-7043.9,6040.11,925.37,-702.26,847.56
Cash from Investing Activity,166.36,-329.83,-77.03,119.78,-536.76,-203.53,-848.17,-536.87,774.2,76.96
Cash from Financing Activity,-430.86,994.47,196.22,-247.38,4473.06,7062.15,-4093.25,-1168.4,-801.35,-1168.31
Net Cash Flow,111.67,396.63,129.43,75.75,1024.29,-185.28,1098.7,-779.91,-729.42,-243.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,17.98,34.97,14.39,58.34,243.9,326.15,107.7,168.1,62.35,26.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
