COMPANY NAME,KALYAN JEWELLERS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,397.15,,,,,,,,,
Market Capitalization,40887.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,10505.13,9770.76,10100.92,8573.31,10817.93,14071.45
Raw Material Cost,,,,,9545.15,7518.4,8469.29,7482.5,9709.12,13104.19
Change in Inventory,,,,,743.46,-679.94,77.52,368.38,582.83,1231.96
Power and Fuel,,,,,35.77,40.35,38.65,29.81,35.69,46.69
Other Mfr. Exp,,,,,38.92,47,52.38,38.32,47.46,63.42
Employee Cost,,,,,369.17,382.28,358.56,332.13,354.86,441.45
Selling and admin,,,,,477.4,453.82,413.35,252.6,344.68,441.69
Other Expenses,,,,,8.62,28.76,46.8,181.96,56.44,41.02
Other Income,,,,,32.25,42.21,80.1,45.37,38.29,4.64
Depreciation,,,,,202.03,223.62,239.17,224.9,231.58,244.58
Interest,,,,,389.99,417.87,419.46,405.48,360.37,353.48
Profit before tax,,,,,213.79,20.93,220.88,39.36,298.85,571.53
Tax,,,,,72.8,25.79,78.61,45.43,74.82,139.59
Net profit,,,,,142.37,-3.61,143,-6.3,224.21,433.11
Dividend Amount,,,,,,,,,,51.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2888.7,3435.4,2857.07,3332.64,3472.91,3884.1,3381.8,4375.74,4414.54,5223.08
Expenses,2660.58,3136.18,2638.63,3068.44,3206.8,3557.1,3125.08,4052.8,4100.88,4853.27
Other Income,4.95,17.16,11.45,7.88,8.5,6.89,-18.63,11.65,13.13,20.13
Depreciation,57.16,58.81,58.04,58.98,60.32,62.08,63.2,64.07,66.94,69.73
Interest,83.7,81.88,75.97,71.27,73.87,77.23,80.19,82.06,81.71,81.66
Profit before tax,92.21,175.69,95.88,141.83,140.42,194.58,94.7,188.46,178.14,238.55
Tax,23.44,41.17,23.84,34.06,34.5,46.14,24.9,44.91,43.27,58.18
Net profit,68.73,134.52,72.3,107.94,106.38,148.7,70.09,143.89,135.25,180.61
Operating Profit,228.12,299.22,218.44,264.2,266.11,327,256.72,322.94,313.66,369.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,839.24,839.24,839.24,1030.05,1030.05,1030.05
Reserves,,,,,1012.09,1045.93,1202.82,1795.98,2106.97,2604.66
Borrowings,,,,,4077.4,3788,3640.31,4081.17,4029.32,4295.49
Other Liabilities,,,,,2622.5,2386.74,2536.31,1957.93,1778.81,2782.75
Total,,,,,8551.23,8059.91,8218.68,8865.13,8945.15,10712.95
Net Block,,,,,1878.59,2151.97,2167.17,1898.68,1921.43,1902.89
Capital Work in Progress,,,,,17.99,21.73,24.45,53.06,2.13,20.49
Investments,,,,,1.06,2.56,,,0.6,4.35
Other Assets,,,,,6653.59,5883.65,6027.06,6913.39,7020.99,8785.22
Total,,,,,8551.23,8059.91,8218.68,8865.13,8945.15,10712.95
Receivables,,,,,181.82,146.69,213.65,112.66,119.47,244.23
Inventory,,,,,5022.07,4500.7,4720.34,5303.09,5794.26,7013.88
Cash & Bank,,,,,1017.91,825.45,750.14,1096.62,777.2,981.88
No. of Equity Shares,,,,,839241600,839241600,839241600,1030053057,1030053057,1030053057
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,319.73,628.91,264.1,1013.37
Cash from Investing Activity,,,,,,,34.33,-217.28,63.57,-383.9
Cash from Financing Activity,,,,,,,-343.29,-207.64,-543.51,-637.59
Net Cash Flow,,,,,,,10.76,203.99,-215.83,-8.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,68.1,58.75,105.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,83.92,83.92,83.92,103.01,103.01,103.01
