COMPANY NAME,JUPITER WAGONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,420.25,,,,,,,,,
Market Capitalization,17343.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,117.66,107.49,105.34,97.17,215.8,125.74,995.75,1178.35,2068.25,3641.25
Raw Material Cost,87.81,79.4,82.8,79.7,180.46,120.72,739.63,916.89,1580.08,2842.99
Change in Inventory,-17.13,-4.48,-1.83,1.86,2.52,20.9,-1.99,20.04,5.61,14.61
Power and Fuel,1.85,1.96,1.72,1.51,2.59,2.21,23.7,25.18,33.51,
Other Mfr. Exp,6.46,6.66,6.3,5.52,10.86,7.21,68.08,77.7,119.76,
Employee Cost,8.61,7.33,5.91,5,6.85,9.08,26.34,33.92,41.39,50.79
Selling and admin,16.52,5.97,4.23,4.48,4.83,4.05,25.43,27.32,33.59,
Other Expenses,63.21,14.55,0.93,2.76,0.58,1.28,4.25,3.23,11.6,271.05
Other Income,2.4,-52.54,0.44,1.16,109.04,9.84,1.83,3.39,5.09,20.99
Depreciation,20.26,14.51,10.36,10.35,10.38,8.32,21.14,23.35,24.94,27.53
Interest,21.57,20.95,27.3,27.78,22.14,6.17,21.12,18.17,28.89,40.81
Profit before tax,-123.36,-100.86,-35.6,-36.91,88.67,-2.56,65.9,76.02,205.19,443.68
Tax,-20.81,3.9,,,,-2.42,12.4,25.99,79.82,110.89
Net profit,-102.55,-104.76,-35.6,-36.91,88.67,-0.14,53.5,50.03,125.38,332.8
Dividend Amount,,,,,,,,,19.37,12.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,298.65,362.61,295.4,416.72,644.43,711.7,753.19,879.3,895.84,1112.93
Expenses,276.1,331.33,265.13,366.78,563.74,618.68,655.85,758.12,771.03,965.21
Other Income,1.86,1.03,1.17,0.99,1.92,1.01,2.22,5.38,4.97,8.41
Depreciation,5.9,5.9,6.03,6.58,6.14,6.19,6.54,7.12,6.84,7.02
Interest,4.75,4.83,5.58,7.15,7.43,8.72,8.37,10.42,11.46,10.56
Profit before tax,13.76,21.58,19.83,37.2,69.04,79.12,84.65,109.02,111.48,138.55
Tax,4.61,7.59,6.42,12.4,22.66,38.35,21.05,27.44,28.08,34.33
Net profit,9.15,13.99,13.41,24.8,46.38,40.78,63.6,81.58,83.4,104.22
Operating Profit,22.55,31.28,30.27,49.94,80.69,93.02,97.34,121.18,124.81,147.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,54.94,54.94,54.94,54.94,89.48,89.48,387.45,387.45,387.45,412.29
Reserves,48.68,-56.08,-85.26,-122.12,6.37,5.96,245.83,295.87,421.15,1209.68
Borrowings,139.75,147.63,162.7,172.18,34.29,41.84,137.68,139.21,288.08,338.07
Other Liabilities,79.35,89.02,92.75,103.53,78.44,62.61,220.28,250.28,542.09,835.65
Total,322.72,235.51,225.13,208.53,208.58,199.89,991.24,1072.81,1638.77,2795.69
Net Block,214.96,158.52,144.68,134.53,112.97,111.05,416.24,425.74,462.59,517.51
Capital Work in Progress,13.82,2,1.99,1.98,0.13,5.75,20.72,22.2,26.34,29.47
Investments,,,,,,,3.89,10.04,16.45,452.24
Other Assets,93.94,74.99,78.46,72.02,95.48,83.09,550.39,614.83,1133.39,1796.47
Total,322.72,235.51,225.13,208.53,208.58,199.89,991.24,1072.81,1638.77,2795.69
Receivables,16.04,12.34,15.7,6.85,17.75,11.11,72.12,70.97,213.27,469.09
Inventory,16.57,9.8,6.97,9.27,14.44,47.57,244.3,319.43,491.23,906.75
Cash & Bank,4.69,0.05,1.68,4.41,23.9,4.5,71.36,68.88,166.07,180.18
No. of Equity Shares,54942964,54942964,54942964,54942964,89482657,89482657,387447419,387447419,387447419,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,8.85,4.43,5.66,-0.75,9.22,-14.75,67.38,59.51,72.9,-6.35
Cash from Investing Activity,-8.51,0.05,0.04,0.06,-1.1,-12.54,-60.2,-49.11,-118.99,-486.72
Cash from Financing Activity,-6.96,-9.12,-5.33,3.6,11.56,7.08,22.39,-16.76,121.22,489.12
Net Cash Flow,-6.61,-4.64,0.38,2.91,19.69,-20.21,29.57,-6.36,75.13,-3.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,18.55,17.1,13.3,14.65,19.95,7.95,15.3,43.65,92.2,374.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.49,5.49,5.49,5.49,8.95,8.95,8.95,8.95,38.74,41.23
