COMPANY NAME,ZEN TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,889.7,,,,,,,,,
Market Capitalization,7479.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,46.35,78.55,52.62,61.58,92.22,149.29,54.64,69.75,218.85,439.85
Raw Material Cost,12.57,32.56,8.07,11.98,37.56,26.37,10.22,24.59,78.53,171.75
Change in Inventory,0.37,8.22,-6.68,-0.23,11.61,-11.03,1.41,11.45,19.9,53.73
Power and Fuel,0.27,0.32,0.58,0.51,0.73,0.76,0.58,0.62,0.91,
Other Mfr. Exp,2.08,2.34,5.12,4.42,8.45,12.15,9.49,10.23,17.36,
Employee Cost,6.06,7.25,13.36,14.84,16.61,19.64,15.69,21.12,36.04,59.07
Selling and admin,25.09,23.75,14.7,17.95,23.18,14.48,11.48,17.85,30.77,
Other Expenses,0.04,-0.33,-0.03,0.3,0.63,2.15,1.21,2.22,2.53,81.98
Other Income,3.56,3.32,5.47,3.62,3.11,1.93,3.02,5.1,9.25,17.33
Depreciation,1.61,2.25,4.32,3.64,3.8,4.57,4.95,4.83,6.06,9.68
Interest,2.48,2.13,2.37,2.33,4.81,3.35,1.09,1.53,4.08,2.28
Profit before tax,0.08,19.82,2.92,9,11.17,56.72,4.36,3.31,71.72,186.15
Tax,0.02,4.08,0.6,1.84,-2.15,-1.91,1.59,0.69,21.76,56.65
Net profit,0.07,15.74,2.32,7.17,13.32,58.77,3.11,1.99,42.74,127.88
Dividend Amount,0.77,2.7,0.77,1.16,2.32,3.09,0.8,0.8,1.59,8.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,16.26,27.78,37.07,33.41,52.49,95.88,132.45,66.5,99.52,141.39
Expenses,15.34,22.96,26.28,23.49,35.79,60.69,63.54,47.53,57.03,90.98
Other Income,1.02,2.36,2.17,3.15,3.95,-0.02,2.68,5.34,4.24,5.07
Depreciation,1.2,1.21,1.63,1.37,1.54,1.52,1.91,2.2,2.64,2.92
Interest,0.44,0.66,0.65,0.7,2.1,0.63,0.42,0.53,0.53,0.8
Profit before tax,0.3,5.31,10.68,11,17.01,33.02,69.26,21.58,43.56,51.76
Tax,0.52,0.16,3.66,3.37,5.07,9.65,20.82,7.94,13.72,14.18
Net profit,-0.18,3.31,7.46,5.65,9.44,20.2,47.09,15.28,30.58,34.94
Operating Profit,0.92,4.82,10.79,9.92,16.7,35.19,68.91,18.97,42.49,50.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,7.72,7.72,7.72,7.72,7.72,7.72,7.95,7.95,7.95,8.4
Reserves,90.79,103.27,104.66,111.83,122.93,178.99,196.45,272.56,305.72,440.22
Borrowings,17.91,39.75,40.52,11.33,41.8,2.52,1.96,14.75,6.75,2.05
Other Liabilities,11.8,26.7,13.85,15.4,46.02,24.83,16.95,73.69,153.27,299.83
Total,128.22,177.44,166.75,146.28,218.47,214.06,223.31,368.95,473.69,750.5
Net Block,48.8,47.34,44.35,44.83,63.06,72.55,69.57,67.38,75.24,94.21
Capital Work in Progress,1.04,0.31,14.72,16.69,0.4,,,2.52,1.92,10.06
Investments,,,,0.34,7.75,2.24,2.24,2.24,2.24,
Other Assets,78.38,129.79,107.68,84.42,147.26,139.27,151.5,296.81,394.29,646.23
Total,128.22,177.44,166.75,146.28,218.47,214.06,223.31,368.95,473.69,750.5
Receivables,11.46,59.48,8.06,20.36,73.35,46.51,18.6,31.69,85.39,184.5
Inventory,9.85,15.02,9.79,7.92,35.28,14.04,14.69,24.95,49,169.08
Cash & Bank,42.02,37.64,67.97,34.21,12.29,25.08,40.28,82.87,167.36,158.17
No. of Equity Shares,7716006,77160060,77160060,77160060,77160060,77160060,79510000,79510000,79510000,
New Bonus Shares,,,,,,,,,,
Face value,10,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,9.92,-20.08,,,-49.13,62.43,5.9,-44.26,116.36,13.42
Cash from Investing Activity,-7.99,-4.14,,,12.68,-11.76,-9.77,-43.61,-3.69,-85.24
Cash from Financing Activity,-6.53,19.84,,,4.51,-12.42,8.98,87.98,-21.88,-3.3
Net Cash Flow,-4.6,-4.38,,,-31.94,38.24,5.12,0.12,90.79,-75.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,9.02,55.95,73.8,66.55,73.05,22.75,77.4,205,328.15,956.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.72,7.72,7.72,7.72,7.72,7.72,7.95,7.95,7.95,8.4
