COMPANY NAME,MAX HEALTHCARE INSTITUTE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,796.15,,,,,,,,,
Market Capitalization,77431.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,1608.26,1729.13,1691.02,1059.03,2507.97,3936.55,4562.6
Raw Material Cost,,,,423,431.05,362.2,229.35,580.51,930.46,936.88
Change in Inventory,,,,-0.1,5.15,-2.26,,,,
Power and Fuel,,,,40.9,41.36,46.06,22.72,51.37,62.67,68.92
Other Mfr. Exp,,,,35.04,59.86,37.88,9.44,63.15,57.67,55.25
Employee Cost,,,,354.09,423.55,441.15,230.13,589.64,770.37,811.99
Selling and admin,,,,593.33,647.35,629.63,439.08,776.53,1372.61,1679.41
Other Expenses,,,,20.88,17.71,15.78,34.66,39.37,-207.94,-230.38
Other Income,,,,58.97,65.19,56.17,48.01,-122.5,110.18,139.24
Depreciation,,,,95.51,94.42,102.64,45.64,174.09,221.12,232.19
Interest,,,,99.68,99.37,101.27,83.24,179.46,100.87,83.86
Profit before tax,,,,4.7,-15.2,8.32,12.78,-68.65,738.9,1063.72
Tax,,,,-11.09,9.95,8.51,-0.13,45.85,133.85,-39.79
Net profit,,,,15.79,-25.15,-3.01,58.99,-137.55,605.05,1103.51
Dividend Amount,,,,,,,,,,97.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1018.33,975.69,937.09,1066.9,1137.12,1141.78,1214.51,1284.99,1363.16,1334.97
Expenses,779.28,728.33,728.54,801.91,818.2,827.79,874.17,947.61,975.81,949.11
Other Income,23.38,45.98,26.42,30.88,25.82,44.61,40.22,41.32,45.48,46.02
Depreciation,53.87,55.24,58.43,57.13,57.68,57.03,60.35,55.82,57.88,60.96
Interest,26.94,25.06,22.15,22.36,21.84,20.13,19.53,19.39,8.53,11.24
Profit before tax,181.62,213.04,154.39,216.38,265.22,281.44,300.68,303.49,366.42,359.68
Tax,36.97,23.29,30.66,43.55,-192.13,59.03,49.76,63.41,89.74,70.34
Net profit,144.65,189.75,123.73,172.83,457.35,222.41,250.92,240.08,276.68,289.34
Operating Profit,239.05,247.36,208.55,264.99,318.92,313.99,340.34,337.38,387.35,385.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,537.24,537.24,537.24,537.24,965.95,969.61,970.92
Reserves,,,,655.14,626.67,425.95,2015.91,4672.73,5312.86,6438.67
Borrowings,,,,874.09,980.52,1002.75,874.74,1101.41,913.38,688.96
Other Liabilities,,,,1079.63,1157.09,1388.6,545.77,1803.37,1993.28,2003.3
Total,,,,3146.1,3301.52,3354.54,3973.66,8543.46,9189.13,10101.85
Net Block,,,,2244.24,2227.18,2192.37,850.95,6536.38,7017.58,7038.7
Capital Work in Progress,,,,46.14,38.3,87.02,27.55,26.93,151.12,252.43
Investments,,,,,,0.51,2182.06,0.51,0.51,0.51
Other Assets,,,,855.72,1036.04,1074.64,913.1,1979.64,2019.92,2810.21
Total,,,,3146.1,3301.52,3354.54,3973.66,8543.46,9189.13,10101.85
Receivables,,,,234.82,279.56,362.61,96.09,365.89,385.36,336.12
Inventory,,,,23.12,28.27,26.01,26.8,53.8,61.36,76.23
Cash & Bank,,,,22.75,89.97,11.64,119.57,652.92,499.31,1468.07
No. of Equity Shares,,,,537244328,537244328,537244328,537244328,965945006,969613455,970922825
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,156.06,165.71,88.95,77.09,117.86,740.52,1209.18
Cash from Investing Activity,,,,-103.79,-124.11,-16.53,-2640.7,206.39,-763.8,-1187.01
Cash from Financing Activity,,,,-48.19,-47.72,-73.95,2353.12,191.33,-294.17,-288.56
Net Cash Flow,,,,4.08,-6.12,-1.53,-210.49,515.58,-317.45,-266.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,205.75,347.65,441.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,53.72,53.72,53.72,53.72,96.59,96.96,97.09
