COMPANY NAME,BANK OF MAHARASHTRA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,63.55,,,,,,,,,
Market Capitalization,45015.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,12665.46,13053.01,12061.98,11096.43,10849.69,11495.53,11868.63,13019.31,15898.6,20494.85
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,72.9,76.36,88.91,106.67,133.14,180.3,168.26,192.83,215.99,
Employee Cost,1634.69,1542.4,1808.86,1619.15,1795.41,1745.37,2256.11,2071.88,2059.48,2837.8
Selling and admin,394.77,424.08,441.55,442.32,463.28,505.12,568.55,604.15,672,
Other Expenses,1850.93,2289.14,4369.69,5865.57,7432.81,2898.97,3794.94,4409.37,4209.99,5623.24
Other Income,1020.31,1037.17,1524.81,1539.73,1568.23,1659.75,2648.99,2654.65,2283.14,2998.59
Depreciation,115.29,149.25,117.9,128.6,241.37,210.95,188.11,268.34,262.49,
Interest,8789.73,9173.57,8886.32,7705.77,7115.15,7215.73,6970.18,6973.96,8156.79,10671.83
Profit before tax,827.46,435.38,-2126.44,-3231.92,-4763.24,398.84,571.47,1153.43,2605,4360.57
Tax,362.83,317.2,-770.35,-2119.89,,,,,,304.73
Net profit,464.63,118.18,-1356.09,-1112.03,-4763.25,398.84,571.46,1153.43,2605,4071.78
Dividend Amount,85.05,,,,,,,336.52,874.96,991.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3282.13,3426.19,3457.48,3815.1,4130.56,4495.46,4788.66,5067.96,5171.5,5466.73
Expenses,1811.96,1321,1349.4,1506.91,1622.18,2098.29,1881.65,2164.15,2076.47,2338.77
Other Income,611.4,522.29,317.18,502.6,639.55,821.6,629.21,667.58,680.05,1021.75
Depreciation,,,,,,,,,,
Interest,1754.94,1814.11,1771.56,1927.81,2149.19,2308.23,2448.65,2635.67,2705.42,2882.09
Profit before tax,326.63,813.37,653.7,882.98,998.74,910.54,1087.57,935.72,1069.66,1267.62
Tax,1.78,458.45,201.5,347.56,223.49,70.61,205.08,15.97,33.97,49.71
Net profit,309.57,355.78,452.95,534.74,776.81,840.51,883.67,919.84,1038.4,1229.87
Operating Profit,1470.17,2105.19,2108.08,2308.19,2508.38,2397.17,2907.01,2903.81,3095.03,3127.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1063.18,1168.33,1168.33,2598.45,2753.17,5824.11,6560.16,6730.5,6730.5,
Reserves,7059.63,7691.79,6300.58,7468.52,3129.91,5085.07,5748.13,7331.38,9059.74,
Borrowings,133236.99,148208.09,147176.85,143030.32,150785.4,153720.05,178228.05,210021.99,244829.76,
Other Liabilities,4713.14,3960.6,4765.31,3351.28,8007.99,4388.3,6298.77,6699.59,7207.16,
Total,146072.94,161028.81,159411.07,156448.57,164676.47,169017.53,196835.11,230783.46,267827.16,
Net Block,1432.21,1694.51,1564.04,1486.61,1741.15,1604.42,1621.99,2036.43,2149.23,
Capital Work in Progress,,,22.05,30.07,34.38,71.77,52.01,205.23,7.51,
Investments,32818.77,36301.73,38677.01,43742.47,59837.27,57890.59,68281.44,68761.56,69042.03,
Other Assets,111821.96,123032.57,119147.97,111189.42,103063.67,109450.75,126879.67,159780.24,196628.39,
Total,146072.94,161028.81,159411.07,156448.57,164676.47,169017.53,196835.11,230783.46,267827.16,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,6753.18,9320.21,16642.08,15884.01,9154.96,10447.02,12941.78,19916.02,18528.95,
No. of Equity Shares,1063182921,1168333708,1168333708,2598454407,2753171388,5824109300,6560158901,6730496447,6730496447,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-1083.46,2904.43,7498.3,-1723.43,-10842.48,693.36,2446.82,6896.34,-1439.92,11580.86
Cash from Investing Activity,-151,-151,-98.94,-134.44,-106.13,-99.73,-168.77,-300.18,-175.08,-259.54
Cash from Financing Activity,1885.27,-186.4,-77.49,1099.8,4219.56,698.43,216.7,378.08,227.93,461.45
Net Cash Flow,650.81,2567.03,7321.87,-758.07,-6729.06,1292.06,2494.76,6974.24,-1387.07,11782.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,37.05,28.95,33.65,13.6,13.75,8.9,20.8,16.7,24.75,62.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,106.32,116.83,116.83,259.85,275.32,582.41,656.02,673.05,673.05,708.14
