COMPANY NAME,BAJAJ AUTO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,8846.85,,,,,,,,,
Market Capitalization,246949.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,21595.44,22573.69,21754.72,25209.93,30357.63,29918.65,27741.08,33144.71,36455.38,44870.43
Raw Material Cost,14907.89,14993.41,14667.83,17400.41,21854.1,21071.29,19829.13,24141.86,26221.58,31969.57
Change in Inventory,56.46,-63.45,43.68,-9.68,56.42,63.01,219.48,-187.96,100.33,76.34
Power and Fuel,114.8,120.66,96.46,100.26,115.01,116.57,91.34,108.01,122.6,
Other Mfr. Exp,655.78,644.19,547.54,550.16,633.99,698.83,597.11,836.28,743.55,
Employee Cost,901.3,920.01,999.83,1072.59,1260.32,1395,1296.07,1366,1488.1,1627
Selling and admin,707.58,795.66,699.73,852.82,940.92,1020.98,654.86,644.9,852.61,
Other Expenses,236.15,243.36,358.38,378.21,411.79,569.65,554.27,600.9,662.63,2588.64
Other Income,228.5,1194.15,1467.61,1403.72,2027.83,1832.38,1569.68,2671.3,1702.7,1703.61
Depreciation,267.46,307.16,307.29,314.8,265.69,246.43,259.37,269.76,285.85,364.77
Interest,6.49,1.05,1.4,1.31,4.48,3.16,6.66,8.66,39.51,60.36
Profit before tax,4082.95,5678.89,5587.55,5933.41,6955.58,6692.13,6241.43,7651.68,7841.98,10040.04
Tax,1271.05,1617.65,1508.07,1714.47,2027.98,1480.22,1384.41,1485.81,1781.77,2331.8
Net profit,3025.63,4061.24,4079.49,4218.95,4927.61,5211.91,4857.02,6165.87,6060.21,7708.24
Dividend Amount,1446.85,1591.54,1591.54,1736.22,1736.22,3472.44,4051.18,4051.18,3961.44,2233.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,9021.65,7974.84,8004.9,10202.71,9318.54,8929.23,10311.91,10838.24,12165.33,11554.95
Expenses,7650.45,6614.16,6718.51,8453.07,7561.25,7272.02,8379.64,8708.11,9750.43,9270.69
Other Income,488.92,666.19,319.64,531.98,270.53,594.66,351.1,552.25,356.33,443.93
Depreciation,69.97,69.83,67.56,67.48,74.82,75.99,87.23,91.82,92.91,92.81
Interest,1.79,2.88,4.34,10.92,8.48,15.77,12.09,6.54,12.1,29.63
Profit before tax,1788.36,1954.16,1534.13,2203.22,1944.52,2160.11,2184.05,2584.02,2666.22,2605.75
Tax,358.68,428,370.8,483.78,471.82,455.37,539.91,563.97,633.6,594.32
Net profit,1429.68,1526.16,1163.33,1719.44,1472.7,1704.74,1644.14,2020.05,2032.62,2011.43
Operating Profit,1371.2,1360.68,1286.39,1749.64,1757.29,1657.21,1932.27,2130.13,2414.9,2284.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,282.96,279.18
Reserves,10805.95,13730.94,17567.2,20135.87,22944.44,21372.71,26984.06,29570.28,29078.58,28683.23
Borrowings,112.35,117.86,119.9,120.77,124.52,125.59,121.46,122.77,124.23,1911.74
Other Liabilities,4757.93,3102.2,3661.15,4594.99,5476.08,4722.35,6206.82,5128.79,5650.68,8469.54
Total,15965.6,17240.37,21637.62,25141,28834.41,26510.02,33601.71,35111.21,35136.45,39343.69
Net Block,2448.03,2025.67,2001.79,1878.33,1763.94,1699.02,1667.55,1836.05,2842.23,3224.24
Capital Work in Progress,254.94,52.24,42.17,56.47,48.02,60.19,15.98,77.21,85.27,28.23
Investments,8985.25,11067.23,15477.04,18894.57,20602.85,19913.58,24686.65,26634.12,26182.91,28086.68
Other Assets,4277.38,4095.23,4116.62,4311.63,6419.6,4837.23,7231.53,6563.83,6026.04,8004.54
Total,15965.6,17240.37,21637.62,25141,28834.41,26510.02,33601.71,35111.21,35136.45,39343.69
Receivables,716.96,717.93,953.29,1491.87,2559.69,1725.1,2716.85,1516.38,1752.43,2075.53
Inventory,814.15,719.07,728.38,742.58,961.51,1063.5,1493.89,1230.51,1563.55,1688.75
Cash & Bank,592.74,867.03,301.36,792.66,933.07,316.34,538.84,958.06,690.48,955.32
No. of Equity Shares,289367020,289367020,289367020,289367020,289367020,289367020,289367020,289367020,282957358,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2113.8,3689.85,3267.36,4327.84,2486.86,3850.44,3119.88,4197.21,5277.42,6558.16
Cash from Investing Activity,-379.66,-67.52,-3609.68,-1954.48,-272.77,1765.83,-2869.15,276.2,1211.21,-343.73
