COMPANY NAME,GHCL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,477.1,,,,,,,,,
Market Capitalization,4572.07,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2355.96,2530.74,2783.83,2919.23,3341.32,3305.12,2491.18,3052.14,4545.42,3446.54
Raw Material Cost,966.07,977.35,1161.66,1226.16,1496.29,1435.84,1123.11,1186.82,1605,1317.47
Change in Inventory,44.68,30.95,22.93,-49.44,83.7,-19.59,-12.83,12.73,12.18,31.83
Power and Fuel,389.57,355.89,306.52,390.3,505.33,513.17,371.68,566.41,854.62,690.34
Other Mfr. Exp,164.69,202.7,222.59,192.27,186.4,158.05,104.96,107.07,106.2,
Employee Cost,128.25,136.03,164.83,179.66,204.05,192.69,130.32,111.9,138.51,112.13
Selling and admin,216.44,239.05,248.65,239.38,229.51,207.86,121.32,336.45,323.69,
Other Expenses,7.31,21.23,21.69,35.5,44.04,48.44,21.86,26.51,32.31,510.97
Other Income,-15.27,-3.11,36.92,37.54,15.51,16.12,18.08,210.65,124.39,271.57
Depreciation,84.92,81.74,85.69,110.1,116.94,131.21,111.4,86.92,94.22,102.1
Interest,171.29,164.92,136.78,126.56,127.34,119.79,74.32,51.34,38.67,25.47
Profit before tax,256.83,379.67,495.27,407.4,530.63,494.6,437.46,802.1,1488.77,991.46
Tax,74.93,121.92,115.22,51.05,180.05,97.98,111.34,152.05,347.2,197.56
Net profit,181.9,257.75,380.05,356.35,350.58,396.62,326.12,650.05,1141.57,793.9
Dividend Amount,22,,49.74,48.71,49.02,28.5,52.26,143.02,167.28,114.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1004.76,1052.88,1148.23,1381.09,1101.62,1119.8,1016.89,805.42,798.45,823.38
Expenses,755.66,722.74,788.89,947.26,734.78,771.21,719.07,592.29,648.35,638.94
Other Income,11.88,54.46,127.66,0.54,3.87,-2.68,231.64,11.23,14.46,16.62
Depreciation,29.74,21.67,21.91,31.81,22.36,26.77,24.43,25.85,25.85,25.97
Interest,14.95,15.13,9.83,10.75,9.73,9.87,7.76,7.05,5.74,5.35
Profit before tax,216.29,347.8,455.26,391.81,338.62,309.27,497.27,191.46,132.97,169.74
Tax,53.41,75.72,86.67,99.25,86.4,82.72,70.94,48.62,33.12,44.88
Net profit,162.88,272.08,368.59,292.56,252.22,226.55,426.33,142.84,99.85,124.86
Operating Profit,249.1,330.14,359.34,433.83,366.84,348.59,297.82,213.13,150.1,184.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,100.02,100.02,99.47,97.42,98.03,95.01,95.01,95.35,95.59,95.72
Reserves,670.14,935.9,1247.05,1513.42,1827.47,2053.96,2389.24,2851.95,3860.18,2882.77
Borrowings,1323.54,1365.04,1463.29,1321.99,1302.17,1254.23,782.11,787.56,361.36,210.08
Other Liabilities,757.72,547.73,693.79,695.31,767.24,766.15,711.5,1260.51,816.28,580.99
Total,2851.42,2948.69,3503.6,3628.14,3994.91,4169.35,3977.86,4995.37,5133.41,3769.56
Net Block,1933.88,2049.19,2409.62,2501.72,2591.07,2663.63,2675.3,2474.23,1731.44,1841.65
Capital Work in Progress,7.01,36.89,26,73.51,117.46,121.72,80.54,212.98,108.55,54.82
Investments,1.54,14.61,8.78,10.28,11.59,9.26,15.15,16.55,379.8,420.41
Other Assets,908.99,848,1059.2,1042.63,1274.79,1374.74,1206.87,2291.61,2913.62,1452.68
Total,2851.42,2948.69,3503.6,3628.14,3994.91,4169.35,3977.86,4995.37,5133.41,3769.56
Receivables,244.35,182.75,276.16,228.67,290.62,274.4,228.36,229.44,218.41,179.83
Inventory,487.39,503.31,584.32,636.7,768.5,790.62,763.5,944.23,772.33,651.07
Cash & Bank,33.91,42.62,36.14,26.81,35.5,107.17,48.63,255.23,139.77,491.5
No. of Equity Shares,100019286,100019286,99472736,97423286,98028286,95013286,95013286,95350786,95585786,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,416.02,508.75,458.14,589.51,530.15,624.37,621.03,643.42,856.16,797.03
Cash from Investing Activity,-127.42,-249.05,-374.81,-279.39,-271.18,-205.5,-108.83,-336.57,-402.55,-534.04
Cash from Financing Activity,-296.41,-251.78,-112.95,-307.83,-258.37,-339.31,-568.97,-98.07,-536.15,-337.67
Net Cash Flow,-7.81,7.92,-29.62,2.29,0.6,79.56,-56.77,208.78,-82.54,-74.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,58.43,109.26,252.04,245.34,233.67,84.63,217.86,519.78,478.01,443.25
