COMPANY NAME,PTC INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,208.15,,,,,,,,,
Market Capitalization,6168.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,12002.59,13837.59,13447.39,15310.55,12765.74,15155.08,18100.81,18345.5,16856.39,15970.6
Raw Material Cost,11001.37,12712.07,,13479.27,10689.72,12804.83,15876.67,16052.86,14784.91,14189.2
Change in Inventory,-17.73,,,,,,,,,
Power and Fuel,0.77,0.92,11873.1,1.41,4.24,3.56,4.58,3.87,3.51,3.85
Other Mfr. Exp,71.77,9.1,252.43,215.79,196.03,208.99,49.81,226.59,157.95,183.53
Employee Cost,24.64,31.06,37.2,43.99,48.21,49.93,58.79,65.4,74.71,84.41
Selling and admin,117.13,88.64,34.54,40.32,49.88,48.22,58.21,44.33,44.12,48.65
Other Expenses,-62.04,-5.83,135.88,137.17,623.63,85.93,227.01,255.69,211.05,105.94
Other Income,47.77,5.82,153.67,202.9,147.4,130.2,22.74,7.51,23.36,31.96
Depreciation,8.54,8.45,10.15,21.24,97.44,97.08,100.47,100.01,101.32,101.53
Interest,228.36,422.04,633.38,802.41,946.34,1242.51,1158.72,925.7,757.42,605.08
Profit before tax,642.09,576.96,624.38,771.85,257.65,744.23,589.29,678.56,744.76,680.37
Tax,192.06,183.59,218.12,266.04,92.8,254.48,183.23,220.94,193.09,173.22
Net profit,360.84,256.26,322.52,414.72,199.95,425.28,367.55,448.66,506.16,445.6
Dividend Amount,59.2,65.12,74,88.8,118.4,118.4,162.81,222.01,230.89,230.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5472.83,3323.58,3101.48,4307.99,4898.81,3138.85,3624.95,4847.8,5203.1,3471.65
Expenses,5001.1,3048.15,2683.73,3942.17,4540.89,2829.25,3308.68,4505.9,4789.11,3192.5
Other Income,1.51,14.82,5.56,2.75,3.03,8.06,18.07,16.22,23.41,12.3
Depreciation,25.29,25.49,25.55,25.28,25.46,25.5,25.29,25.11,25.43,25.59
Interest,186.45,180.34,181.86,161.45,149.83,150.34,138,142.25,140.09,135
Profit before tax,261.5,84.42,215.9,181.84,185.66,141.82,171.05,190.76,271.88,130.86
Tax,66.02,21.51,58.79,46.74,47.43,37.34,41.71,48.06,69.57,33.82
Net profit,177.11,60.49,148.36,117.4,119.79,91.82,116.59,129.83,181.38,79.41
Operating Profit,471.73,275.43,417.75,365.82,357.92,309.6,316.27,341.9,413.99,279.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,296.01,296.01,296.01,296.01,296.01,296.01,296.01,296.01,296.01,296.01
Reserves,2612.94,2786.42,3255.45,3559.1,3423.01,3665.92,3891.44,4124,4427.46,4722.73
Borrowings,3895.14,5110.33,7723.59,9998.8,12352.72,13320.33,11408.18,11478.9,9771,6546
Other Liabilities,1870.53,2476.74,3506.85,4244.57,3180.97,3995.9,5513.58,4768.99,5387.48,5064.86
Total,8674.62,10669.5,14781.9,18098.48,19252.71,21278.16,21109.21,20667.9,19881.95,16629.6
Net Block,54.04,49.28,386.78,2155.05,2061.17,1966.84,1883.77,1787.29,1692.97,1617.09
Capital Work in Progress,1.37,,,0.06,0.06,,,,,0.15
Investments,865.66,1292.65,1102.12,973.65,399.95,290.83,563.82,971.68,767.99,325.98
Other Assets,7753.55,9327.57,13293,14969.72,16791.53,19020.49,18661.62,17908.93,17420.99,14686.38
Total,8674.62,10669.5,14781.9,18098.48,19252.71,21278.16,21109.21,20667.9,19881.95,16629.6
Receivables,2092.25,2524.16,3710.28,3287.31,3338.18,4909.35,7010.84,6189.69,7185.51,5676.74
Inventory,,,,,,,,,,
Cash & Bank,616.78,341.11,222.41,301.26,440.94,208.48,742.68,1380.72,1959.27,1942.08
No. of Equity Shares,296008300,296008300,296008321,296008321,296008321,296008321,296008321,296008321,296008321,296008321
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-1849.18,-496.95,-1281.04,111.23,-1437.59,-107.9,3293.52,2108.12,3049.21,3575.1
Cash from Investing Activity,-395.59,-159.59,87.46,-1373.94,249.16,244.24,-413.87,-504.86,46.12,167.71
Cash from Financing Activity,2011.58,708.86,1123.74,1353.38,1277.56,-407.92,-2570.45,-1085.19,-2787.7,-4019.01
Net Cash Flow,-233.19,52.32,-69.84,90.67,89.13,-271.58,309.2,518.07,307.63,-276.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,67.8,80.9,64,93.4,87.4,73.45,38.75,77.75,82.25,85.05
,,,,,,,,,,
