COMPANY NAME,SUPREME INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,5345.45,,,,,,,,,
Market Capitalization,67883.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4253.88,2959.74,4461.77,4969.14,5611.71,5511.54,6355.2,7772.82,9201.59,10134.26
Raw Material Cost,2839.4,1969.11,2940.19,3159.5,3710.25,3647.63,3791.42,5437.73,6403.98,6864.24
Change in Inventory,0.3,71.43,121.98,-37.49,9.14,175.14,-150.53,212.27,-45.83,5.84
Power and Fuel,147.19,115.92,163.83,175.03,206.64,217.19,199.7,213.43,266.65,328.82
Other Mfr. Exp,205.43,171.05,254.01,293.07,343.54,344.48,340.7,405.05,491,
Employee Cost,168.53,146.61,212.16,242.7,255.2,280.44,311.69,346.58,376.14,442.15
Selling and admin,217.32,155.13,239.69,260.59,303.1,301.15,257.92,305.09,374.03,
Other Expenses,10.07,11.18,12,13.66,17.55,60.51,19.06,35.1,44.28,957.56
Other Income,4.66,-4.05,8.41,38.14,89.35,31.91,162.88,224.34,183.02,172.55
Depreciation,138.96,104.57,154.29,167.15,183.54,205.68,212.79,229.52,263.39,298.38
Interest,60.19,31.57,33.54,20.64,26,20.19,22.05,5.15,8.02,16.12
Profit before tax,471.75,321.98,582.45,637.45,664.38,641.32,1212.22,1231.78,1111.29,1405.38
Tax,160.04,117.64,205.78,205.7,215.75,173.92,234.08,263.33,245.96,335.66
Net profit,322.36,221.38,430.4,431.75,448.63,467.4,978.14,968.45,865.33,1069.72
Dividend Amount,114.34,95.29,190.58,152.46,165.16,177.87,279.51,304.92,330.33,381.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1945.11,2557.09,2205.98,2086.6,2310.71,2598.3,2368.58,2308.69,2449.1,3007.89
Expenses,1627.23,2165.66,1937.07,1939.47,2007.35,2118.02,2046.99,1952.46,2070.26,2517.22
Other Income,53.59,78.21,62.55,24.08,35.87,60.52,35.52,36.72,41.53,58.78
Depreciation,57.47,58.82,61.68,64.85,64.76,72.1,72.05,71.92,77.24,77.17
Interest,0.46,1.88,1.63,1.2,1.15,4.04,1.69,1.55,5.16,7.72
Profit before tax,313.54,408.94,268.15,105.16,273.32,464.66,283.37,319.48,337.97,464.56
Tax,67.82,85.08,54.3,23.14,63.29,105.23,67.83,76.29,81.8,109.74
Net profit,245.72,323.86,213.85,82.02,210.03,359.43,215.54,243.19,256.17,354.82
Operating Profit,317.88,391.43,268.91,147.13,303.36,480.28,321.59,356.23,378.84,490.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
Reserves,1186.09,1290.31,1670.31,1869.49,2128.56,2235.78,3143.8,3818.95,4376.71,5083.42
Borrowings,392.85,412.1,278.98,247.74,162.41,440.77,37.67,45.68,51.17,55.06
Other Liabilities,752.67,697.23,831.89,793.47,912.89,916.58,1075.41,1105.83,1240.93,1391.82
Total,2357.02,2425.05,2806.59,2936.11,3229.27,3618.54,4282.29,4995.87,5694.22,6555.71
Net Block,1032.51,1184.65,1263.3,1353.39,1520.97,1607.74,1714.28,1767.28,2064.24,2327.35
Capital Work in Progress,99.8,68.21,46.73,75.02,90.04,92.92,51.02,155.77,83.71,143.7
Investments,120.69,126.17,174.64,193.68,222.34,207.28,336.59,475.89,577.35,638.14
Other Assets,1104.02,1046.02,1321.92,1314.02,1395.92,1710.6,2180.4,2596.93,2968.92,3446.52
Total,2357.02,2425.05,2806.59,2936.11,3229.27,3618.54,4282.29,4995.87,5694.22,6555.71
Receivables,237.97,236.22,275.33,381.94,387.42,312.84,389.9,466.81,492.38,511.44
Inventory,464.67,557.85,776.85,696.98,750.44,890.57,760.76,1260.16,1385.64,1358.59
Cash & Bank,181.83,28.87,79.83,36.31,37.3,231.39,768.39,526.23,746.08,1187.29
No. of Equity Shares,127026870,127026870,127026870,127026870,127026870,127026870,127026870,127026870,127026870,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,600.82,296.39,464.98,507.58,555.74,539.33,1246.36,470.26,890.34,1412.9
Cash from Investing Activity,-185.98,-218.05,-202.2,-266.87,-239.61,-195.98,-199.24,-402.59,-344.68,-608.53
Cash from Financing Activity,-259.63,-233.54,-210.37,-283.84,-316.03,-155.53,-505.5,-310.31,-326.57,-381.7
Net Cash Flow,155.21,-155.2,52.41,-43.13,0.1,187.82,541.62,-242.64,219.09,422.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
