COMPANY NAME,SIEMENS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,6130.2,,,,,,,,,
Market Capitalization,218103.02,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-09-30 00:00:00,2015-09-30 00:00:00,2016-09-30 00:00:00,2017-09-30 00:00:00,2018-09-30 00:00:00,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2023-09-30 00:00:00
Sales,10678.3,10512.4,10809.5,11014.8,12725.1,13000.5,9869.4,12522.4,14831.5,17965.1
Raw Material Cost,5028.3,4897.4,5511.7,5256.4,5799.4,5651.9,3939.9,6209.8,7364,9019
Change in Inventory,148.7,-106.2,161.6,-82.3,92.1,49.8,-105.4,313.1,172.2,296.4
Power and Fuel,51.8,51.3,50.4,50.2,53.5,51.7,38,35.2,39.4,45.1
Other Mfr. Exp,2761,2143,1934,2163.3,2997,3282.1,2362.2,2765.3,3041,3769.9
Employee Cost,1413.7,1385.3,1415.7,1394.4,1450.6,1549.7,1542,1552.9,1659.3,1854.4
Selling and admin,740.9,723.1,673.9,827.6,901.3,937.6,756.6,811.7,904.5,1183
Other Expenses,712.2,209.2,338.2,162.7,271.9,74.6,105.4,3.3,360.6,112.7
Other Income,984.9,943.2,3155.9,819.9,280,394,309.9,277.9,597.2,548.7
Depreciation,229.1,215.6,226.4,196.6,196.7,198,250.4,225,209.6,223.5
Interest,31.3,28.1,35.1,32.1,35.6,38.6,59.7,45.7,61.2,57.5
Profit before tax,843.6,1696.4,3941.6,1669.1,1391.2,1660.1,1019.7,1464.5,1961.3,2545.1
Tax,240.4,513.1,1024.5,535.5,497.3,573.2,263.2,361.5,430.5,633.8
Net profit,603.2,1183.3,2917.1,1133.6,893.9,1086.9,756.5,1103,1530.8,1911.3
Dividend Amount,213.6,356,1192.6,249.2,249.2,249.2,249.2,284.8,356,356
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3877.2,3110.3,3474.9,3914.8,4331.4,3645.3,4465.2,4473.1,5381.5,4435.8
Expenses,3453.7,2782.1,3044.9,3535.8,3861.8,3096.1,3910.3,3968.2,4750.3,3912.8
Other Income,65.3,59.4,74,72.8,391.2,94.9,188,126.5,139.3,155.7
Depreciation,53.7,53.1,52.3,51.9,52.3,51.5,53.8,63.9,54.3,54.1
Interest,5.8,5.4,10.3,3.7,13.9,5,7.4,3.4,4.5,2.9
Profit before tax,429.3,329.1,441.4,396.2,794.6,587.6,681.7,564.1,711.7,621.7
Tax,106.3,83.8,112.5,102.5,131.8,150,165.7,140.4,177.7,158.3
Net profit,323,245.3,328.9,293.7,662.8,437.6,516,423.7,534,463.4
Operating Profit,423.5,328.2,430,379,469.6,549.2,554.9,504.9,631.2,523
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-09-30 00:00:00,2015-09-30 00:00:00,2016-09-30 00:00:00,2017-09-30 00:00:00,2018-09-30 00:00:00,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2023-09-30 00:00:00
Equity Share Capital,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2
Reserves,4304.4,5055.4,6749.6,7633.5,8234.2,8972.4,9402.8,10272.5,11524.7,12953.3
Borrowings,,,,,,,205.7,196.3,159.6,152.4
Other Liabilities,5914.7,5401.1,5133.1,5418.4,5943.8,6166.8,5985.9,6842.2,7757,8326.8
Total,10290.3,10527.7,11953.9,13123.1,14249.2,15210.4,15665.6,17382.2,19512.5,21503.7
Net Block,1355.6,1361.1,1195.5,1334.4,1351.4,1190.4,1165.1,1112.1,1023.9,1021.5
Capital Work in Progress,40.9,32.1,79.1,143,62.4,58.3,88,30.4,49.3,47.6
Investments,8.2,168.6,164.7,55,55,55,55,2212,2220.1,2220.1
Other Assets,8885.6,8965.9,10514.6,11590.7,12780.4,13906.7,14357.5,14027.7,16219.2,18214.5
Total,10290.3,10527.7,11953.9,13123.1,14249.2,15210.4,15665.6,17382.2,19512.5,21503.7
Receivables,3687.4,3018.3,3005.9,3415.6,3650.4,3808.9,3123.9,3435.2,3546.2,4384.5
Inventory,1047.2,950.9,999.3,1016.5,1138.9,1095,1106.4,1584.7,1923.8,2261.1
Cash & Bank,1121,2095.9,3509.4,4071.3,3645.7,4891.3,5551.7,4848.8,6276.3,7217.9
No. of Equity Shares,356119890,356120260,356120255,356120255,356120255,356120255,356120255,356120255,356120255,356120255
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-09-30 00:00:00,2015-09-30 00:00:00,2016-09-30 00:00:00,2017-09-30 00:00:00,2018-09-30 00:00:00,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2023-09-30 00:00:00
Cash from Operating Activity,607.8,618,508.4,553.8,42.2,1211.6,676.5,1333.8,928.4,1179.4
Cash from Investing Activity,129.8,624.8,239.7,1313.1,-156.4,-1033.5,829.2,-2507.2,19.5,-659
Cash from Financing Activity,-220.4,-267.9,-1612.3,-259.8,-305.4,-311.2,-384.7,-320.5,-382.7,-440.2
Net Cash Flow,517.2,974.9,-864.2,1607.1,-419.6,-133.1,1121,-1493.9,565.2,80.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
