COMPANY NAME,SBI LIFE INSURANCE COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1420,,,,,,,,,
Market Capitalization,142173.23,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,23299.03,19324.15,30547.66,34068.38,44604.06,43797.5,81912.78,82983.29,80635.64,131987.79
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,20514.16,15990.53,26828.9,29360.81,38990.24,38754.17,77295.59,77259.97,74353.04,
Employee Cost,589.5,696.56,823.18,958.58,1237.63,1361.92,1492.2,1817.68,2047.74,2398.29
Selling and admin,1197.08,1517.83,1739.21,2033.91,1929.05,735.05,531.58,877.36,954.02,947.59
Other Expenses,203.82,198.86,87.94,382.94,972.71,1595.65,1720.92,2298.77,3065.29,128241.8
Other Income,182.95,128.62,138.72,155.68,266.49,528.83,866.92,1032.31,1758.09,1677.68
Depreciation,34.02,37.13,47.56,59.31,91.7,89.25,99.4,74.9,67.79,
Interest,4.29,4.88,5.19,6.06,7.67,,,,,
Profit before tax,939.11,1006.98,1154.4,1422.45,1641.55,1790.29,1640.01,1686.92,1905.85,2077.79
Tax,124.24,162.88,199.75,272.06,314.76,368.11,184.17,180.92,185.28,184.01
Net profit,814.87,844.1,954.65,1150.39,1326.8,1422.18,1455.85,1506,1720.57,1893.78
Dividend Amount,120,120,150,200,200,,250.02,200.07,250.22,270.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,20671.96,20671.48,4806.15,27717.15,26816.78,21295.58,27895.42,28804.64,39032.55,36255.19
Expenses,20271.82,20941.02,4516.44,27291.51,26483.29,22196.68,27471.36,28392.08,38680.85,37043.39
Other Income,9.62,994.67,11.14,11.31,12.99,1722.65,8.58,11.52,18.25,1639.33
Depreciation,,,,,,,,,,
Interest,,,,,,,,,,
Profit before tax,409.76,725.13,300.85,436.95,346.48,821.55,432.64,424.08,369.95,851.13
Tax,45.7,52.98,38,60.21,42.35,44.7,51.6,43.89,48.2,40.33
Net profit,364.06,672.15,262.85,376.74,304.13,776.85,381.04,380.19,321.75,810.8
Operating Profit,400.14,-269.54,289.71,425.64,333.49,-901.1,424.06,412.56,351.7,-788.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1000,1000,1000,1000,1000,1000.03,1000.07,1000.37,1000.89,1001.47
Reserves,3056.34,3733.1,4552.08,5527.82,6576.36,7743.06,9400.37,10621.94,12016.59,13906.94
Borrowings,,,,,,,,,,
Other Liabilities,70064.19,78695.97,96687.49,115192.61,139157.48,156836.97,216430,261714.68,301668.72,383390.4
Total,74120.53,83429.07,102239.57,121720.43,146733.84,165580.06,226830.44,273336.99,314686.2,398298.81
Net Block,291.62,301.02,507.43,511.18,563.37,567.99,563.94,919.08,866.87,556.96
Capital Work in Progress,6.81,146.23,31.05,70.11,31.85,13.19,1.49,2.81,1.07,
Investments,69384.78,77842.69,95830.28,114435.87,139324.71,158813.21,218756.17,264436.68,303988.05,385590.27
Other Assets,4437.32,5139.13,5870.81,6703.27,6813.91,6185.67,7508.84,7978.42,9830.21,12151.58
Total,74120.53,83429.07,102239.57,121720.43,146733.84,165580.06,226830.44,273336.99,314686.2,398298.81
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,2523.78,2616.76,2429.84,2644.63,2420.63,1423.23,2710.52,3204.22,4164.92,4745.89
No. of Equity Shares,1000000000,1000000000,1000000000,1000000000,1000000000,1000026295,1000070908,1000370562,1000894759,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2711.49,5777.94,8525.12,10394.97,13472.86,19298.59,23877.64,21851.94,28656.05,29121.85
Cash from Investing Activity,-178.24,-7203.73,-9031.77,-8909.66,-13552.41,-16986.38,-19203.3,-21611.01,-30203,-31221.33
Cash from Financing Activity,-117,-143.99,-144.43,-221.25,-241.06,-198.48,2.65,-231.01,-415.1,-227.32
Net Cash Flow,2416.25,-1569.78,-651.08,1264.05,-320.6,2113.72,4676.99,9.92,-1962.05,-2326.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,678.25,583.4,641,880.85,1121.45,1101.1,1500.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,100,100,100,100,100,100,100.01,100.04,100.09,100.15
