COMPANY NAME,SAFARI INDUSTRIES (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1977.3,,,,,,,,,
Market Capitalization,9634.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,161.36,210.74,270.85,343.53,419.05,577.65,685.87,327.98,705.17,1211.98
Raw Material Cost,106.48,136.56,170.27,217.23,243.17,392.46,359.31,140.15,460.08,781.01
Change in Inventory,15.58,11.86,15.41,17.23,18.99,62.44,-18.58,-46.72,26.17,107.37
Power and Fuel,0.8,1.42,2.03,2.61,2.04,3.55,4.72,2.35,5.29,9.84
Other Mfr. Exp,4.5,10.45,16.2,17.24,26.44,64.6,94.06,52.33,102.49,170.34
Employee Cost,17.55,23.71,29.21,40.21,53.28,65.92,76.96,60.09,66.8,86.23
Selling and admin,37.69,38.44,48.07,54.34,64.81,53.26,51.58,19.28,29.71,65
Other Expenses,2.8,-0.42,1.9,4.72,6.02,7.4,8.55,12.58,10.74,10.07
Other Income,0.27,-0.51,0.72,0.17,0.61,0.85,0.79,2.9,-2.31,9.46
Depreciation,1.28,2.89,4.07,5.13,6.18,8.31,22.47,20.42,19.89,33.31
Interest,5.57,3.24,3.28,3.9,2.89,4.47,10.21,5.79,4.92,7.97
Profit before tax,0.54,5.8,11.95,15.55,33.82,40.97,40.22,-28.83,29.11,165.04
Tax,0.42,1.54,4.2,5.36,12.28,13.77,9.55,-7.94,6.74,39.96
Net profit,0.12,4.26,7.75,10.18,21.54,27.21,30.66,-20.9,22.37,125.09
Dividend Amount,,0.4,0.5,0.83,1.11,1.12,,,1.79,8.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,188.6,204,192.55,293.04,313.58,302.65,302.71,426.68,370.02,388.3
Expenses,170.54,190.79,175.63,251.35,271.67,247.66,244.44,347.67,306.55,320.1
Other Income,2,2.3,-7.46,1.73,2.51,2.55,2.67,2.28,2.88,3.66
Depreciation,4.75,5.03,5.63,6.72,8.01,9.42,9.16,12.93,12.25,12.91
Interest,1.39,1.33,1.17,1.31,1.89,2.57,2.2,2.61,2.21,2.39
Profit before tax,13.92,9.15,2.66,35.39,34.52,45.55,49.58,65.75,51.89,56.56
Tax,3.31,2.24,0.27,8.8,8.58,11.07,11.5,15.81,12.13,13.64
Net profit,10.62,6.9,2.4,26.59,25.94,34.48,38.08,49.94,39.76,42.92
Operating Profit,18.06,13.21,16.92,41.69,41.91,54.99,58.27,79.01,63.47,68.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,2.99,3.99,4.15,4.15,4.45,4.47,4.47,4.48,4.48,4.74
Reserves,9.34,70.02,86.9,96.84,168.39,196.1,226.15,274.51,296.51,420.98
Borrowings,54.28,32.99,58.26,41.87,55,104.23,114.23,40.85,55.61,139.42
Other Liabilities,35.3,22.63,27.37,55.18,47.21,81.43,71.14,77.1,111.92,182.31
Total,101.91,129.63,176.68,198.04,275.05,386.23,415.99,396.94,468.52,747.45
Net Block,12.04,12.3,24.35,23.38,31.5,29.35,79.44,66.72,95.86,184.05
Capital Work in Progress,0.1,0.1,0.3,1.09,0.16,,0.23,0.07,19.7,
Investments,,0.06,0.01,,,,,,,
Other Assets,89.77,117.17,152.02,173.57,243.39,356.88,336.32,330.15,352.96,563.4
Total,101.91,129.63,176.68,198.04,275.05,386.23,415.99,396.94,468.52,747.45
Receivables,31.72,40.19,54.1,58.29,97.8,140.17,147.46,90.35,114.58,169.34
Inventory,46.39,59.61,76.31,94.15,122.52,186.58,160.03,113.98,146.11,266.4
Cash & Bank,3.37,3.98,5.08,4.99,2.81,0.75,1.56,64.5,59.25,86.47
No. of Equity Shares,2990000,3985000,4150000,4150000,22250000,22325500,22364000,22386500,22389500,23711290
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-2.51,-32.12,-12.79,24.14,-48.15,-38.23,71.27,111.12,15.64,50.65
Cash from Investing Activity,-9.3,-2.88,-15.19,-6.42,-12.72,-6.66,-20.82,-97.61,-3.66,-69.55
Cash from Financing Activity,11.58,36.02,28.98,-19.5,59.22,44.83,-49.71,-10.37,-14.1,19.63
Net Cash Flow,-0.23,1.01,1,-1.77,-1.65,-0.06,0.73,3.14,-2.12,0.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,37.51,80.15,99.9,140.74,267.43,362.28,200.78,303.13,487.25,1023.93
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3,4,4.15,4.15,4.45,4.47,4.47,4.48,4.48,4.74
