COMPANY NAME,RADICO KHAITAN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1605.95,,,,,,,,,
Market Capitalization,21485.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1378.08,1399.91,1642.9,1657.2,1796.66,2063.48,2394.67,2374.09,2859.28,3133.46
Raw Material Cost,688.57,470.87,502.14,535.29,504.7,531.02,679.7,670.85,845.05,996.02
Change in Inventory,35.47,-7.34,4.19,-4.42,12.53,41.7,26.31,38.18,3.95,96.27
Power and Fuel,27.59,29.19,28.63,27.75,35.47,45.28,50.27,46.88,54.9,79.91
Other Mfr. Exp,72.94,290.45,440.98,427.73,501.76,570.76,637,626.29,798.92,993.8
Employee Cost,93.23,119.64,128.5,141.36,155.16,171.55,186.27,124.24,141.45,169.09
Selling and admin,335.28,337.05,252.57,272.61,293.48,399.27,434.94,454.21,499.4,497.47
Other Expenses,-0.5,-34.2,103.28,34.5,48.23,36.57,60.7,80.54,121.03,134.68
Other Income,33.93,36.31,35.96,17.74,26.39,13.29,-14.98,20.07,11,9.39
Depreciation,38.75,38.32,43.13,41.7,40.9,42.44,52.53,53.9,64.88,70.9
Interest,85.21,90.44,85.1,80.73,68.6,35.87,31.91,22.33,13.35,22.47
Profit before tax,106.41,87.12,98.72,108.85,187.28,285.71,272.68,353.1,335.25,274.78
Tax,35.15,19.49,25.27,28.78,63.83,97.64,45.19,82.54,83.09,70.36
Net profit,71.26,67.64,73.45,80.07,123.45,188.06,227.5,270.56,252.16,204.42
Dividend Amount,10.64,10.64,10.64,10.64,13.33,16.01,26.71,32.05,40.1,40.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,708.83,756.57,812.52,757.43,761.39,792.15,831.84,953.92,925,1160.91
Expenses,597.36,637.57,732.85,664.91,671.31,695.28,752.91,834.41,803.79,1018.07
Other Income,1.81,1.7,1.95,4.37,0.94,2.72,1.37,1.12,0.69,4.83
Depreciation,16.17,16.94,16.39,16.73,17.19,17.06,19.92,24.34,26.12,31.79
Interest,3.06,3.12,2.29,2.97,4.05,6.09,9.01,12.27,12.47,17.72
Profit before tax,94.05,100.64,62.94,77.19,69.78,76.44,51.37,84.02,83.31,98.16
Tax,24.78,23.93,16.58,18.9,17.96,19.39,14.11,20.78,21.43,24.31
Net profit,69.26,76.71,46.36,58.29,51.83,57.05,37.26,63.25,61.88,73.85
Operating Profit,111.47,119,79.67,92.52,90.08,96.87,78.93,119.51,121.21,142.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,26.61,26.61,26.61,26.61,26.66,26.68,26.71,26.71,26.73,26.73
Reserves,754.46,802.68,936.51,1003.28,1115.46,1288.26,1493.82,1737.19,1960.07,2125.28
Borrowings,903.81,849.26,959.72,799.04,592.05,337.02,400.28,288.2,201.57,753.64
Other Liabilities,331.89,410.65,389.82,391.84,498.24,580.63,539.58,542.92,555.13,762.25
Total,2016.77,2089.2,2312.66,2220.77,2232.41,2232.59,2460.39,2595.02,2743.5,3667.9
Net Block,570.5,572.74,729.39,703.82,685.49,713.94,743.43,809.9,820.6,1213.03
Capital Work in Progress,8.12,0.8,1.91,2.2,20.19,16,18.08,37.78,30.28,326.94
Investments,108.37,98.06,205.39,205.39,205.39,155.39,155.39,155.39,135.4,135.4
Other Assets,1329.78,1417.6,1375.97,1309.36,1321.34,1347.26,1543.49,1591.95,1757.22,1992.53
Total,2016.77,2089.2,2312.66,2220.77,2232.41,2232.59,2460.39,2595.02,2743.5,3667.9
Receivables,523.32,477.81,610.93,624.01,630.01,641.75,823.05,697.46,755.76,824.06
Inventory,211.38,215.27,275.77,293.63,312.1,361.69,374.18,490.97,539.25,720.12
Cash & Bank,15.29,10.33,12.7,14.07,22.35,17.67,18.24,129.98,108.89,130.77
No. of Equity Shares,133038765,133038765,133038765,133038765,133307265,133409265,133534265,133534265,133673765,133673765
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,137.13,250.39,-39.03,251.91,315.78,308.69,59.69,370.18,220.79,223.83
Cash from Investing Activity,-141.3,-82.92,83.5,3.11,-20.76,-6.55,-67.31,-76.37,-108.1,-684.1
Cash from Financing Activity,3.46,-172.42,-86.61,-233.98,-292.57,-225.93,9.48,-182.81,-133.8,481.83
Net Cash Flow,-0.71,-4.96,-42.14,21.05,2.45,76.21,1.85,111,-21.11,21.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,145.65,89.55,95.35,137.8,332.25,395.1,268.2,560.05,887.95,1194.6
,,,,,,,,,,
