COMPANY NAME,NIIT LEARNING SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,449.95,,,,,,,,,
Market Capitalization,6070.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,,1132.33,1361.78
Raw Material Cost,,,,,,,,,4.05,0.25
Change in Inventory,,,,,,,,,-1.18,-0.42
Power and Fuel,,,,,,,,,1.47,1.84
Other Mfr. Exp,,,,,,,,,5.69,7.82
Employee Cost,,,,,,,,,573.38,694.2
Selling and admin,,,,,,,,,249.43,350.83
Other Expenses,,,,,,,,,0.3,8.38
Other Income,,,,,,,,,11.34,-5.79
Depreciation,,,,,,,,,42.28,47.13
Interest,,,,,,,,,3.68,16.63
Profit before tax,,,,,,,,,262.21,228.49
Tax,,,,,,,,,60.15,36.27
Net profit,,,,,,,,,202.06,192.22
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,312.48,300.33,363.3,382.34,381.93,391.32
Expenses,,,,,240.86,247.07,283.1,297,292.03,301.2
Other Income,,,,,2.78,0.46,-7.25,6.51,3.09,7.22
Depreciation,,,,,9.97,10.79,11.78,15.27,16.97,14.26
Interest,,,,,0.15,0.14,4.6,8.28,8.66,5.52
Profit before tax,,,,,64.28,42.79,56.57,68.3,67.36,77.56
Tax,,,,,9.05,5.76,10.53,13.13,20.48,20.8
Net profit,,,,,55.24,37.03,46.04,55.17,46.88,56.75
Operating Profit,,,,,71.62,53.26,80.2,85.34,89.9,90.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,,115.56,26.91
Reserves,,,,,,,,,429.63,743.37
Borrowings,,,,,,,,,11.81,128.89
Other Liabilities,,,,,,,,,389.73,806.29
Total,,,,,,,,,946.73,1705.46
Net Block,,,,,,,,,119.11,597.4
Capital Work in Progress,,,,,,,,,2.45,11.81
Investments,,,,,,,,,99.42,282.61
Other Assets,,,,,,,,,725.75,813.64
Total,,,,,,,,,946.73,1705.46
Receivables,,,,,,,,,139.43,215.54
Inventory,,,,,,,,,0.54,0.13
Cash & Bank,,,,,,,,,352.56,278.56
No. of Equity Shares,,,,,,,,,115564072,134564360
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,,10,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,276.57,161.67
Cash from Investing Activity,,,,,,,,,-61.62,-260.77
Cash from Financing Activity,,,,,,,,,-93.85,101.96
Net Cash Flow,,,,,,,,,121.1,2.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,
