COMPANY NAME,NRB BEARINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,306.55,,,,,,,,,
Market Capitalization,2971.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,606.22,669.09,672.77,725.54,855.14,965.02,775.95,762.4,942.81,1057.16
Raw Material Cost,228.04,253.05,251.66,279.75,320.05,387.98,294.19,276.91,376.38,472.72
Change in Inventory,-5.91,1.4,-8.14,7.77,-8.64,36.43,-11,-10.96,30.83,65.16
Power and Fuel,26.68,27.77,29.42,27.58,26.98,34.79,32.56,31.79,38.6,46.19
Other Mfr. Exp,74.61,77.86,77.4,88.57,85.38,114.11,123.21,106.14,144.54,148.18
Employee Cost,101.11,112.29,128.54,132.11,129.44,138.25,137.13,138.2,156.64,160.82
Selling and admin,56.11,55.92,54.03,59.29,75.29,120.79,78.57,75.06,98.19,106.4
Other Expenses,9.78,19.66,12.42,28.8,40.1,19.46,12.79,18.72,12.54,10.83
Other Income,2.86,4.49,3.16,7.95,12.06,22.04,16.07,15.08,10.23,12.36
Depreciation,35.58,31.04,31.95,32.32,30.99,35.3,33.29,30.69,37.17,40.8
Interest,19.45,19.36,18.48,17.51,15.02,15.71,22.45,22.58,18.26,21.12
Profit before tax,51.81,78.03,63.89,75.33,135.31,157.1,46.83,66.43,101.55,127.62
Tax,18.11,24.32,20.71,22.27,42.41,47.2,13.64,10.73,25.94,31.47
Net profit,32.98,53.23,42,51.65,90.73,108.22,32.08,54.06,73.27,93.98
Dividend Amount,10.66,14.54,13.57,13.57,25.19,25.19,7.75,4.84,19.38,9.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,256.56,230.71,254.54,236.11,257.52,251.09,312.44,272.02,278.99,258.41
Expenses,209.23,201.37,212.52,193.18,227.07,216.63,248.11,226.64,233.48,222.68
Other Income,-1.1,6.65,-3.49,3.42,3.48,14.18,-5.19,-0.76,5.08,191.57
Depreciation,9.34,9.53,9.4,9.55,10.22,10.57,10.46,10.54,10.72,11.02
Interest,3.7,4.96,4.27,3.35,3.79,5.16,7.34,6.42,6.24,5.68
Profit before tax,33.19,21.5,24.86,33.45,19.92,32.91,41.34,27.66,33.63,210.6
Tax,8.84,4.53,7.4,8.99,6.65,9.46,6.37,8.67,9,44.48
Net profit,23.55,16.46,16.97,23.94,12.56,22.91,34.57,18.55,24.06,165.6
Operating Profit,47.33,29.34,42.02,42.93,30.45,34.46,64.33,45.38,45.51,35.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38
Reserves,199.66,234.82,259.78,284.6,358.6,451.14,437.52,498.34,569.2,648.38
Borrowings,316.24,327.31,310.67,275.31,216.03,280,358.92,253.25,302.46,328.83
Other Liabilities,141.72,153.03,142.13,143.99,194.89,197.17,167.36,185.53,182.89,213.82
Total,677,734.54,731.96,723.28,788.9,947.69,983.18,956.5,1073.93,1210.41
Net Block,233.27,258.23,259.46,246.95,259.62,322.22,363.89,358.55,357.79,351.19
Capital Work in Progress,38.35,3.54,4.84,8.82,14.79,14.79,16.07,10.47,11.21,28.33
Investments,0.06,0.06,0.06,6.12,14.4,12.69,12.09,12.46,33.82,36.19
Other Assets,405.32,472.71,467.6,461.39,500.09,597.99,591.13,575.02,671.11,794.7
Total,677,734.54,731.96,723.28,788.9,947.69,983.18,956.5,1073.93,1210.41
Receivables,184.19,199.75,225.95,193.65,233.44,215.05,200.22,208.67,215.31,222.55
Inventory,145.03,164.25,144.71,172.28,158.03,268.04,227,203.41,288.85,369.02
Cash & Bank,5.76,28,32.03,22.48,28.77,31.29,77.87,76.16,67.68,83.06
No. of Equity Shares,96922600,96922600,96922600,96922600,96922600,96922600,96922600,96922600,96922600,96922600
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,72.9,70.58,91.89,85.08,133.48,70.68,102.22,157.77,16.04,60.77
Cash from Investing Activity,-66.61,-23.99,-9.56,-25.36,-46.32,-89.06,-65.07,-31.8,-49.73,-43.86
Cash from Financing Activity,-3.81,-24.53,-78.72,-69.35,-95.96,35.79,9.15,-128.67,21.57,-13.27
Net Cash Flow,2.48,22.05,3.61,-9.63,-8.8,17.41,46.3,-2.7,-12.12,3.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,51.55,131.55,124.45,108.05,153.8,190.1,58.95,108.85,115,133.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
