COMPANY NAME,EVEREADY INDUSTRIES INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,337.2,,,,,,,,,
Market Capitalization,2453.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1278.92,1323.66,1357.24,1456.38,1506.64,1221.09,1248.99,1206.76,1327.73,1314.28
Raw Material Cost,816.81,813.05,890.73,911.75,927.12,727.75,691.85,710.42,842.88,744.22
Change in Inventory,10.37,-15.72,51.18,7.99,-42.76,-9.68,6.81,-10.66,16.18,-2.2
Power and Fuel,13.36,13.23,12.27,13.46,15.59,15.58,13.47,13.4,14.83,
Other Mfr. Exp,18.87,11.67,13.03,12.19,22.98,20.86,19.17,19.2,18.79,
Employee Cost,113.4,130.05,144.22,167.71,156.9,149.21,142.63,148.44,146.6,160.4
Selling and admin,175.89,183.75,187.85,207.01,178.8,130.25,111.24,131.3,179.01,
Other Expenses,26.93,33.61,26.34,47.83,38.15,47.15,52.23,54.08,31.71,267.14
Other Income,3.9,7.77,9.34,19.73,12.06,197.83,-628.36,4.7,8.6,2.89
Depreciation,31.98,13.9,14.93,19.24,21.84,28.97,27.23,27.47,27.39,30.26
Interest,34.04,30.85,23.78,29.3,54.77,70.68,52.04,48.05,56.64,32.31
Profit before tax,61.91,85.6,104.61,75.61,59.79,218.79,-482.42,48.44,34.66,80.64
Tax,12.98,16.58,11.08,22.45,11.97,40.51,-170.91,1.96,7.03,13.88
Net profit,48.93,69.03,93.53,53.16,47.83,178.29,-311.52,46.47,27.62,66.76
Dividend Amount,,14.54,,10.9,,,,,,7.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,325.89,241.24,335.38,375.75,330.43,286.17,363.57,364.89,304.91,280.9
Expenses,285.32,276.85,293.27,332.76,306.46,285.14,319.77,318.57,280.23,255.38
Other Income,1.69,0.91,0.42,0.5,0.03,7.64,2.84,0.05,0.38,-0.38
Depreciation,6.86,7.03,6.6,6.86,6.88,7.05,7.2,7.17,6.85,9.03
Interest,10.81,10.44,10.63,15.71,9.57,20.73,8.99,8.2,7.89,7.24
Profit before tax,24.59,-52.17,25.3,20.92,7.55,-19.11,30.45,31,10.32,8.87
Tax,0.88,-13.77,3.45,6.19,2.11,-4.72,5.59,5.56,1.91,0.82
Net profit,23.71,-38.4,21.85,14.73,5.44,-14.39,24.86,25.44,8.41,8.05
Operating Profit,40.57,-35.61,42.11,42.99,23.97,1.03,43.8,46.32,24.68,25.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34,36.34
Reserves,588.26,169.95,253.16,306.38,339.56,519.17,208.57,253.72,283.09,350.37
Borrowings,227.75,200.43,216.09,264,408.03,393.97,446.99,395.51,398.04,306.53
Other Liabilities,248.3,262.73,299.7,422.02,423.39,306.8,330.02,253.44,265.46,269.86
Total,1100.65,669.45,805.29,1028.74,1207.32,1256.28,1021.92,939.01,982.93,963.1
Net Block,696.36,222.04,334.16,357.44,342.62,328.5,314.03,305.04,309.63,298.58
Capital Work in Progress,27.79,22.07,6.4,2.83,4.74,2.97,2.82,4.13,1.45,2.55
Investments,,0.06,,,6.63,5.44,1.37,,7.5,7.5
Other Assets,376.5,425.28,464.73,668.47,853.33,919.37,703.7,629.84,664.35,654.47
Total,1100.65,669.45,805.29,1028.74,1207.32,1256.28,1021.92,939.01,982.93,963.1
Receivables,48.92,70.54,83.87,120.61,136.04,50.38,35.42,35.58,102.39,113.43
Inventory,259.55,238.06,284.44,300.11,252.8,210.38,245.43,240.72,259.65,250.45
Cash & Bank,7.08,7.22,5.65,5.57,7.24,11.15,87.05,53.12,7.07,8.1
No. of Equity Shares,72687260,72687260,72687260,72687260,72687260,72687260,72687260,72687260,72687260,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,71.7,124.68,82.06,80.79,70.08,132.95,172.91,133.96,36.59,153.91
Cash from Investing Activity,-29.05,-56.19,-67.94,-99.8,-144.57,-15.39,-105.5,-55.14,-19.03,-22.9
Cash from Financing Activity,-36.76,-79.58,-5.23,-36.97,76.22,-113.65,-3.97,-108.03,-59.09,-126.81
Net Cash Flow,5.9,-11.09,8.89,-55.98,1.73,3.91,63.45,-29.21,-41.53,4.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,260.7,232.4,262.3,374.75,192.05,50.45,270,335,292.15,334.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
