COMPANY NAME,FLAIR WRITING INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,285.6,,,,,,,,,
Market Capitalization,3010.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,503.32,612.79,581.18,289.18,553.78,902.93
Raw Material Cost,,,,,269.77,342.99,324.88,146.41,325.31,485.59
Change in Inventory,,,,,7.98,22.88,22.26,-16.75,29,-9.46
Power and Fuel,,,,,9.77,10.39,13.22,8.52,13.75,17.83
Other Mfr. Exp,,,,,8.32,8.71,9.38,14.27,25.25,35.39
Employee Cost,,,,,74.17,87.5,94.84,57.16,85.09,112.43
Selling and admin,,,,,34.55,43.7,42.79,9.99,16.59,33.15
Other Expenses,,,,,21.8,25.07,24.86,13.48,23.99,38.2
Other Income,,,,,6.82,5.44,5.33,11.88,10.83,13.53
Depreciation,,,,,15.28,18.45,23.45,21.72,23.18,24.2
Interest,,,,,17.22,18.33,15.36,11,8.68,8.95
Profit before tax,,,,,67.24,85.97,59.99,1.76,71.77,151.26
Tax,,,,,13.85,20.96,21.87,1.26,17.89,39.66
Net profit,,,,,53.39,65.01,38.12,0.5,53.88,111.6
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,224.16,230.45,244.31,215.15
Expenses,,,,,,,173.25,182.75,193.53,182
Other Income,,,,,,,2.71,2.96,3.53,5.52
Depreciation,,,,,,,6.22,6.85,7.29,7.51
Interest,,,,,,,2.36,2.25,2.48,2.15
Profit before tax,,,,,,,45.04,41.56,44.54,29.01
Tax,,,,,,,12.06,10.59,11.19,7.58
Net profit,,,,,,,32.99,30.96,33.35,21.44
Operating Profit,,,,,,,50.91,47.7,50.78,33.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,0.22,23.35,23.35,23.35,23.35,46.69
Reserves,,,,,158.39,198.55,235.52,236.22,290.32,379.28
Borrowings,,,,,169.13,195.62,167.69,122.43,118.38,96.88
Other Liabilities,,,,,84.26,111.36,112.74,85.42,106.95,111.04
Total,,,,,412,528.88,539.3,467.42,539,633.89
Net Block,,,,,143.84,181.95,195.2,178.29,180.52,200.09
Capital Work in Progress,,,,,8.31,3.39,,,0.09,1.6
Investments,,,,,0.1,0.1,0.11,16.38,0.11,3.61
Other Assets,,,,,259.75,343.44,343.99,272.75,358.28,428.59
Total,,,,,412,528.88,539.3,467.42,539,633.89
Receivables,,,,,115.37,160.83,163.57,110.12,141.47,161.74
Inventory,,,,,88.07,129.19,148.88,128.38,178.72,186.49
Cash & Bank,,,,,1.17,1.79,3.18,0.61,0.32,0.63
No. of Equity Shares,,,,,218400,23347200,23347200,23347200,23347200,93388800
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,45.25,35.74,,70.36,23.03,78.77
Cash from Investing Activity,,,,,-51.23,-52.03,,-15.91,-8.03,-46.03
Cash from Financing Activity,,,,,0.06,16.91,,-57.03,-15.28,-32.42
Net Cash Flow,,,,,-5.93,0.62,,-2.58,-0.28,0.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.02,2.33,2.33,2.33,2.33,9.34
