COMPANY NAME,INDIGO PAINTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1374.75,,,,,,,,,
Market Capitalization,6556.14,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,63.77,90.15,124.33,289.21,411.12,535.63,624.79,723.32,905.97,1073.33
Raw Material Cost,36.83,48.84,63.92,174.49,227.19,304.64,331.99,381.78,528.14,596.89
Change in Inventory,1.73,1.79,2.85,11.99,-2.91,6.12,10.03,5.26,14.62,1.64
Power and Fuel,0.26,0.46,0.66,1.48,1.86,2.77,2.69,3.42,3.86,4.75
Other Mfr. Exp,1.16,0.44,0.63,2.21,48.64,7.34,8.24,9.13,10.37,13.12
Employee Cost,5.39,7.57,9.86,22.84,29.29,36.38,41.99,48.31,56.33,73.1
Selling and admin,18.3,4.57,4.95,41.03,74.46,132.48,154.52,157.87,179.69,197.32
Other Expenses,0.58,37.33,52.75,61.1,2.83,3.93,4.4,5.52,6.15,8.26
Other Income,0.08,1.83,0.88,1.1,-0.86,1.21,1.64,3.56,10.83,10.07
Depreciation,0.86,0.69,0.93,14.07,17.01,17.05,19.61,24.39,31.25,34.35
Interest,1.6,0.81,0.35,2.66,3.81,4.66,5.59,3.81,1.33,1.38
Profit before tax,0.6,-6.94,-5.99,-17.58,2.26,33.71,67.43,97.91,114.3,155.87
Tax,0.24,,,-1.71,-0.31,6.84,19.61,27.06,30.24,23.94
Net profit,0.36,-6.95,-6,-15.87,2.57,26.87,47.81,70.85,84.05,131.94
Dividend Amount,0.04,,,,,,,,14.27,16.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,196.11,265.46,288.38,223.99,242.61,281.27,325.47,277.02,270.46,341.25
Expenses,172.73,226.78,234.62,188.72,208.83,240.71,253.74,229.29,228.67,280.34
Other Income,3.05,2.31,2.51,0.49,3.19,3.78,2.81,3.52,2.97,2.89
Depreciation,7.7,7.87,8.32,8.43,8.49,8.71,8.72,8.8,9.99,13.3
Interest,0.26,0.29,0.53,0.42,0.27,0.3,0.39,0.42,0.47,0.35
Profit before tax,18.47,32.83,47.42,26.91,28.21,35.33,65.43,42.03,34.3,50.15
Tax,4.92,8.53,12.83,7,-8.88,9.06,16.76,10.74,8.15,12.45
Net profit,13.55,24.3,34.59,19.91,37.09,26.26,48.68,31.29,26.14,37.7
Operating Profit,23.38,38.68,53.76,35.27,33.78,40.56,71.73,47.73,41.79,60.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.44,0.44,0.44,28.59,28.59,28.85,29.02,47.57,47.57,47.59
Reserves,4.03,26.39,128.62,68.76,71.33,100.31,149.73,515.92,602.29,728.54
Borrowings,14.28,2.89,6.03,33.72,35.83,69.53,56.33,8.78,12.44,11.86
Other Liabilities,16.47,31.03,60.48,115.11,143.64,174.49,186.88,238.89,257.59,273.61
Total,35.22,60.75,195.57,246.18,279.39,373.18,421.96,811.16,919.89,1061.6
Net Block,9.9,12.38,13.33,91.14,94.95,148.56,200.75,249.33,253.34,264.69
Capital Work in Progress,0.06,0.82,0.34,2.31,2.46,4.4,1.09,3.12,50.97,250.91
Investments,,1.09,123.74,15.5,15,19.7,20.84,49.68,173.1,131.69
Other Assets,25.26,46.46,58.16,137.23,166.98,200.52,199.28,509.03,442.48,414.31
Total,35.22,60.75,195.57,246.18,279.39,373.18,421.96,811.16,919.89,1061.6
Receivables,15.16,26.05,33.01,78.47,104.07,103.85,104.47,121.19,171.65,200.11
Inventory,9,11.54,14.96,47.54,50.76,69.33,76.76,94.67,117.72,117.66
Cash & Bank,0.75,7.82,3.01,7.71,4.64,13.85,5.68,258.31,99.62,48.79
No. of Equity Shares,439800,439850,439900,28593500,28593500,28851875,29022175,47568997,47568997,47588282
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,3.75,-5.71,11.48,-25.88,27.04,50.39,72.34,121.32,65.19,116.11
Cash from Investing Activity,-5.03,-9.67,-123.06,15.26,-22.73,-62.19,-61.27,-317.93,-69.16,-84.4
Cash from Financing Activity,1.67,16.43,112.78,7.6,-4.38,19.02,-17.23,235.72,-5.29,-20.06
Net Cash Flow,0.4,1.06,1.2,-3.02,-0.07,7.22,-6.16,39.11,-9.27,11.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,2395.85,1605.85,1008.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.04,0.04,0.04,2.86,2.86,2.88,2.9,4.76,4.76,4.76
