COMPANY NAME,MEDPLUS HEALTH SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,687.65,,,,,,,,,
Market Capitalization,8218.77,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,1368.26,1732.83,2011.29,2130.92,2272.74,2870.6,3069.27,3779.28,4557.58
Raw Material Cost,,1104.46,1388.32,1617.46,1734.19,1872.74,2583.87,2530.68,3141.81,3778.81
Change in Inventory,,,0.03,0.23,0.43,29.04,247.99,105.44,159.44,221.12
Power and Fuel,,7.43,9.38,10.03,,11.99,13.7,13.29,17.78,31.72
Other Mfr. Exp,,6.34,6.88,7.24,,30.1,32.76,28.42,44.89,65.67
Employee Cost,,135,161.51,182.19,189.97,211.37,272.4,338.65,394.37,545.8
Selling and admin,,57.19,95.16,85.72,,52.41,44.76,45.19,62.76,85.36
Other Expenses,,25.41,34.65,37.45,149.42,3.08,37.09,1.71,4.56,5.32
Other Income,,3.94,8.5,7.3,8.08,11.25,16.96,21.45,31.18,45.73
Depreciation,,8.71,9.93,11.46,12.47,58.59,74.81,88.27,119.36,181.56
Interest,,13.88,16.85,19.34,27.74,50,46.8,54.85,66.43,83.03
Profit before tax,,13.78,18.68,47.93,25.64,22.75,29.36,95.1,117.94,47.16
Tax,,6.32,9.62,19.1,-16.71,10.82,27.56,31.99,23.22,-2.95
Net profit,,7.46,9.05,28.83,42.35,11.92,2.18,63.86,95.8,49.76
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,924.74,933.45,965.91,993.65,1120.63,1190.31,1252.98,1284.3,1408.59,1441.47
Expenses,862.61,872.01,913.63,941.01,1060.96,1118.59,1171.35,1212.95,1323.5,1349.69
Other Income,6.77,7.33,13.05,10.13,10.89,11.36,13.69,9.39,10.37,9.79
Depreciation,27.68,30.48,34.11,38.1,41.87,45.79,55.8,52.42,55.47,57.11
Interest,16.08,16.53,18.58,19.81,19.87,21.08,22.27,23.27,23.54,24.5
Profit before tax,25.14,21.76,12.64,4.86,8.82,16.21,17.25,5.05,16.45,19.96
Tax,5.13,4.83,1.21,1.19,2.35,2.83,-9.3,1.29,1.9,6.26
Net profit,20.31,17.17,11.73,3.2,6.57,13.41,26.58,3.79,14.56,13.73
Operating Profit,62.13,61.44,52.28,52.64,59.67,71.72,81.63,71.35,85.09,91.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,0.17,0.17,0.17,0.19,0.19,0.19,0.45,23.86,23.86
Reserves,,141.24,137.05,147.9,303.27,291.14,527.61,730.11,1393.91,1467.32
Borrowings,,158.04,210.4,191.57,162.36,428.55,477.29,590.22,814.93,899.92
Other Liabilities,,138.52,161.52,195.55,178.57,238.8,343.61,244.87,361.35,405.62
Total,,437.97,509.14,535.19,644.39,958.68,1348.7,1565.65,2594.05,2796.72
Net Block,,67.27,76.83,80.57,83.47,377.38,419.46,517.3,798.73,1137.96
Capital Work in Progress,,2.72,3.49,1.98,0.93,1.43,4.94,5.54,20.45,25.47
Investments,,0.05,0.04,0.05,,,0.25,0.03,0.03,0.03
Other Assets,,367.93,428.78,452.59,559.99,579.87,924.05,1042.78,1774.84,1633.26
Total,,437.97,509.14,535.19,644.39,958.68,1348.7,1565.65,2594.05,2796.72
Receivables,,3.85,3.42,2.37,10.32,8.75,6.4,5.37,6.04,8.65
Inventory,,253.39,310.31,334.56,363.25,394.07,643.56,749.96,914.98,1144.09
Cash & Bank,,47.62,49.76,41.18,58.05,49.91,140.69,118.6,34.41,283.84
No. of Equity Shares,,168233,168233,168233,194000,213308,203735,458409,119305676,119305676
New Bonus Shares,,,,,,,,,1018696,
Face value,,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,-18.57,-17.1,33.77,32.33,146.68,-6.59,2.89,169.89,90.41
Cash from Investing Activity,,-16.34,-32.3,-14.88,-17.56,-19.34,-27.55,-34.55,-703.13,429.44
Cash from Financing Activity,,66.85,34.58,-29.24,-0.88,-82.84,89.83,-5.63,440.43,-170.25
Net Cash Flow,,31.94,-14.82,-10.35,13.89,44.51,55.68,-37.28,-92.81,349.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1014.5,649.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,0.02,0.02,0.02,0.02,0.02,0.02,0.05,11.93,11.93
