COMPANY NAME,GOKALDAS EXPORTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,802.55,,,,,,,,,
Market Capitalization,5709.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1131.18,1090.23,1142.92,930.48,1031.27,1174.52,1370.95,1210.73,1790.32,2222.2
Raw Material Cost,567.72,561.06,597,530.46,526.27,590.53,696.1,565.62,1017.49,1053.54
Change in Inventory,-3.93,20.03,3.54,-0.4,-10.08,67.28,4.15,-39.42,129.29,-123.63
Power and Fuel,23.27,23.28,22.54,20.93,22.76,24.13,23.59,19.07,26.01,30.91
Other Mfr. Exp,38.95,44.06,45.99,-2.57,54.73,39.76,35.67,35.67,63.05,53.48
Employee Cost,333.74,372.2,347.63,308.74,339.6,395.78,467.94,372.06,539.36,619.83
Selling and admin,61.94,59.49,69.37,74.66,91.29,89.73,52.23,52.98,73.56,62.84
Other Expenses,53.98,25.37,26.63,29.78,9.83,40.08,13.77,24.43,-5.36,7.19
Other Income,15.91,90.81,77.97,41.53,47.08,15.42,36.23,12.21,10.69,31.08
Depreciation,27.29,33.21,22.18,18.3,16.46,19.22,54.82,52.62,58.95,71.75
Interest,40,46.88,39.77,36.41,37.45,32.91,36.82,34.46,40.21,25.72
Profit before tax,-3.73,35.52,53.32,-45.1,-30.12,25.08,30.39,26.61,117.03,204.39
Tax,2.98,0.83,-8.01,2.14,0.88,-0.5,,0.13,-0.05,31.42
Net profit,-6.7,34.69,61.34,-47.24,-31,25.58,30.39,26.49,117.08,172.97
Dividend Amount,,,,,,,,,,6.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,443.77,520.61,584.97,610.63,569.67,518.88,523.01,514.65,500.25,551.57
Expenses,392.07,461.29,508.41,538.37,504.43,455.68,452.93,454.45,453.21,489.27
Other Income,2.23,3.45,2.99,2.06,12.7,9.21,7.11,7.58,8.76,8.21
Depreciation,13.78,14.95,17.79,17.08,17.07,18.61,19,19.08,20.75,21.5
Interest,11.54,9.22,9.38,6.43,5.81,6.05,7.43,5.52,5.71,5.46
Profit before tax,28.61,38.6,52.38,50.81,55.06,47.75,50.76,43.18,29.34,43.55
Tax,,8.48,-8.53,11.42,9.26,7.18,3.57,10.63,5.62,13.13
Net profit,28.61,30.11,60.91,39.39,45.8,40.58,47.19,32.55,23.71,30.42
Operating Profit,51.7,59.32,76.56,72.26,65.24,63.2,70.08,60.2,47.04,62.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.19,17.3,17.39,17.46,17.48,21.41,21.41,21.45,29.49,30.29
Reserves,106.47,141.54,198.48,151.95,113.43,218.97,205.2,268.62,678.69,855.96
Borrowings,310.9,310.86,343.47,474.22,472.45,380.7,441.61,478.51,193.04,154.41
Other Liabilities,193.5,189.36,176.94,157.15,177.73,188.25,256.5,221.34,310.05,301.35
Total,628.06,659.06,736.28,800.78,781.09,809.33,924.72,989.92,1211.27,1342.01
Net Block,172.34,134.78,96.06,97.45,95.63,107.39,172.41,237.38,287.9,279.76
Capital Work in Progress,0.19,2.19,2.48,0.9,0.07,1.45,0.79,,11.04,107.87
Investments,0.01,0.01,0.01,,,,35.52,36.81,154.46,343.99
Other Assets,455.52,522.08,637.73,702.43,685.39,700.49,716,715.73,757.87,610.39
Total,628.06,659.06,736.28,800.78,781.09,809.33,924.72,989.92,1211.27,1342.01
Receivables,100.69,82.15,84.96,213.92,216.16,161.7,143.53,179.84,92.19,135.83
Inventory,203.82,213.21,199.18,191.52,178.02,262.69,289.24,259.2,433.62,292.99
Cash & Bank,38.77,73.96,211.16,45.96,17.42,11.19,12.29,15.26,12.68,23.99
No. of Equity Shares,34376000,34594332,34789326,34927662,34952829,42815663,42825663,42895663,58976994,60577994
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,40.04,67.94,82.51,11.75,25.14,51.14,98.6,118.71,117.2,368.82
Cash from Investing Activity,20.34,-16.35,-82.9,25.7,-13.67,0.04,-38.59,-32.22,-52.29,-291.35
Cash from Financing Activity,-37.37,-36.79,4.14,-54.5,-39.76,-56.92,-44.67,-86.23,-43.02,-75.43
Net Cash Flow,23.01,14.8,3.75,-17.05,-28.29,-5.74,15.33,0.25,21.89,2.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,54.5,41.45,61.9,70.45,86.65,93.75,32.55,78.05,404.3,356
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.44,3.46,3.48,3.49,3.5,4.28,4.28,4.29,5.9,6.06
