COMPANY NAME,THE RAMCO CEMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,748.6,,,,,,,,,
Market Capitalization,17686.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3683.51,3644.89,3573.26,3949.54,4406.36,5146.27,5368.44,5268.44,5979.98,8135.27
Raw Material Cost,669.86,677.33,578.88,655.45,766.68,828.59,921.15,818.84,896.8,1357.07
Change in Inventory,-19.8,-3.21,-9.94,-14.94,16.1,-18.3,47.39,-46.52,6.41,14.1
Power and Fuel,832.4,704,526.97,516.41,729.07,1057.32,1050.87,794.67,1388.76,2661.6
Other Mfr. Exp,324.53,301.43,253.68,290.36,311.53,360.18,380.54,344.21,1672.57,2143.85
Employee Cost,230.01,247.57,294.99,322.37,342.7,371.47,420.2,470.27,460.39,466.39
Selling and admin,1007.3,968.18,805.92,938.74,1143.73,1433.33,1478.86,1227.21,266.25,303.91
Other Expenses,35.74,29.2,30.4,16.08,27.43,39.45,26.34,18.27,16.97,33.88
Other Income,85.71,86.88,88.05,43.51,35.57,28.44,37.2,34.64,30.43,36.7
Depreciation,306.29,249.88,304.79,284.49,292.2,298.52,315.26,355.3,400.84,504.44
Interest,188.95,194.54,182.37,104.06,60.03,51.97,72.6,88.11,113,241.24
Profit before tax,154.34,356.43,673.37,850.15,784.66,715.58,787.21,1139.68,801.24,473.69
Tax,16.64,114.08,131.18,200.86,229,209.69,186.12,378.6,-91.46,130.15
Net profit,137.7,242.35,542.19,649.29,555.66,505.89,601.09,761.08,892.7,343.54
Dividend Amount,23.8,35.72,71.43,71.43,70.68,70.68,58.9,70.77,70.89,47.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1493.12,1549.07,1709.12,1772.49,1784.36,2008.76,2569.66,2241.09,2329.31,2106.13
Expenses,1099.29,1318.21,1413.98,1471.83,1600.55,1724.12,2156.82,1899.63,1930.71,1710.75
Other Income,7.91,6.81,9.92,6.9,8.84,9.33,11.63,7.89,13.48,6.97
Depreciation,98.5,99.2,107.53,106.38,121.58,135.89,140.59,147.89,157.4,165.52
Interest,29.4,25.28,33.42,47.48,55.05,60.84,77.15,93.39,116.52,101.86
Profit before tax,273.84,113.19,164.11,153.7,16.02,97.24,206.73,108.07,138.16,134.97
Tax,-243.24,30.62,40.04,41.43,4.55,29.85,54.32,29.16,36.86,41.59
Net profit,517.08,82.57,124.07,112.27,11.47,67.39,152.41,78.91,101.3,93.38
Operating Profit,393.83,230.86,295.14,300.66,183.81,284.64,412.84,341.46,398.6,395.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.8,23.81,23.81,23.81,23.56,23.56,23.56,23.59,23.63,23.63
Reserves,2458.28,2621.38,3069.65,3717.7,4018.62,4436.55,4895,5603.21,6501.23,6769.9
Borrowings,2910.17,2711.89,2123.5,1424.81,1113.16,1618.7,3032.25,3109.78,3949.67,4507.11
Other Liabilities,1476.31,1644.52,1677.21,1842.58,1937.54,2029.4,2096.19,2609.18,2580.98,3216.25
Total,6868.56,7001.6,6894.17,7008.9,7092.88,8108.21,10047,11345.76,13055.51,14516.89
Net Block,4641.48,4875.52,4901.16,5183.01,5298.11,5375.91,6027.1,6956.59,7751.58,10174.28
Capital Work in Progress,353.83,262.66,146.84,120.26,174.92,852.59,1840.37,2355.19,3034.01,1987.33
Investments,283.41,355.83,371.58,148.32,159.27,174.77,188.7,200.92,201.27,202.31
Other Assets,1589.84,1507.59,1474.59,1557.31,1460.58,1704.94,1990.83,1833.06,2068.65,2152.97
Total,6868.56,7001.6,6894.17,7008.9,7092.88,8108.21,10047,11345.76,13055.51,14516.89
Receivables,303.96,380.22,472.12,554.9,442.31,489.97,526.85,375.18,349.77,464.96
Inventory,685.53,520.58,549.02,575.43,559.94,559.67,645.26,597.9,833.33,882.34
Cash & Bank,44.61,61.85,90.77,118.08,119.41,92.76,91.42,141.86,176.04,168.59
No. of Equity Shares,237969400,238076800,238076800,238076800,235576780,235576780,235576780,235889945,236292380,236292380
New Bonus Shares,,107400,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,478.79,956.09,1085.09,1105.38,1112.89,790.43,739.96,1884.8,1129.05,1405
Cash from Investing Activity,-541.21,-481.58,-263.16,-275.84,-482.99,-1190.86,-1932.46,-1770.72,-1810.31,-1686.93
Cash from Financing Activity,52.84,-457.27,-942.81,-658.59,-787.22,642.59,1212.67,-63.64,715.44,274.48
Net Cash Flow,-9.58,17.24,-120.88,170.95,-157.32,242.16,20.17,50.44,34.18,-7.45
,,,,,,,,,,
,,,,,,,,,,
