COMPANY NAME,LUX INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1469.75,,,,,,,,,
Market Capitalization,4419.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,1077.51,1207.05,1667.8,1952.52,2295.88,2378.66
Raw Material Cost,,,,,384.99,429.54,551.23,590.9,949.97,883.28
Change in Inventory,,,,,52.38,-32.96,74.9,-39.84,341.78,-123.57
Power and Fuel,,,,,5.52,4.82,6.74,7.09,8.8,8.81
Other Mfr. Exp,,,,,155.94,117,617.65,656.27,838.25,684.48
Employee Cost,,,,,37.47,43.92,67.6,69.9,88.91,120.79
Selling and admin,,,,,374.94,383.34,206.39,182.28,246.25,298.95
Other Expenses,,,,,16.71,17.53,23.73,23.78,32.16,43.31
Other Income,,,,,1.75,9.03,5.88,10.23,16.95,17.68
Depreciation,,,,,9.63,11.25,15.13,17.86,18.34,19.78
Interest,,,,,25.42,23.61,21.06,12.72,16.01,24.49
Profit before tax,,,,,121.02,152.11,239.05,362.11,455.92,188.88
Tax,,,,,43.14,53.32,61.8,92.73,117.86,51.41
Net profit,,,,,77.88,98.8,177.65,271.39,339.67,142.03
Dividend Amount,,,,,5.3,9.28,33.12,,37.56,15.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,627.2,664.32,586.91,568.72,635.7,459.05,715.19,520.59,639.27,446.86
Expenses,489.86,522.77,479.89,493.89,571.03,426.54,673.02,492.19,584.25,412.58
Other Income,3.66,3.69,6.05,2.97,2.62,3.46,9.92,4.84,4.3,3.25
Depreciation,4.34,4.77,4.91,4.79,4.85,4.78,5.36,6.07,5.88,5.99
Interest,2.73,3.7,6.96,5.22,6.23,7.23,5.81,5.8,5.41,5.06
Profit before tax,133.93,136.77,101.2,67.79,56.21,23.96,40.92,21.37,48.03,26.48
Tax,33.89,35.57,28.1,17.8,15.12,7.4,11.08,6.25,12.13,6.99
Net profit,100.44,101.3,73.76,50.74,42.01,18.08,31.21,16.68,37.09,20.21
Operating Profit,137.34,141.55,107.02,74.83,64.67,32.51,42.17,28.4,55.02,34.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,5.3,5.3,5.3,6.26,6.26,6.26
Reserves,,,,,313.32,406.11,734.05,999.3,1303.44,1445.5
Borrowings,,,,,329.14,180.89,237.21,134.84,347.52,265.79
Other Liabilities,,,,,224.31,209.33,273.51,351.33,355,401.29
Total,,,,,872.07,801.63,1250.07,1491.73,2012.22,2118.84
Net Block,,,,,126.35,132.38,161.92,199.47,235.85,287.89
Capital Work in Progress,,,,,5.31,0.41,0.76,9.23,33.77,49.82
Investments,,,,,0.85,4.51,38.67,75.3,61.58,103.45
Other Assets,,,,,739.56,664.33,1048.72,1207.73,1681.02,1677.68
Total,,,,,872.07,801.63,1250.07,1491.73,2012.22,2118.84
Receivables,,,,,389.1,366.6,440.99,458,646.9,800.75
Inventory,,,,,299.18,253.42,498,477.11,835.53,682.07
Cash & Bank,,,,,2.22,2,7.02,186.13,69.01,27.24
No. of Equity Shares,,,,,27737500,27737500,27737500,27737500,32556181,32556181
New Bonus Shares,,,,,,,,,,
Face value,,,,,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,-2.33,189.89,152.68,388.54,-228.47,180.82
Cash from Investing Activity,,,,,-18.76,-12.16,-18.08,-176.54,43.8,-88.46
Cash from Financing Activity,,,,,16.22,-177.9,-130.48,-133.37,152.43,-117.66
Net Cash Flow,,,,,-4.86,-0.18,4.12,78.63,-32.24,-25.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,1701.5,1373.25,944.95,1748.35,2190.95,1161.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.53,2.53,2.53,2.53,3.01,3.01
