COMPANY NAME,AHLUWALIA CONTRACTS (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1069,,,,,,,,,
Market Capitalization,7161.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,960.6,1059.92,1249.58,1426.52,1646.59,1754.71,1884.93,1982.19,2692.47,2838.39
Raw Material Cost,471.21,524.64,651.74,708.19,705.33,774.7,899.14,910.5,1235.24,1360.79
Change in Inventory,16.76,-16.6,44.83,-18.06,-50.68,,,,,
Power and Fuel,27.09,19.63,20.73,24.57,29.14,31.79,31.69,35.86,47.87,61.21
Other Mfr. Exp,220.72,218.51,266.52,321.87,478.63,546.42,576.76,644.85,921.17,870.56
Employee Cost,194.85,150.13,163.03,153.66,133.92,143.41,154.4,153.53,188.01,200.18
Selling and admin,19.17,14.52,28.05,21.27,24.21,26.9,25.93,23.92,28.05,33.7
Other Expenses,8.76,0.97,3.33,5.88,5.45,15.07,44.03,59.25,14.9,7.96
Other Income,37.22,11.46,13.39,8.43,6.31,9.77,10.44,22.24,28.48,29.52
Depreciation,12.41,21.18,20.06,24.13,25.63,27.56,31.87,30.44,33.58,38.77
Interest,38.64,38.6,35.2,26.74,25.08,19.22,35,42.6,43.73,33.08
Profit before tax,21.73,66.6,119.14,130.58,174.83,179.41,96.55,103.48,208.4,261.66
Tax,,2.59,34.74,44.59,59.42,62.09,32.15,26.29,53.18,67.68
Net profit,21.74,64.02,84.4,85.99,115.42,117.32,64.39,77.2,155.22,193.98
Dividend Amount,,,,,2.01,2.01,,,2.01,2.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,698.01,683.5,730.86,609.25,622.84,743.25,863.05,763.61,901.55,1026.48
Expenses,634.87,614.07,667.27,548.68,561.04,671.79,752.85,680.97,811.77,914.63
Other Income,6.93,5,11.34,7.2,6.57,6.84,8.91,6.82,8.46,9.02
Depreciation,8.45,8.52,8.3,8.57,8.87,11.09,10.25,11.78,12.57,13.58
Interest,11.69,10.59,9.97,7.76,7.09,7.03,11.19,10.85,11.48,12.26
Profit before tax,49.93,55.32,56.66,51.44,52.41,60.18,97.67,66.83,74.19,95.03
Tax,14.15,13,14.33,13.68,13.32,15.17,25.51,17.12,18.89,24.37
Net profit,35.78,42.32,42.34,37.77,39.1,45,72.16,49.71,55.3,70.66
Operating Profit,63.14,69.43,63.59,60.57,61.8,71.46,110.2,82.64,89.78,111.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,12.55,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4
Reserves,213.54,324.12,408.52,494.51,607.94,723.84,789.43,865.35,1021.79,1214.93
Borrowings,238.59,173.14,141.98,90.17,29.8,61.11,91.07,67.72,53.93,57.8
Other Liabilities,585.8,531.59,592.86,637.4,600.93,689.45,865.21,1114.32,957.12,1207.21
Total,1050.48,1042.25,1156.76,1235.48,1252.07,1487.8,1759.11,2060.79,2046.24,2493.34
Net Block,135.75,121.45,117.8,197.56,189.7,191.48,226.08,234.82,227.88,293.16
Capital Work in Progress,68.78,79.44,84.84,1.41,0.31,0.44,0.21,0.38,0.05,0.83
Investments,0.06,0.06,0.06,0.06,,,,,,
Other Assets,845.89,841.3,954.06,1036.45,1062.06,1295.88,1532.82,1825.59,1818.31,2199.35
Total,1050.48,1042.25,1156.76,1235.48,1252.07,1487.8,1759.11,2060.79,2046.24,2493.34
Receivables,404.5,416.75,499.67,514.06,565.88,517.82,493.34,374.44,442.54,606.29
Inventory,171.95,166.53,204.74,200.77,189.13,150.46,220.8,297.18,241.97,244.03
Cash & Bank,54.56,76.51,88.28,122.56,124.75,209.26,243.94,417.63,433.4,588.07
No. of Equity Shares,62762560,66987560,66987560,66987560,66987560,66987560,66987560,66987560,66987560,66987560
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,20.82,92.68,76.8,126.49,80.97,85.74,109.63,259.08,65.75,301.31
Cash from Investing Activity,32.57,21.07,-25.25,-8.69,-19.83,-42.61,-45.89,-47.86,-100.69,-165.75
Cash from Financing Activity,-68.86,-98.15,-57.47,-70.14,-69.64,19.1,-36.36,-50.72,-44.19,-16.05
Net Cash Flow,-15.47,15.6,-5.93,47.67,-8.5,62.23,27.38,160.5,-79.13,119.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,40.5,249.6,303.2,313.75,375.9,324.85,171.6,299.2,471.05,576.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
