COMPANY NAME,ASHOKA BUILDCON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,163.1,,,,,,,,,
Market Capitalization,4575.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1794.88,2319.71,2824.92,2972.83,3601.02,4930.12,5070.47,4991.7,5998.98,8100.48
Raw Material Cost,95.58,118.69,884.29,597.13,832.45,1508.32,1159.36,1290.9,1520.38,2662.27
Change in Inventory,39.43,43.3,,,,,,,,
Power and Fuel,62.79,65,55.81,72.11,110.03,,,,,
Other Mfr. Exp,1127.61,1498.46,730.43,1098.59,1274.48,1685.86,1863.98,1609.42,2192.3,2902.59
Employee Cost,58.35,75.59,96.27,118.54,141.53,188.89,293.81,321.56,355.07,388.61
Selling and admin,86,72.38,79.91,111.74,75.44,76.15,86.99,75.84,90.15,116.06
Other Expenses,21.83,59.9,59.93,39.23,27.58,77.67,91.14,157.67,52.02,62.15
Other Income,14.03,29.03,24.1,81.5,110.78,16.96,93.39,146.81,485.13,64.3
Depreciation,138.91,151.71,269.05,264.01,291.43,258.23,299.78,275.87,338.23,341.08
Interest,133.54,272.11,799.6,907.8,993.81,1021.34,1042.56,969.6,1003.75,1103.83
Profit before tax,123.73,78.2,-126.27,-154.82,-34.95,130.62,326.24,437.65,932.21,588.19
Tax,68.8,79.56,97.35,69.83,83.7,170.9,165.87,164.17,160.8,215.28
Net profit,97.45,81.48,-85.36,-205.3,-111.14,-33.46,165.32,276.22,778.56,371.39
Dividend Amount,23.69,22.21,28.07,29.94,14.97,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1264.87,1440.49,1991.76,1878.56,1807.69,1955.82,2448.42,1935.16,2154.31,2657.12
Expenses,858.16,1042.13,1424.37,1394.6,1382.43,1466.23,1892.73,1461.86,1608.33,2069.72
Other Income,39.84,365.26,68.99,43.05,37.14,40.58,-42.18,38.16,41.28,41.82
Depreciation,70.7,87.43,117.12,84.1,82.28,87.96,86.75,96.06,99.42,103.18
Interest,249.38,254.89,259.32,249.96,276.23,289.92,287.71,318.6,320.83,337.16
Profit before tax,126.47,421.3,259.94,192.95,103.89,152.29,139.05,96.8,167.01,188.88
Tax,48.36,32.13,35.31,58.29,38.23,13.92,104.84,24.81,48.02,79.06
Net profit,79.94,392.47,225.93,134.55,63.66,136.1,37.07,67.72,112.29,107.3
Operating Profit,406.71,398.36,567.39,483.96,425.26,489.59,555.69,473.3,545.98,587.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,78.98,79.31,93.57,93.57,93.57,140.36,140.36,140.36,140.36,140.36
Reserves,1183.86,1277.6,1621,375.9,222.34,146.53,273.93,478.95,1240.47,1614.21
Borrowings,3192.61,3872.63,4691.76,4754.36,5101.06,6044.28,6261.78,6716.31,3632.6,1908.8
Other Liabilities,9062.81,9437.1,4570.71,5580.12,6132.61,6769.51,6957.94,6881.27,10391.47,13460.52
Total,13518.26,14666.64,10977.04,10803.95,11549.58,13100.68,13634.01,14216.89,15404.9,17123.89
Net Block,4025.04,12571.23,8514.81,8016.12,7874.8,7873.74,7693,7487.93,1308.64,328.62
Capital Work in Progress,7962.06,150.52,19.97,36.56,46.39,58.12,76.87,61.62,72.55,62.34
Investments,284.69,240.32,227.6,186.32,247.15,283.51,186.42,213.73,64.68,32.16
Other Assets,1246.47,1704.57,2214.66,2564.95,3381.24,4885.31,5677.72,6453.61,13959.03,16700.77
Total,13518.26,14666.64,10977.04,10803.95,11549.58,13100.68,13634.01,14216.89,15404.9,17123.89
Receivables,130.5,364.44,516.15,360.95,688.98,1048.28,931.41,895.79,764.16,910
Inventory,627.18,728.56,1073.11,359.55,419.43,426.45,434.77,436.7,449.89,560.53
Cash & Bank,94.49,40.98,170.87,102.28,253.23,234.24,754.38,630.73,729.45,525.95
No. of Equity Shares,157953090,158626623,187148811,187148811,187148811,280723217,280723217,280723217,280723217,280723217
New Bonus Shares,52651030,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,385.79,389.82,250.74,827.25,621.11,-90.27,1069.69,155.29,352.76,492.24
Cash from Investing Activity,-922.25,-812.21,-104.29,-62.76,-314.79,-244.36,-117.2,-176.12,-232.57,-310.68
Cash from Financing Activity,578.99,369.36,25.04,-865.94,-98.42,310.53,-571.14,-220.86,-35,-311.19
Net Cash Flow,42.53,-53.02,171.5,-101.45,207.9,-24.09,381.35,-241.68,85.18,-129.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,50.93,117.23,113.93,131.33,165.63,126.9,41.35,101.9,85.8,74
