COMPANY NAME,COCHIN SHIPYARD LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1234.7,,,,,,,,,
Market Capitalization,32476.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1797.85,1583.26,1990.01,2058.87,2355.12,2965.6,3422.49,2818.9,3190,2330.46
Raw Material Cost,775.75,1000.81,1054.32,1008.73,1165.66,1504.29,1796,1219.82,1615.17,1102.85
Change in Inventory,-40.22,19.23,16.44,13.96,-25.1,,,,,
Power and Fuel,25.63,24.61,27.82,28.49,26.88,30.83,31.7,35.65,,
Other Mfr. Exp,214.29,200.25,242.43,363.68,277.01,424.71,409.64,377.38,436.19,469.35
Employee Cost,209.19,212.85,209.08,217.27,271.4,277.56,305.67,291.58,308.38,326.39
Selling and admin,41.21,42.76,43.61,44.97,45.71,58.13,45.43,47.91,127.16,126.53
Other Expenses,74.43,31.26,36.68,20.1,78.13,96.23,119.81,119.29,68.2,32.2
Other Income,61,77.11,106.8,154.48,189.01,227.11,247.48,193.85,266.41,268.3
Depreciation,25.32,37.7,37.19,38.51,37.51,34.16,48.73,53.07,54.41,51.15
Interest,19.77,18.92,12.46,12.16,11.87,15.43,49.56,57.46,52.51,41.79
Profit before tax,433.04,110.44,449.66,493.4,604.86,751.37,863.43,810.59,794.39,448.5
Tax,151.26,41.16,157.9,171.85,208.11,270.2,225.74,200.48,207.82,114.02
Net profit,281.77,69.28,291.75,321.55,396.75,481.18,637.69,610.1,586.57,334.49
Dividend Amount,16.99,16.99,86.66,101.61,163.13,171,218.75,203.89,220.33,131.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,696.29,952.88,1211.4,439.72,682.91,630.86,576.97,444.14,954.2,1021.45
Expenses,529.95,810.79,912.2,405.81,543.45,477.35,643.15,362.03,759.27,709.96
Other Income,42.2,64.37,112.83,57.49,61.46,23.09,131.3,84.19,87.57,56.24
Depreciation,14.01,14.11,14.15,14.15,14.91,14.08,8.66,12.86,15.06,15.18
Interest,11.64,11.64,11.58,11.84,11.87,11.87,-1.84,8.32,9.26,7.71
Profit before tax,182.89,180.71,386.3,65.41,174.14,150.65,58.3,145.12,258.18,344.84
Tax,47.07,46.33,102.23,16.5,54.3,32.25,10.97,35.71,67.18,96.82
Net profit,135.82,134.39,284.07,48.91,119.83,118.41,47.34,109.41,191,248.02
Operating Profit,166.34,142.09,299.2,33.91,139.46,153.51,-66.18,82.11,194.93,311.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,113.28,113.28,113.28,113.28,135.94,131.54,131.54,131.54,131.54,131.54
Reserves,1376.27,1440.65,1710.92,1915.3,3119.93,3200.54,3600.25,3846.03,4227.64,4291.88
Borrowings,333.92,123,123,123,123,123,123,532.31,546.38,567.08
Other Liabilities,1163.71,1214.35,1401.66,1169.76,2102.79,1793.22,2553.92,2893.31,3412.91,4918.54
Total,2987.18,2891.28,3348.86,3321.34,5481.66,5248.3,6408.71,7403.19,8318.47,9909.04
Net Block,370.1,370.1,370.22,370.61,348.98,374.64,756.19,755.9,740.22,716.19
Capital Work in Progress,7.57,12.78,24.17,53.92,114.84,341.08,768.21,1061.64,1247.2,1603.49
Investments,0.19,0.19,0.09,0.09,16.37,60.37,65.45,214.45,261.58,335.61
Other Assets,2609.32,2508.21,2954.38,2896.72,5001.47,4472.21,4818.86,5371.2,6069.47,7253.75
Total,2987.18,2891.28,3348.86,3321.34,5481.66,5248.3,6408.71,7403.19,8318.47,9909.04
Receivables,1202.82,582.54,454.1,306.99,580.13,392.34,288.23,353.3,436.67,330.21
Inventory,395.92,303.38,231.69,191.28,318.15,288.11,317.5,435.87,288.44,350.45
Cash & Bank,556.43,1419.45,1820.41,1991.29,3490.34,2522.85,2175.92,2146.38,3162.83,4671.81
No. of Equity Shares,113280000,113280000,113280000,113280000,135936000,131540390,131540390,131540390,131540390,131540390
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-584.18,663.42,40.07,212.28,632.07,-448.5,252.61,669.55,1415.15,2051.14
Cash from Investing Activity,15.25,15.52,46.69,64.75,-1328.34,1043.71,-73.79,-445.84,-1010.75,-225.79
Cash from Financing Activity,271.01,-235.39,-31.89,-112.52,812.23,-408.81,-308.65,-405.01,-238.36,-272.28
Net Cash Flow,-297.92,443.55,54.87,164.51,115.96,186.4,-129.82,-181.3,166.03,1553.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,251.18,195.8,133.18,187.15,147.1,237.88
,,,,,,,,,,
