COMPANY NAME,UNITED SPIRITS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1194.75,,,,,,,,,
Market Capitalization,86952.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,10507.75,9253.85,8494.9,8817.5,8590.6,9340.8,9325.4,8131.3,9712.4,10611.6
Raw Material Cost,6230.21,5569.38,4916.3,3053.5,2679,2940.4,3435.1,2812.9,3519.6,4361
Change in Inventory,440.86,350.37,159.1,-56.8,14.1,-65.7,-98.4,-133.1,82.7,137.1
Power and Fuel,102.35,36.84,36,34.8,27.9,24.9,24.5,20,18.2,16.7
Other Mfr. Exp,258.19,222.61,261.7,2006.2,1864.5,1935.4,1812,1841.5,2225.8,2249.3
Employee Cost,860.48,778.64,681.5,688.9,681.2,690.2,530.5,557,653.9,610.5
Selling and admin,2566.92,2307.49,1619.3,1862.2,1963.8,2106.3,1877.1,1625.7,1710,2039.6
Other Expenses,4298.81,1054.78,805.9,123.7,179.1,184.1,-21.2,89.7,72.4,68.1
Other Income,680.98,-359.56,647.5,-265,172.4,69.8,88.6,-24.7,-116.8,261.5
Depreciation,202.61,222.87,157.2,188.6,192.3,214.7,285.3,299.1,303.8,282.5
Interest,1322.57,687.34,457.4,375.1,277.5,237.2,212,187.6,88,103.9
Profit before tax,-4212.55,-1635.29,366.2,162.7,911.8,1011.7,1160.3,540,1086.6,1278.6
Tax,276.23,52.04,222.8,69.7,259.9,328.1,539.7,177.9,276,152.8
Net profit,-4489.09,-1687.71,138.3,100.1,633.8,700.2,658.9,383.6,828.6,1136.3
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2507.6,2947.4,2535.7,2419.1,2911,2778.7,2502.8,2667.8,2867.4,3002.1
Expenses,2038.5,2428.7,2103.9,2047.1,2474.2,2407.1,2267.7,1954.8,2401.1,2515.7
Other Income,4.3,0.1,-96.6,-12.2,389.1,-127.4,,4.6,70.8,52.1
Depreciation,76.3,75.8,77.4,83.1,65.9,64.7,68.8,74.3,65.3,62.8
Interest,6.9,39.2,16.5,22.5,21,24.4,36,4.3,26.2,16.4
Profit before tax,390.2,403.8,241.3,254.2,739,155.1,130.3,639,445.6,459.3
Tax,103.8,108.5,62.7,-6.9,191.3,-59.1,27.5,162.3,106.3,109.1
Net profit,291.8,299.6,181.7,266.2,553.1,214.2,102.8,476.7,339.3,350.2
Operating Profit,469.1,518.7,431.8,372,436.8,371.6,235.1,713,466.3,486.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,145.33,145.33,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.5
Reserves,2886.94,514.19,1489.4,1640.3,2273.8,2945,3582.7,3974.5,4808.4,5854
Borrowings,8307.11,4986.85,4242.5,4143.6,3421.1,2883.2,2570.2,1036.8,605.4,183.3
Other Liabilities,3518.24,2242.24,2452.1,2966.7,3085.6,3135.4,2545.5,3354.3,3303.9,3533.6
Total,14857.62,7888.61,8329.3,8895.9,8925.8,9108.9,8843.7,8510.9,8863,9716.4
Net Block,5700.38,1920.98,1886.8,1916.6,1791.3,1841.2,1955.9,1893.1,1854.8,1534.2
Capital Work in Progress,109.66,114.14,282.1,199.3,101.8,118.4,121.1,96.7,95.7,82.8
Investments,238.01,216.36,76.6,0.1,0.1,25.2,21.9,,222.1,285.9
Other Assets,8809.57,5637.13,6083.8,6779.9,7032.6,7124.1,6744.8,6521.1,6690.4,7813.5
Total,14857.62,7888.61,8329.3,8895.9,8925.8,9108.9,8843.7,8510.9,8863,9716.4
Receivables,2265.25,1751.5,2303.2,2953.4,2711.2,2542.5,2283.5,2187.2,2373.6,2434
Inventory,2935.12,1758.11,1951.9,1927.6,1919.7,1934.3,1927.5,2051.9,2156.7,2230
Cash & Bank,704.73,362.88,136.8,87.2,256,282.9,73.5,83.9,60.3,883.3
No. of Equity Shares,145327740,145327743,145327743,145327743,145327743,726638715,726638715,726638715,726638715,727350853
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-551.93,-196.31,282.7,646.8,925.1,948.3,783.2,1817.7,977.4,614.7
Cash from Investing Activity,-252,3855.39,733.2,-227.4,104.4,-65.5,-193.6,-99.2,-312.7,-53.2
Cash from Financing Activity,1234.96,-4001.93,-1154.9,-474.9,-966.1,-808.3,-739.9,-1706.8,-688,-500.9
Net Cash Flow,431.03,-342.85,-139,-55.5,63.4,74.5,-150.3,11.7,-23.3,60.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
