COMPANY NAME,ADITYA BIRLA CAPITAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,209.4,,,,,,,,,
Market Capitalization,54433.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,2709.95,3644.92,5881.64,11526.01,15167.61,16696.41,19259.72,22231.73,30163.15
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,6.16,7.24,9.49,6.41,7.88,6.85,6.18,6.21,8.11
Other Mfr. Exp,,19.84,23.51,31.24,226.42,8357.33,9090.17,12087.75,14659.3,17114.14
Employee Cost,,426.06,501.24,717.28,652.16,788.45,705.46,758.02,867.59,1140.07
Selling and admin,,457.5,490.46,773.06,318.41,292.31,264.3,247.87,290.06,525.91
Other Expenses,,91.99,133.54,946.6,6335.69,404.24,867.34,866.47,870.93,1183.61
Other Income,,-39.4,24.21,4.05,176.84,230.2,253.82,282.47,350.52,310.75
Depreciation,,37.49,32.85,43.17,44.27,57.89,102.56,114.45,121.91,144.83
Interest,,1112.49,1611.64,2299.11,3023.65,4109.06,4633.81,3915.76,3479.53,4722
Profit before tax,,519.02,868.65,1065.74,1095.84,1380.65,1279.74,1545.69,2286.72,5635.23
Tax,,210.17,344.57,374.59,402.76,569.35,413.63,440.04,626.65,811.16
Net profit,,308.85,524.08,530,693.06,870.94,919.78,1126.54,1705.97,4795.77
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5596.49,5711.76,6616.85,5590.28,6825.01,6938.14,8024.95,7044.97,7720.55,8800.06
Expenses,4261.8,4139.71,5192.62,4087.88,5145.33,4943.91,5765.66,4489.87,4898.63,5763.64
Other Income,96.93,95.33,82.79,60.53,105.19,2810.07,90.66,70.23,62.01,60.34
Depreciation,30.39,30.42,33.08,32.27,34.66,37.69,40.21,42.8,47.95,49.57
Interest,871.98,885.28,865.78,916.98,1059.81,1267.61,1477.59,1671.01,1827.05,1997.42
Profit before tax,529.25,751.68,608.16,613.68,690.4,3499,832.15,911.52,1008.93,1049.77
Tax,172.2,180.44,146.73,189.86,211.03,213.9,196.37,245.82,284.15,289.47
Net profit,376.9,576.74,450.27,429.47,488.25,3269.4,608.65,648.76,705.05,735.76
Operating Profit,1334.69,1572.05,1424.23,1502.4,1679.68,1994.23,2259.29,2555.1,2821.92,3036.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,757.01,796.01,1232.24,2201.04,2201.4,2413.76,2415.28,2416.31,2417.99
Reserves,,1055.62,1921.18,5377.95,6336.8,7310.95,10162.03,11327.3,13075.8,17892.76
Borrowings,,14815.14,23012.5,33215.1,44515.65,56324.17,55966.43,53043.73,58425.47,84737.5
Other Liabilities,,3014.38,4311.84,38316.01,40502.4,43633.4,44977.93,57698.32,66897.49,75304.26
Total,,19642.15,30041.53,78141.3,93555.89,109469.92,113520.15,124484.63,140815.07,180352.51
Net Block,,284.48,313.75,777.77,837.49,892.02,1180.63,1258.8,1305.39,1278.74
Capital Work in Progress,,7.98,11.24,34.86,32.65,34.17,74.32,44.95,44.62,44.04
Investments,,719.66,1363.19,11759.92,39572.99,43955.03,48414.86,57702.78,67355.17,80382.86
Other Assets,,18630.03,28353.35,65568.75,53112.76,64588.7,63850.34,65478.1,72109.89,98646.87
Total,,19642.15,30041.53,78141.3,93555.89,109469.92,113520.15,124484.63,140815.07,180352.51
Receivables,,124.2,178.56,369.93,376.98,374.39,473.12,445.99,658.5,411.08
Inventory,,467.57,330.2,,,,,,,
Cash & Bank,,280.89,113.67,803.7,1056.36,1085.95,3117.13,3179.14,2637.66,2315.86
No. of Equity Shares,,757010000,796010000,1232240000,2201039348,2201404363,2413760708,2415277978,2416311986,2417994042
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,-8697.42,-7569.6,-11893.7,-10255.81,4270.98,63.96,-5069.51,-24028.59
Cash from Investing Activity,,,-637.67,-1623.11,37.54,-690.43,-3069.55,2429.08,-1445.55,-2674.68
Cash from Financing Activity,,,9183.76,9870.36,12006.21,10851.83,874.71,-2580.62,5836.44,26385.21
Net Cash Flow,,,-151.33,677.65,150.05,-94.41,2076.14,-87.58,-678.62,-318.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,145.95,97.2,42.15,119.3,107.65,153.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,75.7,79.6,123.22,220.1,220.14,241.38,241.53,241.63,241.8
