COMPANY NAME,CERA SANITARYWARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,6768.95,,,,,,,,,
Market Capitalization,8798.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,663.7,821.66,917.24,1011.49,1182.08,1343.6,1209.16,1201.71,1441.76,1796.19
Raw Material Cost,316.87,403.03,447.45,470.75,596.85,660.61,610.12,613.28,783.72,890.08
Change in Inventory,11.38,18.74,6.71,-10.31,33.58,14.91,24.93,-34.02,102.72,68.33
Power and Fuel,31.38,34.16,31.26,15.64,25.77,29.56,28.76,17.2,43.83,59.38
Other Mfr. Exp,30.52,34.22,35.32,30.98,35.67,38.88,37.14,32.64,59.36,76.97
Employee Cost,74.47,91.86,111.13,118.29,140.37,156.7,161.13,144.56,190.94,211.59
Selling and admin,103.97,129.09,123.77,148.08,199.79,235.34,186.6,167.92,198.34,278.84
Other Expenses,22.79,29.35,33.66,46.51,48.98,46.19,46.65,42.13,46.82,61.88
Other Income,6.01,5.43,9.88,11.03,13.8,15.02,13.99,21.79,16.82,31.79
Depreciation,12.25,15.46,16.32,18.12,22.36,22.85,32.67,33.23,30.43,30.44
Interest,6.44,7.73,5.46,5.39,5.24,3.24,4.4,4.27,4.59,5.4
Profit before tax,82.4,100.93,129.46,158.45,154.43,180.16,140.61,134.25,203.27,281.73
Tax,30.49,33.26,46,54.48,54.19,65.11,24.66,32.94,53.92,72.07
Net profit,51.91,67.66,83.46,103.97,100.25,115.05,115.94,101.3,149.36,209.66
Dividend Amount,6.33,8.12,11.7,15.6,15.6,16.9,16.9,16.9,45.5,65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,393.23,387.01,438.68,395.75,414.26,455.74,530.38,427.19,460.96,436.72
Expenses,335.32,325.92,356.27,334.59,348.21,382.89,445.29,358.7,386.69,377.3
Other Income,6.97,4.17,0.15,-0.27,10.95,13.7,8.04,15.71,11.45,15.99
Depreciation,7.61,7.77,7.77,6.99,7.71,7.96,7.79,7.78,8.33,9.12
Interest,1.03,1,1.52,0.94,1.27,1.29,1.9,1.18,1.24,1.45
Profit before tax,56.24,56.49,73.27,52.96,68.02,77.3,83.44,75.24,76.15,64.84
Tax,14.16,14.22,21.19,13.33,17.31,20.92,20.51,18.87,19.27,13.97
Net profit,42.09,42.27,52.08,39.63,50.72,56.37,62.94,56.37,56.89,50.88
Operating Profit,57.91,61.09,82.41,61.16,66.05,72.85,85.09,68.49,74.27,59.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,6.33,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Reserves,217.64,345.2,414.52,517.89,598.45,693.65,766.39,867.9,999.24,1162.71
Borrowings,48.25,68.16,35.08,34.18,24.35,18.19,33.3,27.82,37,45.6
Other Liabilities,180.99,224.38,290.45,302.2,319.94,370.97,319.59,380.84,384.75,440.82
Total,453.21,644.24,746.55,860.77,949.24,1089.31,1125.78,1283.06,1427.49,1655.63
Net Block,151.7,214.68,225.79,266.39,279.47,305.02,350.39,329.78,320.55,320.41
Capital Work in Progress,5.2,7.66,4.24,0.16,5.25,11.25,0.53,0.6,0.58,16.97
Investments,12.13,47.76,67.11,118.79,139.18,212.09,262.43,513.14,567.35,668.79
Other Assets,284.18,374.14,449.41,475.43,525.34,560.95,512.43,439.54,539.01,649.46
Total,453.21,644.24,746.55,860.77,949.24,1089.31,1125.78,1283.06,1427.49,1655.63
Receivables,106.62,161.22,188.43,220.71,267.66,297.01,220.91,206.71,164.08,188.27
Inventory,104.58,125.89,132.18,129.19,160.9,179.18,204.49,169.68,287.71,376.41
Cash & Bank,30.71,29.53,59.39,37.65,23.04,10.38,1.6,9.84,24.14,25.32
No. of Equity Shares,12654874,13005874,13005874,13005874,13005874,13005874,13005874,13005874,13005874,13005874
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,63.42,40.56,115.86,112.34,71.5,114.46,123.24,261.97,97.85,156.47
Cash from Investing Activity,-48.06,-117.27,-38.01,-92.41,-36.43,-102.08,-75.65,-242.67,-70.15,-101.18
Cash from Financing Activity,-25,75.53,-47.99,-20.38,-33.87,-27.39,-53.32,-12.54,-21.01,-58.65
Net Cash Flow,-9.64,-1.18,29.86,-0.45,1.2,-15.01,-5.73,6.76,6.68,-3.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,884.15,2481.35,1829.9,3016.25,3455.85,3085.4,2311.45,3907.3,4972.45,6403.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
