COMPANY NAME,CRAFTSMAN AUTOMATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,4302.15,,,,,,,,,
Market Capitalization,9097.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,1101.87,1479.09,1818.01,1492.46,1559.95,2217.02,3182.6,4451.73
Raw Material Cost,,,406.26,,710.49,571.71,672.75,1065.49,1699.64,2521.53
Change in Inventory,,,21.92,15.92,7.02,-15.07,6.22,31.44,70.21,150.22
Power and Fuel,,,66.17,85.6,96.64,85.09,82.1,112.54,166.06,262.51
Other Mfr. Exp,,,181.32,823.68,252.7,197.26,171.97,265.59,349.82,489.04
Employee Cost,,,156.88,205.86,229.91,155.52,144.83,187.97,233.75,288.74
Selling and admin,,,77.17,80.04,86.28,66.12,53.14,80.62,115.82,156.49
Other Expenses,,,7.79,6.23,6.37,3.74,3.14,2.09,4.11,4.81
Other Income,,,10.9,11.58,14.04,2.82,10.25,7.78,13.02,18.09
Depreciation,,,112.77,149.15,176.15,196.4,192.45,205.99,221.61,277.69
Interest,,,89.66,112.48,140.55,148.6,107.28,84.22,120.23,174.54
Profit before tax,,,36.67,43.55,139.98,55.77,148.76,251.73,354.79,444.69
Tax,,,-43.07,12.01,42.62,15.76,51.4,88.64,103.83,107.36
Net profit,,,79.74,31.53,97.37,40.01,97.36,163.09,248.39,304.47
Dividend Amount,,,,1.01,5.03,,,7.92,23.76,23.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,554.15,656.67,676.96,776.24,749.03,980.37,1037.63,1179.06,1129.7,1105.34
Expenses,426.34,501.66,512.28,604.05,590.73,791.93,823.4,941.56,909.5,898.44
Other Income,2.02,4.35,1.36,1.84,4.82,5,3.9,4.96,3.62,5.61
Depreciation,52.11,54.49,53.23,54.69,53.76,59.93,68.29,66.83,70.28,72.29
Interest,20.19,23.78,25.41,23.28,29.63,41.91,42.39,41.58,44.17,46.4
Profit before tax,57.53,81.09,87.4,96.06,79.73,91.6,107.45,134.05,109.37,93.82
Tax,19.93,29.63,30.76,33.58,28.12,11.37,26.61,29.56,27.9,23.29
Net profit,37.6,51.46,56.64,62.48,51.61,77.66,74.48,94.54,73.12,62.33
Operating Profit,127.81,155.01,164.68,172.19,158.3,188.44,214.23,237.5,220.2,206.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,5.75,10.06,10.06,10.06,10.56,10.56,10.56,10.56
Reserves,,,565.97,586.6,673.2,711.53,958.87,1125.18,1366.34,1647.42
Borrowings,,,777.03,846.69,985.26,1058.43,805.98,799.55,1240.23,1754.82
Other Liabilities,,,468.99,556.09,656.89,527.26,576.49,739.49,1189.59,1292.94
Total,,,1817.74,1999.44,2325.41,2307.28,2351.9,2674.78,3806.72,4705.74
Net Block,,,1228.41,1323.47,1588.59,1545.79,1510.49,1543.78,2123.88,2566.71
Capital Work in Progress,,,11.15,24.31,90.61,88.82,31.98,41.98,96.63,178.61
Investments,,,2.63,3.88,4.16,3.2,2.25,2.65,3.43,4.47
Other Assets,,,575.55,647.78,642.05,669.47,807.18,1086.37,1582.78,1955.95
Total,,,1817.74,1999.44,2325.41,2307.28,2351.9,2674.78,3806.72,4705.74
Receivables,,,171.42,201.69,210.03,194.32,238.95,296.21,535.29,576.63
Inventory,,,228.33,300.46,323.31,325.61,405.64,626.41,836.01,1040.82
Cash & Bank,,,39.74,48.68,26.58,71.64,46.66,43.48,47.34,83.02
No. of Equity Shares,,,574903,1006080,20121600,20121600,21128311,21128311,21128311,21128311
New Bonus Shares,,,,431177,,,,,,
Face value,,,100,100,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,256.89,282.7,360,306.28,362.38,327.21,607.66,513.31
Cash from Investing Activity,,,-319.34,-210.38,-358.51,-137.87,-94.85,-209.01,-682.81,-625.37
Cash from Financing Activity,,,78.2,-60.31,-18.23,-127.96,-296.02,-120.04,73.04,148.23
Net Cash Flow,,,15.75,12.01,-16.74,40.45,-28.49,-1.84,-2.11,36.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,1419.45,2358.4,3255.3,4314.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.06,0.1,2.01,2.01,2.11,2.11,2.11,2.11
