COMPANY NAME,FIRSTSOURCE SOLUTIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,185.45,,,,,,,,,
Market Capitalization,13076.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3034.65,3217.25,3555.61,3535.25,3826.28,4098.61,5077.98,5921.15,6022.32,6336.25
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,39.01,35.75,36.2,31.72,28.07,28.5,22.09,25.86,33.37,
Other Mfr. Exp,114.36,125.32,137.69,127.84,140.63,163.23,229.34,241.32,266.13,
Employee Cost,2017.53,2173.2,2384,2396.06,2557.8,2774.08,3467.78,3947.3,3868.04,3909.33
Selling and admin,465.04,471.91,517.08,474.59,502.41,429.62,455.78,687.81,963.1,
Other Expenses,8.91,12.62,34.13,33.66,44.95,49.55,63.85,36.45,33.89,1470.47
Other Income,6.52,9.44,3.2,5.43,3.89,8.84,-113.79,0.56,130.85,36.84
Depreciation,72.18,60.88,58.96,65.92,74.44,185.2,206.35,249.37,263.17,260.22
Interest,80.12,60.8,53.83,52.88,45.96,83.06,87.16,86.5,110.25,103.39
Profit before tax,244.02,286.21,336.92,358.01,435.91,394.21,431.84,647.1,615.22,629.68
Tax,9.54,25.29,57.68,31.43,58.14,54.53,70.16,110.58,101.5,114.95
Net profit,234.32,260.49,280,326.52,377.79,339.69,361.69,537.37,513.72,514.73
Dividend Amount,,,,102.98,138.21,173.46,208.83,243.95,243.95,243.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1463.81,1543.93,1472.36,1488.23,1504.9,1556.82,1529.21,1539.97,1596.61,1670.46
Expenses,1225.89,1299.1,1291.38,1296.5,1295.21,1312.7,1289.03,1311.16,1359.49,1420.12
Other Income,0.22,-0.39,6.35,49.37,62.47,12.66,1.73,16.94,15.36,2.81
Depreciation,61.66,69.68,63.91,66.28,68.74,64.24,61.25,65.37,66.27,67.33
Interest,15.12,18.76,18.67,19.89,19.75,20.67,25.37,26.07,25.42,26.53
Profit before tax,161.36,156,104.75,154.93,183.67,171.87,155.29,154.31,160.79,159.29
Tax,25.9,23.62,19.67,25.52,25.75,30.57,29.31,27.79,32.06,25.78
Net profit,135.46,132.39,85.09,129.4,157.92,141.3,125.99,126.51,128.73,133.5
Operating Profit,237.92,244.83,180.98,191.73,209.69,244.12,240.18,228.81,237.12,250.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,666.29,673.32,681.31,686.52,691.07,693.83,696.1,696.99,696.99,696.99
Reserves,1422.35,1103.7,1346.7,1665.24,2029.66,2071.56,2103.19,2335.95,2669.85,3003.41
Borrowings,1031.4,890.69,964.68,667.08,556.77,1355.65,1194.32,1783.7,1393.16,1533.23
Other Liabilities,306.5,286.23,316.1,352.3,352.18,392.51,789.08,796.15,784.78,849.41
Total,3426.54,2953.94,3308.79,3371.14,3629.68,4513.55,4782.69,5612.79,5544.78,6083.04
Net Block,2443.93,2021.56,2067.82,2079.7,2222.7,2870.86,2997.56,3743.64,3716.24,3853.02
Capital Work in Progress,8.47,2.26,4.29,2.15,2.02,,,2.93,3.42,17.09
Investments,73.37,85.15,162.85,34.26,133.92,12.22,94.32,130,71.12,41.54
Other Assets,900.77,844.97,1073.83,1255.03,1271.04,1630.47,1690.81,1736.22,1754,2171.39
Total,3426.54,2953.94,3308.79,3371.14,3629.68,4513.55,4782.69,5612.79,5544.78,6083.04
Receivables,288.95,304.08,306.54,378.48,387.19,556.72,843.09,960.53,1038.49,1160.82
Inventory,,,,,,,,,,
Cash & Bank,80.23,68.58,38.73,123,47.38,190.75,137.33,89.83,155.55,188.46
No. of Equity Shares,666291459,673314912,681308337,686522819,691065030,693826780,696099216,696990826,696990826,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,246.05,297.14,199.8,315.09,400.01,410.4,975.57,703.56,795.02,644.79
Cash from Investing Activity,-104.24,-101.1,-233.16,95.95,-203.04,9.76,-344.48,-594.39,17.08,-57.99
Cash from Financing Activity,-246.45,-207.44,3.51,-326.78,-272.58,-276.8,-688.69,-157.96,-743.38,-564.19
Net Cash Flow,-104.64,-11.41,-29.85,84.27,-75.62,143.37,-57.61,-48.8,68.72,22.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,30.85,33.55,41.7,53,46.95,27.45,113.9,125.05,105.5,197.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,66.63,67.33,68.13,68.65,69.11,69.38,69.61,69.85,70.1,70.43
