COMPANY NAME,SULA VINEYARDS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,496.75,,,,,,,,,
Market Capitalization,4193.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,418.16,501.08,386.95,305.91,389.97,492.8,548.12
Raw Material Cost,,,,136.26,172.86,157.85,47.16,72.11,86.39,152.19
Change in Inventory,,,,-7.06,6.85,19.8,-18.56,11.22,10.26,11.85
Power and Fuel,,,,4.32,5.19,4.88,5.16,7.42,8.89,
Other Mfr. Exp,,,,12.6,31.77,20.62,42.87,60.96,75.5,
Employee Cost,,,,60.51,63.39,64,54.15,64.24,76.28,83.15
Selling and admin,,,,61.92,76.83,90.03,73.75,74.61,87.35,64.26
Other Expenses,,,,77.99,79.48,15.83,7.37,14.68,12.34,92.88
Other Income,,,,2.89,3.05,0.34,0.46,2.83,5.23,10.07
Depreciation,,,,14.92,19.33,34.5,25.36,22.41,23.84,26.81
Interest,,,,16.8,23.76,31.43,32.26,21.33,19.44,23.59
Profit before tax,,,,28.67,38.37,-12.05,-0.27,66.26,118.26,127.16
Tax,,,,10.14,18.74,-3.89,0.35,17.4,29.94,32.47
Net profit,,,,18.54,19.62,-8.16,-0.63,48.86,88.32,94.69
Dividend Amount,,,,,,,,18.86,70.35,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,158.73,97.04,86.36,115.6,180.35,110.5,107.56,129.58,193.49,117.49
Expenses,104.45,71.12,62.24,77.79,118.09,78.99,75.74,87.56,126.57,90.76
Other Income,1.2,1.17,1.35,1.23,1.65,1.61,1.72,1.78,2.23,4.34
Depreciation,5.42,5.58,5.75,5.85,5.96,6.28,6.79,6.45,6.87,6.7
Interest,5.15,4.34,4.56,5.09,5.35,4.45,5.01,5.95,7.06,5.57
Profit before tax,44.91,17.17,15.16,28.1,52.6,22.39,21.74,31.4,55.22,18.8
Tax,11.28,5.03,3.88,6.87,13.37,5.84,5.36,7.87,14.07,5.17
Net profit,33.63,12.15,11.28,21.23,39.23,16.55,16.38,23.53,41.15,13.63
Operating Profit,54.28,25.92,24.12,37.81,62.26,31.51,31.82,42.02,66.92,26.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,14.73,15.01,15.04,15.08,15.72,16.85,16.88
Reserves,,,,309.7,327.84,310.56,311.89,398.99,539.06,558.39
Borrowings,,,,220.42,275.2,357.08,310.1,225.66,192.13,292
Other Liabilities,,,,129.51,143.27,160.43,110.14,116.42,141.78,140.32
Total,,,,674.36,761.32,843.11,747.21,756.79,889.82,1007.59
Net Block,,,,275.67,316.68,349,317.5,342.08,394.16,416.92
Capital Work in Progress,,,,1.22,1.76,0.12,0.11,0.98,1.82,4.64
Investments,,,,20.99,26.33,26.33,21,26.99,27.46,27.69
Other Assets,,,,376.48,416.55,467.66,408.6,386.74,466.38,558.34
Total,,,,674.36,761.32,843.11,747.21,756.79,889.82,1007.59
Receivables,,,,144.45,156.34,133.6,109.84,90.59,104.74,160.36
Inventory,,,,128.8,138.1,158.92,135.38,150.85,169.24,182.66
Cash & Bank,,,,15.23,3.82,35.91,45.32,14.76,28.97,101.71
No. of Equity Shares,,,,14725733,15008942,15044188,15080374,78598091,84257798,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,17.49,18.28,34.7,113.28,77.49,78.81,
Cash from Investing Activity,,,,-59.2,-59.28,-43.09,-12.28,-39.15,-69.12,
Cash from Financing Activity,,,,39.75,29.91,40.64,-95.68,-69.32,-3.82,
Net Cash Flow,,,,-1.96,-11.08,32.25,5.33,-30.98,5.88,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,366.65,551.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.47,1.5,1.5,1.51,7.86,8.43,8.44
