COMPANY NAME,V-MART RETAIL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2126.4,,,,,,,,,
Market Capitalization,4200.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,574.96,720.2,809.25,1001.73,1222.37,1433.74,1662.02,1075.46,1666.18,2464.84
Raw Material Cost,454.51,523.15,592.45,767.52,868.2,992.16,1275.2,673.95,1331.03,1799.5
Change in Inventory,57.62,17.37,21.25,64.75,37.94,21.87,148.94,-49.62,239.92,202.41
Power and Fuel,16.42,19.9,22.76,26.71,33.7,42.24,48.78,35.26,58.27,90.08
Other Mfr. Exp,18.52,18.1,11.74,8.72,9.89,13.75,16.72,12.69,20.92,31.61
Employee Cost,38.36,48.98,62.57,78.7,99.23,126.37,154.2,117.02,179.91,255.97
Selling and admin,51,62.61,74.89,97.48,112.38,144.26,96.52,48.97,103.81,214.15
Other Expenses,1.43,1.22,4.04,2.59,4.12,3.9,5.79,6.73,7.78,7.03
Other Income,0.62,0.46,2.39,4.14,4.14,-3.88,4.48,21.04,13.9,14.97
Depreciation,10.89,4.57,19.01,18.55,22.93,27.63,93.92,102.97,130.7,179.98
Interest,4.24,4.17,3.11,3.52,1.53,1.61,54.78,58.95,77.19,116.91
Profit before tax,37.83,55.33,42.32,66.83,112.47,99.81,69.53,-9.66,10.39,-13.01
Tax,12.67,17.96,14.68,22.92,34.77,38.18,20.18,-3.47,-1.25,-5.16
Net profit,25.16,37.37,27.63,43.9,77.7,61.63,49.35,-6.2,11.64,-7.85
Dividend Amount,1.8,2.7,2.26,2.26,3.62,3.08,,,1.48,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,337.97,692.02,458.78,587.88,506.16,776.88,593.91,678.52,549.43,889.05
Expenses,317.33,556.71,408.46,499.17,452.57,673.19,570.99,626.06,548.76,769.36
Other Income,4.07,2.6,2.79,4.09,2.65,0.7,7.53,1.51,1.99,13.03
Depreciation,27.25,40.38,37.6,40.24,44.05,47.27,48.41,49.91,53.19,58.29
Interest,16.92,21.16,23.52,24.72,27.87,30.7,33.62,33.02,35.89,37.55
Profit before tax,-19.46,76.37,-8.01,27.84,-15.68,26.42,-51.58,-28.96,-86.42,36.88
Tax,-5.31,19.26,-5.39,7.39,-4.37,6.44,-14.61,-7.02,-22.3,8.65
Net profit,-14.14,57.11,-2.61,20.45,-11.31,19.97,-36.96,-21.95,-64.12,28.23
Operating Profit,20.64,135.31,50.32,88.71,53.59,103.69,22.92,52.46,0.67,119.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.96,18.02,18.07,18.07,18.1,18.13,18.16,19.71,19.75,19.77
Reserves,152.2,186.92,212.65,251.97,329.34,391.14,440.78,805.52,829.87,829.23
Borrowings,43.76,30.56,26.97,35.7,0.6,0.32,516.74,567.8,902.2,1331.66
Other Liabilities,79.68,93.46,125.51,184.96,201.86,222.26,247.96,233.51,347.66,561.87
Total,293.6,328.96,383.2,490.7,549.9,631.85,1223.64,1626.54,2099.48,2742.53
Net Block,69.96,98.07,110.3,117.3,144.75,165.49,667.04,696.54,1110.97,1445.45
Capital Work in Progress,1.01,0.72,2.35,1.16,3.51,4.01,2.47,2.19,6.38,109.24
Investments,34.24,21.8,32.37,71.83,34.03,60.68,7.89,318.98,124.84,8.54
Other Assets,188.39,208.37,238.18,300.41,367.61,401.67,546.24,608.83,857.29,1179.3
Total,293.6,328.96,383.2,490.7,549.9,631.85,1223.64,1626.54,2099.48,2742.53
Receivables,,,,,,,,,,
Inventory,167.7,183.2,204.43,269.18,307.11,328.98,477.92,428.31,668.22,870.63
Cash & Bank,2.32,3.36,4.28,2.92,18.37,19.16,4.99,27.47,35.06,20.15
No. of Equity Shares,17958778,18015689,18066696,18068160,18097355,18129993,18155484,19706143,19749454,19772463
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,11.02,39.94,46.13,68.72,57.71,76.34,86.3,149.29,-11.25,180.75
Cash from Investing Activity,-27.06,-19.05,-37.17,-72.77,-8.43,-73.37,0.51,-418.76,123.67,-158.58
Cash from Financing Activity,2.34,-19.9,-9.56,4.88,-38.4,-4.39,-94.32,286.88,-104.47,-37.36
Net Cash Flow,-13.7,0.99,-0.59,0.82,10.87,-1.42,-7.51,17.42,7.95,-15.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,286.1,567.95,470.15,824.6,1899.75,2694.25,1421.35,2785.5,3966.3,2162.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
