COMPANY NAME,GANESH HOUSING CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,748.2,,,,,,,,,
Market Capitalization,6223.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,282.33,250.44,321.09,401.42,498.98,258.44,267.2,168.16,382.72,615.62
Raw Material Cost,,,,,,,,,,
Change in Inventory,-40.99,401.18,31.4,6.87,-183.86,-87.3,-276.35,-166.5,57.49,85.75
Power and Fuel,0.39,0.45,0.48,0.48,0.47,0.49,0.5,0.41,0.45,0.45
Other Mfr. Exp,89.92,492.74,115.01,169.32,84,71.04,17.19,27.72,280.03,414.8
Employee Cost,7.65,8.99,10.92,12.7,15.67,15.35,15.83,10.07,12.6,18.28
Selling and admin,10.11,18.34,22.48,17.49,18.24,11.46,6.99,8.78,12.68,11.34
Other Expenses,2.09,-0.58,-0.51,1.76,1.72,1.92,3.06,2.88,0.21,4.72
Other Income,5.41,7.41,2.12,6.31,8.06,6.11,2.31,10.47,1.25,4.47
Depreciation,2.88,3.73,4.04,3.52,2.58,2.26,2.07,1.72,1.96,2.72
Interest,64.73,63.72,100.1,92.97,100.52,91.75,79.88,74.76,36.3,13.48
Profit before tax,68.98,71.64,102.09,116.36,99.98,-17.02,-132.36,-114.21,97.23,240.05
Tax,18.86,19.13,31.65,41.73,49.18,-43.57,-12.74,-8.95,26.67,137.9
Net profit,49.91,55.21,61.52,69.39,50.8,26.55,-119.63,-105.24,70.63,100.08
Dividend Amount,8.49,8.49,6.53,9.8,8.86,2.46,,,,20.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,73.27,76.08,155.37,42.52,327.68,66.85,179.3,270.45,163.35,181.43
Expenses,44.07,43.82,103.17,17.6,248.93,19.84,78.19,54.5,41.91,44.76
Other Income,0.63,-0.02,0.24,0.17,0.07,0.53,3.71,1,0.7,1.91
Depreciation,0.37,0.52,0.71,0.62,0.62,0.69,0.79,0.93,1.66,1.98
Interest,9.67,7,6.61,4.37,2.4,5.07,1.65,0.98,0.86,1
Profit before tax,19.79,24.72,45.12,20.1,75.8,41.78,102.38,215.04,119.62,135.6
Tax,4.55,-0.05,19.96,6.99,56.5,11.45,62.96,53.71,33.61,35.05
Net profit,15.24,24.78,25.22,13.11,19.34,21.13,46.5,161.34,86.01,100.56
Operating Profit,29.2,32.26,52.2,24.92,78.75,47.01,101.11,215.95,121.44,136.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,32.66,32.67,32.67,49,49.23,49.23,49.23,49.23,83.39,83.39
Reserves,646.29,691.77,757.3,797.67,839.96,698.01,575,452.78,706.42,1026.18
Borrowings,357.45,592.87,601.99,764.05,706.7,663.07,533.14,409.13,141.89,3.57
Other Liabilities,187.53,189.03,255.63,272.35,243.24,335.87,214.31,220.08,247.67,305.38
Total,1223.93,1506.34,1647.59,1883.07,1839.13,1746.18,1371.68,1131.22,1179.37,1418.52
Net Block,59.61,215.79,220.56,230.71,223.49,224.81,223.08,207.78,207.78,260.97
Capital Work in Progress,,,2.01,,,0.1,2.29,,,21.44
Investments,0.02,0.02,0.01,0.01,0.01,,,,,
Other Assets,1164.3,1290.53,1425.01,1652.35,1615.63,1521.27,1146.31,923.44,971.59,1136.11
Total,1223.93,1506.34,1647.59,1883.07,1839.13,1746.18,1371.68,1131.22,1179.37,1418.52
Receivables,222.86,265.61,211.61,306.06,485.03,106.38,84.3,0.03,116.06,90.08
Inventory,280.34,684.02,713.03,719.77,510.45,815.35,537.59,370.34,428.8,514.99
Cash & Bank,8.74,22.34,44.36,49.27,46.04,43.15,16.73,19.77,14.93,325.21
No. of Equity Shares,32655880,32668546,32668546,49002819,49227090,49227090,49227090,49227090,83387090,83387090
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,149.1,-379.64,168,201.79,75.29,129.2,122.64,132.23,41.01,30.66
Cash from Investing Activity,-37.18,55.17,-85.51,-140.26,25.98,84.1,53.09,43.37,39.39,278.23
Cash from Financing Activity,-124.33,338.07,-60.47,-56.62,-104.51,-216.19,-202.15,-172.56,-85.24,1.39
Net Cash Flow,-12.41,13.6,22.02,4.92,-3.24,-2.88,-26.42,3.04,-4.84,310.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,53.87,69.03,69.2,84.15,118.85,60.65,17.75,55.65,266.2,268.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,4.9,4.9,4.9,4.9,4.92,4.92,4.92,4.92,8.34,8.34
