COMPANY NAME,MAN INFRACONSTRUCTION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,197.1,,,,,,,,,
Market Capitalization,7320.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,397.28,274.8,226.43,451.71,651.6,371.36,266.98,427.16,961.48,1890.35
Raw Material Cost,139.64,76.52,78.38,128.1,165.39,65.65,77.5,119.71,227.27,678.79
Change in Inventory,-4.73,24.98,125.83,67.23,86.97,39.35,14.77,24.59,31.57,-67.76
Power and Fuel,8.9,7.9,5.08,4.6,9.29,6.48,5.38,7.9,13.76,20.65
Other Mfr. Exp,168.8,135.29,183.66,212.79,270.77,164.55,128.99,162.71,365.08,509.54
Employee Cost,33,31.28,31.36,38.59,45.35,39.77,36.71,36.27,57.81,71.21
Selling and admin,12.23,14.16,14.64,17.38,17.64,25.83,29.85,23.65,76.9,118.91
Other Expenses,13.33,5.23,4.02,8.47,31.07,7.7,5.45,4.9,4.72,9.53
Other Income,45.35,65.7,32.61,50.58,44.15,46.49,32.09,26.07,202.48,52.76
Depreciation,12.34,12.23,7.91,7.7,8,7.45,7.07,9.16,9.33,11.24
Interest,1.37,7.48,21.16,39.61,56.45,54.32,57.27,58.41,61.77,58.47
Profit before tax,48.29,75.39,38.66,112.28,178.76,85.45,-34.38,55.11,378.89,397.01
Tax,17.59,26.71,23.31,46.76,69.61,42.89,-22.16,21.77,80.37,108.06
Net profit,28.9,47.41,17.59,53.01,66.53,41.79,-7.12,32.02,216.35,258.57
Dividend Amount,6.68,6.68,37.87,13.36,13.63,31.18,13.61,22.28,46.78,33.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,247.34,296.52,264.26,351.97,401.26,456.86,680.27,509.66,215.29,241.76
Expenses,170.82,252.14,208.82,285.24,307.32,327.98,555.87,400.59,151.18,139.08
Other Income,175.61,11.5,10.73,8.18,13.57,16.02,14.97,16.36,27.56,30.69
Depreciation,2.22,2.55,2.66,2.31,2.84,3.02,3.06,2.4,2.33,2.56
Interest,16.72,14.23,14.01,14.59,14.76,15.21,13.88,9.27,6.46,7.44
Profit before tax,233.19,39.1,49.5,58.01,89.91,126.67,122.43,113.76,82.88,123.37
Tax,61,-0.93,8.09,14.25,26.85,36.06,30.9,26.7,17.77,36.86
Net profit,111.35,34.81,37.36,38.94,53.28,84.77,81.58,82.44,69.65,83.03
Operating Profit,76.52,44.38,55.44,66.73,93.94,128.88,124.4,109.07,64.11,102.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,74.25,74.25
Reserves,549.35,587.6,551.59,604.91,638.88,644.49,620.26,625.34,785.31,1015.13
Borrowings,82.21,158,283.46,304.62,429.74,442.03,392.8,493.22,557.27,205.88
Other Liabilities,202.4,148.14,139.42,239.46,233.22,210.5,235.4,288.09,299.66,485.57
Total,883.46,943.24,1023.97,1198.49,1351.34,1346.52,1297.96,1456.15,1716.49,1780.83
Net Block,58.06,42.63,37.47,39.74,34.22,82.6,80.87,59.17,60.42,60.61
Capital Work in Progress,77.8,125.36,129.93,129.93,129.93,131.67,0.01,0.94,1.99,
Investments,31.06,120.01,115.07,167.52,97.03,24.09,22.23,63.39,149.88,113.36
Other Assets,716.54,655.24,741.5,861.3,1090.16,1108.16,1194.85,1332.65,1504.2,1606.86
Total,883.46,943.24,1023.97,1198.49,1351.34,1346.52,1297.96,1456.15,1716.49,1780.83
Receivables,142.81,136.82,123.55,94.96,95.91,134.69,81.85,104.47,125.43,332.56
Inventory,32.67,129.22,164.92,233.08,319.85,385.09,379.92,402.74,449.02,380.31
Cash & Bank,110.26,135.5,117.22,183.36,142.78,137.29,141.46,212.76,360.39,297.52
No. of Equity Shares,49500054,247500270,247500270,247500270,247500270,247500270,247500270,247500270,371250405,371250405
New Bonus Shares,,,,,,,,73124750,123750135,
Face value,10,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,40.28,-44.96,-169.06,93.87,-169.44,16.14,88.06,78.3,186.8,448.04
Cash from Investing Activity,-107.35,50.42,63.24,-58.64,86.85,118.54,82.88,-84.21,27.6,-101.63
Cash from Financing Activity,77.41,5.9,118.1,-17.16,43.73,-128.52,-137.06,20.01,-91.3,-457.81
Net Cash Flow,10.34,11.36,12.28,18.07,-38.85,6.16,33.88,14.1,123.1,-111.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,12.17,26.53,26.57,31.17,33.43,27.17,11.03,27.8,104.45,68.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
