COMPANY NAME,POLYCAB INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,5803.5,,,,,,,,,
Market Capitalization,87169.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3986,4707.47,5202.44,5500.12,6770.3,7985.55,8829.96,8792.23,12203.76,14107.78
Raw Material Cost,3159.49,3588.79,3866,4352.3,247.21,5819.36,6288.32,6341.06,9846.96,10341.07
Change in Inventory,31.59,119.33,58.66,219.51,-65.79,107.7,237.15,-67.77,492.75,-34.68
Power and Fuel,68.1,75.79,81.87,84.78,89.63,107.65,128.32,116.03,143.98,183.75
Other Mfr. Exp,129.08,309.68,307.13,240.21,4963.61,433.85,576.22,357.52,426.88,464.37
Employee Cost,131.16,161.89,206.06,229.1,259.26,300.78,366.17,354.19,407.17,457.21
Selling and admin,129.68,184.25,247.52,269.66,340.05,364.42,442.63,383.02,534.91,662.66
Other Expenses,100.94,64.69,60.23,63.82,75.87,116.75,136.51,61.49,72.78,121.19
Other Income,7.98,4.98,31.59,75.39,64.54,63.78,91.48,163.96,160.79,133.33
Depreciation,70.87,97.53,111.12,127.88,132.95,141.45,160.89,176.17,201.52,209.16
Interest,93.8,108.46,147.35,65.95,93.68,116.71,49.54,42.69,35.19,59.76
Profit before tax,142.45,240.7,265.41,361.32,566.79,756.06,1009.99,1056.25,1187.91,1707.26
Tax,53.16,76.38,80.72,128.36,208.23,255.76,244.37,170.34,270.63,425
Net profit,89.3,164.31,184.79,232.7,358.01,499.7,759.06,882.09,908.58,1269.95
Dividend Amount,7.06,14.12,24.01,14.12,,42.36,104.22,149.12,209.22,299.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3006.56,3372,3969.98,2736.56,3332.36,3715.18,4323.68,3889.38,4217.7,4340.47
Expenses,2713.9,3010.3,3494,2426.75,2905.52,3212.15,3720.52,3340.82,3608.78,3770.96
Other Income,30.2,89.7,16.82,44.35,-2.22,39.68,51.52,64,35.32,70.99
Depreciation,50.87,51.11,50.26,50.99,52.27,52.45,53.46,57.14,60.3,61.88
Interest,5.09,7.82,12.52,8.43,13.9,9.26,28.16,24.92,26.79,32.23
Profit before tax,266.9,392.47,430.02,294.74,358.45,481,573.06,530.5,557.15,546.39
Tax,66.37,76.31,104.69,72.19,87.83,120.16,144.65,127.33,127.38,129.88
Net profit,197.93,314.51,322.15,219.76,267.97,357.65,424.75,399.62,425.57,412.85
Operating Profit,292.66,361.7,475.98,309.81,426.84,503.03,603.16,548.56,608.92,569.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,70.6,141.21,141.21,141.21,141.21,141.21,148.88,149.12,149.44,149.77
Reserves,1411.93,1489.11,1641.59,1852.55,2206.41,2705.75,3687.54,4604.83,5394.3,6481.37
Borrowings,457.73,545.51,795.66,855.71,800.3,272.42,157.06,282.5,118.15,191.47
Other Liabilities,822.64,1138.09,1296.29,1729.27,1300.18,2508.92,1967.1,1978.25,1750.01,2601.52
Total,2762.9,3313.92,3874.75,4578.74,4448.1,5628.3,5960.58,7014.7,7411.9,9424.13
Net Block,750.1,822.45,985.03,1128.39,1197.13,1275.58,1422.01,1869.6,1675.12,2066.94
Capital Work in Progress,115.73,179.4,138.08,164.88,135.99,193,241.18,99.05,375.45,250.77
Investments,0.02,0.02,0.09,32.82,31.55,29.39,65.48,634.95,773.31,1350.5
Other Assets,1897.05,2312.05,2751.55,3252.65,3083.43,4130.33,4231.91,4411.1,4588.02,5755.92
Total,2762.9,3313.92,3874.75,4578.74,4448.1,5628.3,5960.58,7014.7,7411.9,9424.13
Receivables,957.82,1080.98,1353.43,1199.24,1290.82,1334.32,1433.64,1435.77,1296.39,1246.6
Inventory,602.25,903.98,980.42,1519.82,1365.7,1995.79,1924.95,1987.91,2199.65,2951.38
Cash & Bank,49.92,26.98,50.73,30.16,10.64,316.65,281.31,531.32,407.12,695.24
No. of Equity Shares,70602919,141205838,141205838,141205838,141205838,141205838,148879373,149118814,149443040,149765278
New Bonus Shares,,70602919,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,309.67,150.32,220.83,296.4,362.44,1229.96,244.34,1252.42,511.61,1427.52
Cash from Investing Activity,-109.2,-173,-246.7,-294.75,-187.83,-407.73,-262.25,-1012.09,-426.95,-1202.65
Cash from Financing Activity,-196.03,14.59,45.49,-9.84,-189.82,-651.4,11.01,-174.77,-200.69,-227.07
Net Cash Flow,4.44,-8.09,19.62,-8.19,-15.21,170.83,-6.9,65.56,-116.03,-2.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
