COMPANY NAME,SBFC FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,81.55,,,,,,,,,
Market Capitalization,8747.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,176.56,444.67,510.38,529.1,734.41,1018.54
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.85,1.11,0.91,1.33,1.88,
Other Mfr. Exp,,,,,6.59,8.56,7.66,20.04,9.88,
Employee Cost,,,,,60.26,74,84.59,109.98,160.74,217.13
Selling and admin,,,,,19.74,19.6,20.86,37.14,40.38,
Other Expenses,,,,,1.71,30.57,34.49,41.33,34.36,122.57
Other Income,,,,,0.09,0.18,1.07,1.27,5.18,1.28
Depreciation,,,,,2.13,8.18,9.54,11.78,12.71,13.41
Interest,,,,,50.39,244.22,239.33,222.07,278.19,350.64
Profit before tax,,,,,34.98,58.61,114.07,86.7,201.45,316.07
Tax,,,,,10.55,23.12,29.05,22.17,51.65,79.04
Net profit,,,,,24.44,35.5,85.01,64.52,149.8,237.02
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,159.97,175.86,189.42,207.56,229.58,246.31,263.84,278.81
Expenses,,,54.34,63.8,62.81,68.81,75.41,83.47,90.2,90.61
Other Income,,,0.16,1.31,4.97,1.12,0.34,0.2,0.09,0.65
Depreciation,,,3.21,3.25,3.18,3.08,3.12,3.25,3.42,3.63
Interest,,,59.72,62.29,75.74,78.7,88.61,89.16,84.58,88.3
Profit before tax,,,42.86,47.83,52.66,58.09,62.78,70.63,85.73,96.92
Tax,,,10.79,12.18,13.36,15.32,15.82,18.02,21.72,23.49
Net profit,,,32.07,35.66,39.31,42.76,46.97,52.61,64.02,73.43
Operating Profit,,,105.63,112.06,126.61,138.75,154.17,162.84,173.64,188.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,676,742.32,796.67,806.8,889.57,1071.89
Reserves,,,,,204.23,270.16,408.43,480.37,837.76,1706.37
Borrowings,,,,,841.71,3055.61,2768.17,2939.91,3739.06,3996.02
Other Liabilities,,,,,70.78,139.89,257.92,287.95,280.12,288.69
Total,,,,,1792.72,4207.98,4231.19,4515.03,5746.51,7062.97
Net Block,,,,,269.99,293.83,301.11,299.39,296.4,301.4
Capital Work in Progress,,,,,,,0.33,,0.75,
Investments,,,,,166.76,1879.08,1484.25,848.11,606.64,427.16
Other Assets,,,,,1355.97,2035.07,2445.5,3367.53,4842.72,6334.41
Total,,,,,1792.72,4207.98,4231.19,4515.03,5746.51,7062.97
Receivables,,,,,,3.42,3.89,8.27,10.83,14.58
Inventory,,,,,,,,,,
Cash & Bank,,,,,195.61,415.91,341.38,335.29,400.39,465.8
No. of Equity Shares,,,,,676000000,748916000,803270000,826647287,889571682,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,-368.49,-383.45,-275.2,-821.64,-1244.96,-1155.35
Cash from Investing Activity,,,,,146.01,-1862.86,375.06,651.82,205.87,158.37
Cash from Financing Activity,,,,,395.46,2291.3,-186.67,183.03,1071.01,1037.42
Net Cash Flow,,,,,172.98,44.99,-86.8,13.2,31.92,40.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,81.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,68.68,76.75,82.18,83.45,89.7,107.38
