COMPANY NAME,RESTAURANT BRANDS ASIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,98.6,,,,,,,,,
Market Capitalization,4904.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,1003.96,1490.27,2054.28
Raw Material Cost,,,,,,,,396.81,549.81,735.69
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,91.95,130.17,192.93
Other Mfr. Exp,,,,,,,,56.65,73.38,110.64
Employee Cost,,,,,,,,220.45,267.07,367.11
Selling and admin,,,,,,,,195.5,350.92,506.84
Other Expenses,,,,,,,,17.65,22.38,29.35
Other Income,,,,,,,,26.34,-2.75,35.7
Depreciation,,,,,,,,228.91,233.58,284.04
Interest,,,,,,,,104.44,95.36,105.18
Profit before tax,,,,,,,,-282.06,-235.15,-241.8
Tax,,,,,,,,,,
Net profit,,,,,,,,-245.81,-195.93,-221.23
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,357.49,435.38,399.79,489.22,524.77,526.34,513.95,610.78,624.9,604.23
Expenses,343.72,383.66,379.57,459.99,499.63,496.62,486.57,562.47,568.65,535.87
Other Income,4.65,3.42,-15.64,13.01,10.68,7.96,4.31,7.11,3.28,3.5
Depreciation,57.93,59.11,59.06,69.98,66.82,67.62,79.63,78.74,78.64,80.1
Interest,22.89,22.5,27.06,23.15,24.07,25.95,32.02,30.73,31.54,31.69
Profit before tax,-62.4,-26.47,-81.54,-50.89,-55.07,-55.89,-79.96,-54.05,-50.65,-39.93
Tax,,,,,,,,,,
Net profit,-48.26,-22.68,-67.07,-47.5,-49.95,-50.42,-73.37,-50.48,-46.03,-36.18
Operating Profit,13.77,51.72,20.22,29.23,25.14,29.72,27.38,48.31,56.25,68.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,382.98,492.75,494.55
Reserves,,,,,,,,-298.09,547.78,330.89
Borrowings,,,,,,,,901.28,886.84,1167.53
Other Liabilities,,,,,,,,977.23,450.84,500.24
Total,,,,,,,,1963.4,2378.21,2493.21
Net Block,,,,,,,,1390.63,1513.51,1953.42
Capital Work in Progress,,,,,,,,47.45,18.06,34.96
Investments,,,,,,,,124.29,402.26,146.86
Other Assets,,,,,,,,401.03,444.38,357.97
Total,,,,,,,,1963.4,2378.21,2493.21
Receivables,,,,,,,,8.56,13.41,16.86
Inventory,,,,,,,,19.64,22.81,31.5
Cash & Bank,,,,,,,,277.68,277.23,155.2
No. of Equity Shares,,,,,,,,382979644,492748742,494554349
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,48.03,77.53,124.3
Cash from Investing Activity,,,,,,,,-322.4,-1090.88,15.54
Cash from Financing Activity,,,,,,,,356.78,1112.28,-170.19
Net Cash Flow,,,,,,,,82.4,98.94,-30.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,128.55,100.75,90.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,38.3,49.27,49.46
