COMPANY NAME,ERIS LIFESCIENCES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,848.1,,,,,,,,,
Market Capitalization,11544.8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,508.82,545.56,597.02,749.5,855.6,982.16,1074.06,1211.86,1347.04,1685.15
Raw Material Cost,94.61,104.85,89.94,107.73,136.92,167.12,150.12,276.44,259.29,348.53
Change in Inventory,-4.12,10.62,-7.76,3.1,2.85,13.42,-21.41,38.17,0.78,-3.82
Power and Fuel,1.32,4.89,3.59,3.02,3.17,3.45,4.62,3.95,4.16,5.7
Other Mfr. Exp,2.69,9.95,5.98,35.2,12.65,5.36,10.94,7.27,7.8,13.68
Employee Cost,90.54,125.63,124.67,131.22,157.32,190.66,205.69,229.3,250.18,346.16
Selling and admin,216.26,188.67,189.79,204.42,224.28,279.66,238.82,210.94,256.1,328.13
Other Expenses,4.5,4.06,3.52,1.69,2,3.93,70.21,91.36,81.01,100.19
Other Income,8.59,6.82,3.31,24.93,26.41,31.37,11.66,8.69,21.84,9.14
Depreciation,4.77,15.51,20.36,22.76,25.64,36.35,50.26,42.99,64.71,117.09
Interest,0.28,0.02,0.28,1.1,10.65,23.06,2.3,1.98,4.22,26.35
Profit before tax,98.32,109.42,154.44,270.39,312.23,317.36,331.35,394.49,442.19,404.64
Tax,27.79,20.16,19.59,23.78,17.25,26.21,34.85,39.36,36.4,30.48
Net profit,70.42,89.23,133.57,246.79,294.11,290.8,296.5,355.14,406.11,382.16
Dividend Amount,,,84.59,,,,38.97,74.69,81.68,99.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,359.67,332.15,305.95,398.58,460.51,423.26,402.8,466.62,505.3,486.3
Expenses,219.85,210.43,209.05,269.38,309.06,286.06,283.9,296.87,324.15,310.79
Other Income,6.99,5.18,8.06,2.74,5.17,2.24,1,0.99,3.48,4.2
Depreciation,14.96,16.88,18.36,23.44,28.62,29.9,35.13,40.89,42.09,45.72
Interest,1.07,1.04,1.26,7.23,7.07,3,8.87,17.36,16.3,18.12
Profit before tax,130.78,108.98,85.34,101.27,120.93,106.54,75.9,112.49,126.24,115.87
Tax,12.39,8.22,5.36,8.19,1.56,6.3,14.42,18.84,3.93,14.41
Net profit,118.39,100.77,80.3,94.58,120.3,101.86,65.42,94.86,123.43,102.74
Operating Profit,139.82,121.72,96.9,129.2,151.45,137.2,118.9,169.75,181.15,175.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.14,0.14,0.14,13.75,13.75,13.75,13.58,13.58,13.59,13.6
Reserves,176.37,265.53,299.11,553.39,847.56,1136.77,1282.76,1562.84,1894.72,2182.39
Borrowings,0.53,1,0.5,0.65,376.8,176.42,,6.78,84.41,876.71
Other Liabilities,93.56,90.61,97.61,124.22,169.71,175.02,205.35,202.04,233.33,336.99
Total,270.6,357.28,397.36,692.01,1407.82,1501.96,1501.69,1785.24,2226.05,3409.69
Net Block,74.93,71.74,71.37,231.65,771.09,760.54,874.85,853.87,917.94,2568.1
Capital Work in Progress,,,,0.07,,2.73,4.37,1.56,26.99,21.72
Investments,83.97,166.52,190.04,303.23,365.37,355.85,77.99,294.04,520.39,36.7
Other Assets,111.7,119.02,135.95,157.06,271.36,382.84,544.48,635.77,760.73,783.17
Total,270.6,357.28,397.36,692.01,1407.82,1501.96,1501.69,1785.24,2226.05,3409.69
Receivables,22.34,23.67,25.37,48.86,66.64,83.98,156.88,140.49,160.97,292.71
Inventory,44.81,57.61,47.62,55.82,65.45,82.65,69.48,94.47,117.91,131.44
Cash & Bank,7.29,5.72,9.69,2.42,10.64,7.51,67.33,38.28,52.33,58.46
No. of Equity Shares,137500,137500,137500,137500000,137500000,137519783,135780653,135780653,135930197,135992238
New Bonus Shares,,,,136125000,,,,,,
Face value,10,10,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,89.62,90.06,131.48,200.21,234.64,223,271.17,375.36,378.26,291.74
Cash from Investing Activity,-82.74,-92.13,-43.91,-184.46,-590.1,-5.05,123.23,-323.36,-319.61,-974.61
Cash from Financing Activity,-2.3,0.46,-83.7,-23.66,363.21,-221.05,-334.59,-82.4,-44.7,688.03
Net Cash Flow,4.58,-1.62,3.87,-7.91,7.75,-3.11,59.81,-30.39,13.96,5.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,799.75,644.9,368.9,605,688.7,572.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.01,0.01,0.01,13.75,13.75,13.75,13.58,13.58,13.59,13.6
