COMPANY NAME,FEDBANK FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,124.65,,,,,,,,,
Market Capitalization,4609.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,255.41,464.31,691.82,869.32,1180,1577.21
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,0.94,1.6,1.13,2.02,2.96,
Other Mfr. Exp,,,,,15.14,23.51,27.65,37.34,58.62,
Employee Cost,,,,,47.89,100.98,131.75,175.69,247.91,317.82
Selling and admin,,,,,14.43,40.05,44.79,56.94,77.6,
Other Expenses,,,,,4.64,23.38,74.73,87.34,55.16,260.19
Other Income,,,,,0.13,1.52,5.62,13.57,19.29,45.79
Depreciation,,,,,7.75,19.21,27.27,36.7,41.87,37.35
Interest,,,,,113.94,201.1,313.19,347.65,472.15,679.56
Profit before tax,,,,,50.81,56,76.93,139.21,243.02,328.08
Tax,,,,,14.68,16.86,15.25,35.75,62.89,83.38
Net profit,,,,,36.13,39.14,61.68,103.46,180.13,244.7
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2021-03-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,198.61,284.64,308.73,337.92,361.39,394.79,413.45,407.58
Expenses,,,75.45,110.65,116.56,124.28,123.57,144.2,156.16,154.08
Other Income,,,0.58,8.45,10.16,-6.64,6.48,3.16,16,20.15
Depreciation,,,7.63,10.43,10.91,11.1,8.66,9.47,9.74,9.48
Interest,,,82.97,108.14,125.15,141.02,163.58,166.91,175.75,173.32
Profit before tax,,,33.14,63.87,66.27,54.88,72.06,77.37,87.8,90.85
Tax,,,9.73,17.71,15.1,15.84,18.18,19.61,22.4,23.19
Net profit,,,23.41,46.16,51.17,39.04,53.88,57.76,65.4,67.66
Operating Profit,,,123.16,173.99,192.17,213.64,237.82,250.59,257.29,253.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,230.04,273.42,289.92,321.52,321.91,369.39
Reserves,,,,,228.58,417.74,544.81,832,1033.77,1891.44
Borrowings,,,,,1639.36,3307.36,4452.71,5153.87,7269.87,8340.18
Other Liabilities,,,,,52.63,87.68,178.86,248.32,445.45,536.83
Total,,,,,2150.61,4086.2,5466.3,6555.71,9071,11137.84
Net Block,,,,,46.07,106.64,133.02,153.62,145.81,145.56
Capital Work in Progress,,,,,0.31,0.42,0.96,0.66,0.52,0.27
Investments,,,,,12.54,41.37,32.49,514.33,680.63,751.28
Other Assets,,,,,2091.69,3937.77,5299.83,5887.1,8244.04,10240.73
Total,,,,,2150.61,4086.2,5466.3,6555.71,9071,11137.84
Receivables,,,,,1.19,2.31,1.17,11.84,14.85,29.76
Inventory,,,,,,,,,,
Cash & Bank,,,,,34.11,217.31,680.79,142.6,94.62,185.54
No. of Equity Shares,,,,,230042500,273423425,289923425,321517605,321911605,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,-444.7,-1396.92,-371.23,-577.89,-1474,-775.52
Cash from Investing Activity,,,,,-55.22,-68.75,-70.52,-416.92,-129.53,-100.09
Cash from Financing Activity,,,,,494.84,1598.85,825.49,534.74,1631.52,967.19
Net Cash Flow,,,,,-5.08,133.18,383.74,-460.07,27.99,91.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,113.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,23,27.34,28.99,32.15,32.15,36.94
