COMPANY NAME,IDBI BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,83.45,,,,,,,,,
Market Capitalization,89728.8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,28164.27,28058.2,27805.38,23046.25,22102.1,20854.19,19955.52,18315.79,20591.53,26445.66
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,232.36,302.65,89.42,82.7,89.08,79.64,87.28,101.57,96.76,
Employee Cost,2011.91,1763.56,2307,1901.27,2318.65,3365.27,3225.35,3261.98,3694.71,4438.24
Selling and admin,1505.43,1684.8,2068.03,2102.06,2111.68,2082.96,2033.18,2162.8,2395.02,
Other Expenses,4674.15,10588.22,13665.13,16612.38,19598.58,18569.48,6204.79,5652.13,5663.92,5338.36
Other Income,4189.23,3518.05,4207.42,7248.06,3535.33,4631.26,4848.11,4958.56,4616.51,3924.76
Depreciation,141.25,217.82,362.23,376.81,369.95,394.38,396.85,417.26,499.21,
Interest,22387.15,21930.98,22019.44,17376.2,16162.46,13841.12,11407.51,9121.54,9130.45,12226.36
Profit before tax,1401.25,-4911.78,-8498.45,-8157.11,-15012.97,-12847.4,1448.67,2557.07,3727.97,8367.46
Tax,444,-1288,-3429,,,,,,,2604.05
Net profit,941.8,-3590.82,-5015.9,-8132.4,-14986.76,-12835.24,1513.97,2533.67,3706.06,5788.11
Dividend Amount,120.3,,,,,,,,1075.24,1612.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4628.64,4608.42,4638.61,4993.82,5229.63,5729.46,6863.63,6038.35,6548.98,6994.7
Expenses,2591.7,2462.63,2571.26,2430.32,2562.68,3166.9,3066.97,1700.63,2443.91,2565.08
Other Income,1199.59,922.97,1190.2,1058.41,922.8,1403.97,907.28,1025.31,1030.93,961.25
Depreciation,,,,,,,,,,
Interest,2239.6,2175.41,2143.89,2237.58,2303.94,2445.05,2860.52,2966.08,3101.84,3297.93
Profit before tax,996.93,893.35,1113.66,1384.33,1285.81,1521.48,1843.42,2396.95,2034.16,2092.94
Tax,394.19,162.85,340.71,616.84,346.25,314.66,609.14,1003.71,553.35,437.85
Net profit,612.34,734.66,768.59,775.82,944.82,1216.81,1229.26,1385.4,1508.53,1664.92
Operating Profit,2036.94,2145.79,2067.35,2563.5,2666.95,2562.56,3796.66,4337.72,4105.07,4429.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1603.96,2058.82,2058.82,3083.86,7736.29,10380.59,10752.4,10752.4,10752.4,
Reserves,22770.94,25999.62,21203.5,18824.09,30610.41,24455.13,26875.64,31819.31,35566.84,
Borrowings,321355.41,335679.03,324579.66,310962.1,272477.83,258962.71,246614.86,247194.57,267959.91,
Other Liabilities,10314.02,11537.25,14645.97,18038.82,10286.87,6900.63,14409.94,12773.37,17218.55,
Total,356044.33,375274.72,362487.95,350908.87,321111.4,300699.06,298652.84,302539.65,331497.7,
Net Block,3025.7,7041,6892.63,6350.45,7841.62,7719.19,7402.09,9586.67,9303.01,
Capital Work in Progress,54.25,480.93,540.59,502.48,468.29,487.57,470.64,400.37,477.4,
Investments,97346.93,92810.16,93074.87,91847.68,93327.73,81995.83,81470.88,83475,100408.68,
Other Assets,255617.45,274942.63,261979.86,252208.26,219473.76,210496.47,209309.23,209077.61,221308.61,
Total,356044.33,375274.72,362487.95,350908.87,321111.4,300699.06,298652.84,302539.65,331497.7,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,14642.67,23307.99,32732.31,33781.07,21303.92,30494.97,35308.12,35800.47,29351.95,
No. of Equity Shares,1603957605,2058815081,2058815081,3083862696,7736294880,10380593998,10752402175,10752402175,10752402175,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-1990.58,-566.77,7999.9,-12514.3,-34214.8,208.48,3443.45,5067.78,-2600.95,-1225.9
Cash from Investing Activity,-271.63,-714.85,-464.14,720.17,115.53,-295.97,-58.66,-192.37,-283.05,-221.95
Cash from Financing Activity,-61.02,2926.94,1888.57,12842.89,21622.12,9278.53,1428.36,-4383.06,-3564.53,-1794.13
Net Cash Flow,-2323.23,1645.31,9424.32,1048.76,-12477.15,9191.04,4813.15,492.35,-6448.52,-3241.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,71,69.4,75.1,72.2,46.65,19.3,38.55,42.8,45,81
,,,,,,,,,,
DERIVED:,,,,,,,,,,
