COMPANY NAME,IIFL SECURITIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,133.8,,,,,,,,,
Market Capitalization,4123.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,932.65,869.83,757.81,840.56,1294.53,1360.73
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,110.39,90.65,86.43,119.05,211.8,275.33
Employee Cost,,,,,211.07,256.79,221.67,211.79,324.65,358.75
Selling and admin,,,,,100.98,103.36,119.59,133.12,184.58,210.75
Other Expenses,,,,,69.04,9.83,4.17,22.7,27.62,41.12
Other Income,,,,,14.13,5.61,133.63,27.03,22.03,9.66
Depreciation,,,,,36.51,41.9,55.31,45.88,63.46,66.84
Interest,,,,,145.26,114.83,102.79,50.32,102.35,76.73
Profit before tax,,,,,273.53,258.08,301.48,284.73,402.1,340.87
Tax,,,,,92.95,86.65,67.55,64.43,96.28,91.06
Net profit,,,,,180.58,171.43,233.98,220.34,306.06,250.16
Dividend Amount,,,,,,,63.92,30.3,91.18,91.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,299.02,335.91,346.77,291.55,316.61,342.02,401.9,409.08,506.97,558.78
Expenses,176.36,198.76,221.48,198.26,212.33,226.4,250.12,271.2,347.75,318.37
Other Income,19.39,32.11,15.28,3.25,6.79,4.97,3.29,1.91,26.69,23.49
Depreciation,15.12,16.43,16.75,16.47,16.68,17.16,16.52,16.31,16.25,17.8
Interest,30.39,39.41,18.36,18.68,19.06,18.38,19.44,21,30.16,42.92
Profit before tax,96.54,113.42,105.46,61.39,75.33,85.05,119.11,102.48,139.5,203.18
Tax,24.5,27.35,26.58,18,19.86,20.49,32.71,27.85,31.88,52.66
Net profit,72.06,86.2,78.95,43.62,55.67,64.53,86.34,74.73,107.77,149.96
Operating Profit,122.66,137.15,125.29,93.29,104.28,115.62,151.78,137.88,159.22,240.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,63.92,60.59,60.79,61.11
Reserves,,,,,559.59,667.1,815.87,907.15,1121.19,1289.17
Borrowings,,,,,1096.97,759.2,458.78,291.59,607.04,485.84
Other Liabilities,,,,,1205.33,1623.65,1095.06,2284.79,4252.03,3401.28
Total,,,,,2861.89,3049.95,2433.63,3544.12,6041.05,5237.4
Net Block,,,,,511.52,393.03,402.28,488.14,482.15,439.59
Capital Work in Progress,,,,,84.01,85.9,129.68,46.55,2.55,0.66
Investments,,,,,159.46,139.62,230.92,73.75,227.55,90.17
Other Assets,,,,,2106.9,2431.4,1670.75,2935.68,5328.8,4706.98
Total,,,,,2861.89,3049.95,2433.63,3544.12,6041.05,5237.4
Receivables,,,,,25.27,24.84,32.36,34.27,28.24,22.19
Inventory,,,,,,,13.27,2.33,,
Cash & Bank,,,,,855.37,1065.05,1027.17,1677.54,3740.15,2836.84
No. of Equity Shares,,,,,,,319609462,302935330,303936230,305528966
New Bonus Shares,,,,,,,,,,
Face value,,,,,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,-110.49,586.82,351.58,151.84,794.91,-793
Cash from Investing Activity,,,,,-117.64,0.31,21.05,147.53,-85.78,163.12
Cash from Financing Activity,,,,,462.5,-493.65,-513.82,-361.35,107.64,-295.51
Net Cash Flow,,,,,234.37,93.49,-141.19,-61.97,816.77,-925.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,31.05,46.75,88.55,50.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,1.87,1.87,31.96,30.29,30.39,30.55
