COMPANY NAME,CUMMINS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3398.1,,,,,,,,,
Market Capitalization,94163.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3976.67,4405.8,4708.82,5077.34,5082.5,5659,5157.73,4329.24,6140.4,7744.43
Raw Material Cost,2429.27,2759.2,2964.12,3253.12,3218.09,3652.88,3334.41,2779.21,4143,5348.86
Change in Inventory,5.16,52.59,1.91,-21.36,-40.01,39.42,-33.44,18.62,36.21,117.93
Power and Fuel,34.16,37.6,33.05,29.05,30.33,29.33,29.1,18.91,24.52,26.54
Other Mfr. Exp,153.7,173.93,101.24,112.8,117.67,131.36,125.77,101.39,134.81,157.4
Employee Cost,339.62,391.26,415.57,433.38,497.91,545.8,560.18,492.63,595.62,629.83
Selling and admin,244.33,236.27,300.04,307.69,314.43,354.69,355.13,274.55,281.76,326.65
Other Expenses,83.82,128.34,121.6,118.12,126.44,120.26,129.34,80.9,116.75,130.47
Other Income,177.51,286.58,225.86,207.98,279.42,292.77,307.61,349.38,424.82,405.69
Depreciation,52.75,79.72,81.01,84.78,93.79,110.32,118.66,125.52,134.02,140.45
Interest,4.18,1.26,9.58,16.78,14.83,16.2,20.25,16.17,11.5,15.78
Profit before tax,817.51,937.39,910.38,908.24,908.42,1030.35,759.06,807.96,1159.45,1492.07
Tax,217.49,151.54,156.08,173.61,199.95,307.78,129.72,190.09,272.8,362.25
Net profit,600.02,785.85,754.3,734.63,708.47,722.57,629.34,617.87,886.65,1129.82
Dividend Amount,360.36,388.08,388.08,388.08,415.8,471.24,388.08,415.8,512.82,693
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1727.38,1734.97,1493.56,1686.65,1951.25,2180.53,1926,2208.71,1899.68,2534.06
Expenses,1468.19,1464.47,1286.93,1472.82,1660.73,1768.32,1599.95,1868.13,1561.08,1996.13
Other Income,69.44,86.58,76.6,85.81,85.49,103.77,130.62,117.48,132.23,111.91
Depreciation,33.55,34.86,34.71,33.65,35.25,34.33,37.22,35.82,37.89,41.9
Interest,2.22,2.7,4.83,1.94,4.61,2.68,6.55,7.68,6.65,6.29
Profit before tax,292.86,319.52,243.69,264.05,336.15,478.97,412.9,414.56,426.29,601.65
Tax,72.95,78.55,54.54,65.25,83.77,118.83,94.4,98.89,97.78,146.73
Net profit,219.91,240.97,189.15,198.8,252.38,360.14,318.5,315.67,328.51,454.92
Operating Profit,259.19,270.5,206.63,213.83,290.52,412.21,326.05,340.58,338.6,537.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44,55.44
Reserves,2509.71,2831.08,3425.86,3686.73,3930.63,4075.01,4119.52,4351.33,4797.22,5312.54
Borrowings,,,,250.78,251.54,309.16,503.7,32.7,412.36,372.61
Other Liabilities,1207.58,1435.22,1009.17,1047.93,1293.62,1413.96,1275.39,1257.45,1540.09,1771.45
Total,3772.73,4321.74,4490.47,5040.88,5531.23,5853.57,5954.05,5696.92,6805.11,7512.04
Net Block,919.15,1233.96,1289.38,1500.11,2019.25,2012.77,2264.32,2185.28,2204.4,2222
Capital Work in Progress,95.76,170.61,519.22,463.13,37.95,158.51,80.03,127.52,60.78,41.29
Investments,495.35,465.04,333.57,707.4,548.69,285.29,824.14,369.23,614.89,1085.16
Other Assets,2262.47,2452.13,2348.3,2370.24,2925.34,3397,2785.56,3014.89,3925.04,4163.59
Total,3772.73,4321.74,4490.47,5040.88,5531.23,5853.57,5954.05,5696.92,6805.11,7512.04
Receivables,782.03,935.54,938.11,955.65,1326.25,1272.69,1131.59,1074.45,1247.28,1592.73
Inventory,551.34,682.26,600.26,562.06,537.48,625.36,572.92,557.84,728.79,886.15
Cash & Bank,86.49,79.86,89.73,129.11,470.88,737.93,464.5,965.18,1426.74,1380.81
No. of Equity Shares,277200000,277200000,277200000,277200000,277200000,277200000,277200000,277200000,277200000,277200000
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,361.07,497.91,691.8,745.57,634.41,550,598.98,787.85,707.06,811.09
Cash from Investing Activity,55.24,-56.29,-214.39,-482.43,-132.72,15.66,-201.98,24.69,-573.76,87.17
Cash from Financing Activity,-425.78,-422.86,-467.74,-224.53,-473.14,-522.63,-410.92,-872.44,-77.4,-684.41
Net Cash Flow,-9.47,18.76,9.67,38.61,28.55,43.03,-13.92,-59.9,55.9,213.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
