COMPANY NAME,DR LAL PATHLABS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2231.55,,,,,,,,,
Market Capitalization,18622.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,557.95,659.59,791.32,912.38,1056.92,1203.42,1330.36,1581.27,2087.41,2016.88
Raw Material Cost,,139.16,172.92,197.08,226.03,262.35,298.7,397.26,502.25,447.15
Change in Inventory,,,,,,,,,,
Power and Fuel,9.66,11.26,12.78,13.58,15.32,15.74,16.74,18.62,22.11,25.91
Other Mfr. Exp,198.68,96.12,117.65,135.67,164.46,176.16,204.49,238.07,337.12,350.32
Employee Cost,101.57,134.39,137.35,152.94,181.73,209.45,244.09,275.22,366.75,378.5
Selling and admin,94.49,106.64,119.16,148.36,174.91,207.63,183.24,174.77,252.01,268.27
Other Expenses,14.45,16,21.73,26.94,30.38,38.43,39.53,40.88,45.85,56.9
Other Income,7.54,12.29,19.77,27.25,31.13,45.95,55.05,51.16,51.95,41.72
Depreciation,27.23,28.19,28.28,27.54,33.06,38.22,72.81,77.2,108.11,150.19
Interest,0.2,0.4,0.5,0.7,0.84,0.84,15.31,16,30.18,37.53
Profit before tax,119.21,139.72,200.72,236.82,261.32,300.55,310.5,394.41,474.98,343.83
Tax,38.94,43.28,67.48,81.23,89.57,100.08,82.91,97.93,124.69,102.75
Net profit,79.59,95.68,132.19,154.59,170.73,199.18,225.94,291.62,344.83,238.85
Dividend Amount,5.71,8.38,20.26,24.92,37.5,50,100.02,166.7,100.02,50.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,498.4,496.9,485.5,502.7,533.8,489.4,491,541,601.3,538.9
Expenses,356.9,387.7,364.4,385.2,390,376.4,375.4,394.8,423.5,398.3
Other Income,14.3,12.1,12,8.3,8.7,10.5,14.2,14.4,18.1,18.3
Depreciation,20.5,30.7,37.7,35.9,38.8,37.9,37.6,35.1,35.9,36
Interest,4.7,9.1,11.9,8.5,10.9,9.1,9,8,7.8,7
Profit before tax,130.6,81.5,83.5,81.4,102.8,76.5,83.2,117.5,152.2,115.9
Tax,34.3,23.3,21.4,23.2,30.4,22.9,26.3,33.9,41.5,33.7
Net profit,95,57.3,61.3,57.7,71.7,52.8,56.7,82.6,109.3,81.3
Operating Profit,141.5,109.2,121.1,117.5,143.8,113,115.6,146.2,177.8,140.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,53.68,54.63,82.68,83.07,83.33,83.34,83.35,83.35,83.35,83.37
Reserves,151.18,259.82,424.67,512.45,704.52,862.15,949.47,1161.71,1418.26,1582.93
Borrowings,0.87,,,,,,,150.37,532.44,419.5
Other Liabilities,145.77,160.86,117.88,94.56,127.7,145.02,341.49,265.14,308.66,296.82
Total,351.5,475.31,625.23,690.08,915.55,1090.51,1374.31,1660.57,2342.71,2382.62
Net Block,139.83,150.08,165.64,152.43,207.52,208.66,413.02,447.26,1368.81,1305.06
Capital Work in Progress,0.17,0.95,4.09,17.51,9.56,3.44,11.38,9.61,15,4.94
Investments,8.59,37.92,64.32,106.08,144.8,184.78,164.28,59.3,65.46,149.94
Other Assets,202.91,286.36,391.18,414.06,553.67,693.63,785.63,1144.4,893.44,922.68
Total,351.5,475.31,625.23,690.08,915.55,1090.51,1374.31,1660.57,2342.71,2382.62
Receivables,25.16,30.96,36.31,41.8,41.16,53.22,51.39,66.7,85.4,70.82
Inventory,11.66,14.28,14.52,17.91,27.34,28.54,56.96,42.56,52.54,33.81
Cash & Bank,105.67,148.19,209.95,239.52,313.51,490.24,569.12,926.03,617.59,665.41
No. of Equity Shares,5367840,54629520,82676997,83066184,83332744,83341610,83344877,83344877,83344877,83367877
New Bonus Shares,,,,,,,,,,
Face value,100,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,97.96,121.77,158.54,171.31,197.07,218.54,283.89,398.15,446.69,456.03
Cash from Investing Activity,-89.3,-113.45,-163.49,-137.11,-172.28,-99.74,-26.11,-212.02,-449.25,-287.31
Cash from Financing Activity,-10.2,-0.8,0.36,-32.26,12.51,-55.26,-190.45,-138.56,136.45,-283.18
Net Cash Flow,-1.54,7.52,-4.59,1.94,37.3,63.54,67.33,47.58,133.9,-114.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,923.3,967.55,876.3,1044.3,1401.7,2707.05,2610.7,1828.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.54,5.46,8.27,8.31,8.33,8.33,8.33,8.33,8.33,8.34
